OSU 80 -Ton Compressor Load Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40TonSpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Yarborough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured on:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday, August 27,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:53:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Comments:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measurements:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,Tecon,Pecon,Poil2,Moil2,Power,P_reactive,Shaft Power,Torque,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,x_acc,y_acc,Toil,Tbox,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,LG,MG,SG,LL,ML,SL,Encoder Speed,VFD Power,eta_is_2,VFD_out,Kc_LG,Ti_LG,Td_LG,Kc_MG,Ti_MG,Td_MG,Kc_SG,Ti_SG,Td_SG,Kc_LL,Ti_LL,Td_LL,Kc_ML,Ti_ML,Td_ML,Kc_SL,Ti_SL,Td_SL,Kc_WVB,Ti_WVB,Td_WVB,Kc_WVI,Ti_WVI,Td_WVI,,,,,
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,kVAR,kW,in-lb,,Btu/h,,F,F,,g,g,F,F,F,F,F,F,F,F,F,F,F,,Hz,,,,,,,RPM,kW,,Hz,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,Purpose of Test, Test Request Number, Build Number, Steady (1 yes 0 no),Raw Data File
49.70778,60.025283,173.232289,154.246198,117.309996,112.91003,54.4902,14.159905,172.4928,7.483267,60.112689,49.734497,151.925014,173.829406,150.394021,171.79218,110.986396,170.027854,-0.07222,-1.793447,32.02574,-235.890039,157.962801,5.243921,5.210199,-11.454614,32.742028,1692.708713,4.516566,446506.3206,1.663361,20.062056,2.749108,3.485056,0.08094,0.061241,110.530977,90.268895,32,32,32,32,-12932.18615,32,69.144324,76.409028,97.947299,89.90277,37.736018,28.860759,67.783282,60.253165,20.253165,34.699382,26.518987,1667.999268,33.928039,0.693568,218.925997,0.377,0.879,0,0.377,0.879,0,0.101203,0.879,0,-0.153,0.4,0,-0.755798,0.3734,0,-1.130389,0.3481,0,0.1,0.8,0,-0.011529,0.06251,0,First Test,40TonSpool,1,1,21.53.19-Thu.08.27.2020.csv
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,First Test,1,40TonSpool,1,21.53.37-Thu.08.27.2020.csv
49.744763,60.246947,161.236255,147.554315,101.876168,115.057345,54.542988,14.109786,160.168371,12.868424,60.361208,50.017521,145.540979,161.317241,143.994738,159.44872,105.88006,157.712555,-0.066815,0.030154,32.02574,-235.9402,154.596811,4.403688,5.222973,12.189687,30.130835,1556.611724,1.079817,466259.2498,0.980256,20.245525,2.677454,3.241297,0.076036,0.055062,110.663996,89.030179,32,32,32,32,424.817086,32,69.097092,74.349945,95.087583,37.491926,31.495796,29.253165,59.98674,81.538091,0,51.759494,48.741119,1670.261131,32.243772,0.700514,75.432364,0.377,0.879,0,0.377,0.809,0,0.091012,0.6509,0,-0.153,0.4,0,-0.85,0.9,0,-0.09,0.484848,0,0.08,0.8,0,-0.022445,0.08,0,Start,1,40TonSpool,1,16.45.29-Sun.08.30.2020.csv
28.475158,79.734818,99.996417,150.253689,64.364129,65.011291,54.435675,14.140807,97.492315,4.416495,82.628042,28.691361,138.870547,98.266925,131.622779,97.903434,65.477669,97.136305,-0.067458,0.037318,32.02574,-235.909832,100.314751,4.154019,2.099214,8.91992,21.44153,1109.196945,0.97001,336694.1586,1.051431,66.522954,11.926684,3.513758,0.077383,0.056393,87.253265,81.577393,32,32,32,32,-4137.052304,32,67.154363,62.558841,65.87766,90.126582,25.126582,0,89.113924,89.620253,0,7.088608,8.35443,1677.531614,22.070924,0.683719,75.439653,0.377,0.879,0,0.377,0.809,0,0.095101,0.6509,0,-0.153,0.4,0,-0.8,0.9,0,-0.06,0.45,0,0.05,0.8,0,-0.0058,0.082,0,Start,1,40TonSpool,1,13.47.10-Mon.08.31.2020.csv
40.813841,90.252023,128.520876,164.178536,80.500393,80.929407,52.862761,14.140561,125.076341,5.629798,91.355179,41.249791,158.725669,127.917949,154.508651,126.677405,82.616224,125.417128,-0.323697,0.017506,32.02574,-235.910113,125.812312,5.340962,25.339441,9.991126,25.668769,1333.093481,NaN,NaN,NaN,61.824413,9.028754,3.254868,0.077856,0.0572,108.878976,97.125073,32,32,32,32,-1057.764733,32,68.451355,66.284693,78.082726,97.975949,20.196823,0,85.60362,86.297835,0,27.700848,28.045759,1584.719238,25.842249,0.652564,72.882006,0.377,0.879,0,0.377,0.809,0,0.095101,0.6509,0,-0.153,0.4,0,-0.8,0.9,0,-0.06,0.45,0,0.05,0.8,0,-0.0058,0.082,0,Start,1,40TonSpool,1,14.59.52-Mon.08.31.2020.csv
46.625723,62.117733,161.566613,154.103388,105.314279,106.832545,54.535942,14.131869,159.364114,5.451995,62.149767,47.020866,152.004823,161.799574,150.383984,159.960079,107.423398,157.827346,-0.07192,-0.280031,32.02574,-235.919534,149.228551,5.173146,31.634077,12.113534,30.44216,1572.847913,1.054976,434621.8815,0.981677,25.415186,1.170016,3.465501,0.078333,0.05762,116.335882,93.312336,32,32,32,32,392.169541,32,69.395712,76.55505,95.008508,99.999316,44.412596,0.02,77.0747,79.335877,0,60.03038,59.26481,1670.698242,31.773834,0.707627,75.418756,0.377,0.879,0,0.377,0.809,0,0.095101,0.6509,0,-0.153,0.4,0,-0.8,0.9,0,-0.06,0.45,0,0.05,0.8,0,-0.005801,0.082,0,Start,1,40TonSpool,1,16.16.05-Mon.08.31.2020.csv
59.032767,63.756003,169.961056,147.661473,129.847473,129.478268,54.494088,14.117759,167.544721,8.562335,63.587248,56.366732,146.115259,170.085545,144.884852,167.653028,110.573026,165.006412,-0.071949,-1.749594,32.02574,-235.933494,158.539492,2.329889,33.801016,12.712185,33.234676,1718.057817,0.965974,377418.7909,0.882359,15.12192,0.984552,2.904773,0.078182,0.057397,114.454487,92.215258,32,32,32,32,206.771153,32,69.485509,75.490434,96.287253,24.95811,43.556461,26.803571,71.655393,69.917178,15.381386,52.582753,53.134367,1668.33101,33.805917,0.634382,75.418611,0.377,0.879,0,0.309182,0.809,0,0.095101,0.6509,0,-0.153,0.4,0,-0.8,0.9,0,-0.06,0.45,0,0.05,0.8,0,-0.004611,0.082,0,Start,1,40TonSpool,1,16.32.09-Mon.08.31.2020.csv
52.503783,48.074503,159.550965,134.237137,124.373158,123.501688,54.510491,14.117978,157.152379,5.18873,48.031837,50.745533,133.230318,159.555469,132.093083,157.309215,105.734199,154.908115,-0.072242,-1.841754,32.02574,-235.933259,148.190073,4.864365,31.827638,12.1002,31.307967,1617.966927,0.957691,426464.9033,0.907611,5.404851,1.558367,3.050507,0.077779,0.057158,105.872569,82.852381,32,32,32,32,316.607004,32,69.517491,76.242912,92.0521,13.320902,57.78599,25.189418,69.954137,69.107519,18.057747,45.686219,50.912519,1669.185791,31.9603,0.648521,75.419594,0.377,0.879,0,0.3,0.809,0,0.095101,0.6509,0,-0.153,0.4,0,-0.64376,0.9,0,-0.05273,0.45,0,0.0477,0.8,0,-0.001706,0.082,0,Start,1,40TonSpool,1,17.49.48-Mon.08.31.2020.csv
61.373478,49.551935,161.534232,140.039451,112.514236,112.583862,54.494296,14.147886,158.474573,5.603392,49.980764,45.077247,136.919834,161.763921,135.062654,159.883801,105.656573,158.285792,-0.071369,-1.861279,32.02574,-235.903338,148.45719,5.224623,31.770916,12.093598,31.031252,1604.328419,0.350865,100123.4624,0.331207,-1.532611,3.13018,2.631496,0.076626,0.056365,103.801254,81.418704,32,32,32,32,263.258754,32,69.491788,75.376916,94.159675,49.501872,33.169904,21.798332,61.886408,63.776249,17.379747,34.185722,38.952003,1669.159456,31.914246,0.243971,75.414853,0.377,0.879,0,0.3,0.809,0,0.095101,0.6509,0,-0.153,0.4,0,-0.02,0.9,0,-0.017355,0.45,0,0.03,0.8,0,-0.006838,0.052681,0,Start,1,40TonSpool,1,18.05.52-Mon.08.31.2020.csv
83.071174,70.817059,82.289322,76.677528,-0.693383,-0.650805,0,14.164505,83.031144,-0.057432,67.676944,82.176318,69.184032,80.833771,71.360427,82.10192,67.424374,82.053555,-3.641088,-0.14095,32.02574,-235.880676,82.347057,-1.041145,0.140886,0.013919,0,46.920193,NaN,NaN,NaN,2.727144,-0.044245,0.990618,0.073357,0.0534,85.954038,87.216405,32,32,32,32,69.462254,32,68.022266,65.413244,67.840073,49.501872,30.078309,20.873418,40,39.240506,17.379747,26.927292,28.671262,0,-27.350465,-0.000036,15.066398,0.377,0.879,0,0.3,0.809,0,0.095101,0.6509,0,-0.153,0.4,0,-0.02,0.9,0,-0.01,0.45,0,0.03,0.8,0,-0.002,0.035,0,Start,1,40TonSpool,1,20.54.54-Mon.08.31.2020.csv
82.803087,70.637176,82.048899,75.595015,-0.023264,0.019158,0.005229,14.167703,82.800231,-0.000038,67.494767,81.945577,68.684572,80.603189,70.504416,81.864219,67.276144,81.802758,-0.067166,0.037755,32.02574,-235.878504,82.095502,-0.991723,0.145882,0.019302,0.000086,46.829121,#NAME?,NaN,Inf,2.719111,-0.063851,0.990891,0.073117,0.053249,85.186172,86.163088,32,32,32,32,69.393037,32,67.876488,65.517198,67.530454,49.501872,30.078309,20.873418,40,39.240506,17.379747,26.927292,28.671262,0,-6.006429,-0.000008,24.579346,0.377,0.879,0,0.3,0.809,0,0.095101,0.6509,0,-0.153,0.4,0,-0.02,0.9,0,-0.01,0.45,0,0.03,0.8,0,-0.002,0.035,0,Start,1,40TonSpool,1,21.09.03-Mon.08.31.2020.csv
Real Testing Starting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.742425,60.072254,161.238058,147.839829,114.607994,115.160383,54.513493,14.182035,157.423612,5.389593,60.188057,49.935129,146.099908,161.280745,144.5566,159.308093,105.513111,157.64318,-0.062076,-1.844156,32.02574,-235.869246,150.010483,5.107415,31.952189,12.142607,30.253862,1563.498216,1.080048,467196.0275,0.937516067,20.071785,3.013152,3.241488,0.074867,0.054155,113.053223,90.80649,32,32,32,32,325.064305,32,69.64395,73.435912,94.96701,100,30.871025,49.367089,40,30.397471,22.379747,25,35.057186,1669.874268,32.192293,0.701921,75.419883,0.377,0.879,0,0.3,0.809,0,0.095101,0.6509,0,-0.153,0.4,0,-0.02,0.8,0,-0.007809,0.45493,0,0.03,0.8,0,-0.062105,0.56597,0,Real Test Point 1,1,40TonSpool,1,23.58.06-Mon.08.31.2020.csv
50.076426,59.869712,172.983024,152.455288,113.732302,115.014933,54.473779,14.169385,168.547922,6.212815,59.999503,50.193113,150.416678,173.508061,148.727799,171.439404,110.057856,169.77767,-0.062187,-1.80915,32.02574,-235.881798,159.562591,5.886351,33.871598,12.669433,32.789782,1695.915352,1.028545,456429.1801,0.929617852,19.529464,3.573871,3.454516,0.0746,0.053629,114.127887,91.615193,32,32,32,32,246.893475,32,69.776934,72.917514,99.277741,100,24.367596,49.322089,40,17.980083,22.375747,25.947,34.486039,1667.497559,33.996004,0.698839,75.419939,0.377,0.879,0,0.3,0.809,0,0.095101,0.6509,0,-0.153,0.4,0,-0.02,0.8,0,-0.010153,0.21955,0,0.03,0.8,0,-0.06,0.45,0,Oil Caused Diversion,1,40TonSpool,1,01.05.47-Tue.09.01.2020.csv
49.82265,60.991904,173.298794,154.147672,111.127786,113.462246,54.473817,14.175437,172.30344,10.619894,61.104558,50.017299,151.855965,173.857974,150.199699,171.774515,110.404856,170.303194,-0.063827,-1.83685,32.02574,-235.875858,161.319158,5.718163,33.873205,12.622089,32.69646,1690.995851,1.035439,451306.5711,0.925008489,20.912598,3.445017,3.478256,0.074414,0.053598,112.649003,91.600885,32,32,32,32,262.913819,32,69.879938,72.578382,100.011158,100,23.03053,43.367089,40,34.888276,21.379747,26.488,40.753977,1667.541504,34.005044,0.695966,75.426748,0.377,0.879,0,0.3,0.809,0,0.095101,0.6509,0,-0.153,0.4,0,-0.02,0.8,0,-0.012453,0.22375,0,0.03,0.8,0,-0.06,0.45558,0,Real Test Point 2,1,40TonSpool,1,02.47.44-Tue.09.01.2020.csv
49.736034,59.287299,186.179179,159.763004,109.565976,111.99271,54.430509,14.167722,184.984956,10.109667,59.39778,49.80888,157.476936,187.199242,155.844498,185.037704,115.890062,183.615979,-0.065196,-1.802705,32.02574,-235.883665,173.256895,7.72608,35.909876,13.227677,34.677795,1794.991998,0.986243,431592.8186,0.911377236,19.286681,3.249075,3.743406,0.07401,0.053355,116.98015,93.680735,32,32,32,32,288.813542,32,69.985402,74.522828,103.022236,100,26.918848,43.367089,40,22.967223,22.379747,27,38.630116,1664.828988,35.917255,0.685741,75.328273,0.377,0.879,0,0.3,0.809,0,0.095101,0.6509,0,-0.153,0.4,0,-0.02,0.8,0,-0.011,0.25,0,0.03,0.8,0,-0.06,0.48,0,Real Test Point 2,1,40TonSpool,1,03.10.39-Tue.09.01.2020.csv
49.763547,60.095796,213.527688,173.921334,108.207182,108.763162,54.333798,14.15594,212.01757,9.841594,60.181714,49.87469,171.560057,215.264713,169.725595,212.916093,126.221766,211.491363,-0.063361,-1.260883,32.02574,-235.895789,195.975985,9.145729,40.160581,14.485539,38.307033,1986.160559,0.967795,399252.4306,0.888039949,20.072468,3.113226,4.290954,0.074581,0.053671,124.530776,98.787442,32,32,32,32,78.702764,32,69.815646,77.586259,108.314594,105.8,26.226438,43.367089,24.5,17.893232,22.379747,31,40.46222,1661.253662,39.920971,0.662774,75.434973,0.377,0.879,0,0.3,0.809,0,0.095101,0.6509,0,-0.153,0.4,0,-0.02,0.8,0,-0.011,0.25,0,0.03,0.8,0,-0.06,0.48,0,Real Test Point 2,1,40TonSpool,1,04.48.59-Tue.09.01.2020.csv
49.743305,60.087087,199.724622,153.007708,107.316508,110.053156,54.371611,14.175398,197.135265,6.05443,60.187302,50.209955,165.242284,201.087112,163.289143,197.673953,120.789386,196.258946,-0.065162,-1.827379,32.02574,-235.87596,182.74356,5.443476,37.914798,13.855138,35.719055,1850.6594,0.998182,415167.2022,0.898339352,20.085837,3.106179,4.01527,0.073858,0.052323,119.152966,95.96539,32,32,32,32,-3220.276046,32,69.755812,77.012924,105.097756,106.986017,29.538225,30.886076,28.216098,33.22065,24.506329,31.017174,27.909713,1663.117676,37.82536,0.675515,75.387917,0.377,0.879,0,0.3,0.809,0,0.095101,0.6509,0,-0.153,0.4,0,-0.02,0.8,0,-0.011,0.25,0,0.05,0.8,0,-0.01461,0.30752,0,First Test of the day ,1,40TonSpool,1,21.48.30-Tue.09.01.2020.csv
