OSU 80 -Ton Compressor Load Stand
40TonSpool_ze
J Singleton
Measured on:
Sunday, November 29, 2020
8:25:17 PM
Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,Tecon,Pecon,Poil2,Moil2,Power,P_reactive,Shaft Power,Torque,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,x_acc,y_acc,Toil,Tbox,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,LG,MG,SG,LL,ML,SL,Encoder Speed,VFD Power,eta_is_2,VFD_out,Kc_LG,Ti_LG,Td_LG,Kc_MG,Ti_MG,Td_MG,Kc_SG,Ti_SG,Td_SG,Kc_LL,Ti_LL,Td_LL,Kc_ML,Ti_ML,Td_ML,Kc_SL,Ti_SL,Td_SL,Kc_WVB,Ti_WVB,Td_WVB,Kc_WVI,Ti_WVI,Td_WVI
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,kVAR,kW,in-lb,,Btu/h,,F,F,,g,g,F,F,F,F,F,F,F,F,F,F,F,,Hz,,,,,,,RPM,kW,,Hz,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,Purpose of Test, Test Request Number, Build Number, Steady (1 yes 0 no),Raw Data File
37.385782,60.312107,121.793194,133.941370,94.699961,95.969614,54.668252,14.441379,120.910904,5.786020,60.484228,37.779006,130.558015,121.370727,129.243046,120.741057,106.572776,118.978791,-0.061320,0.038796,32.025740,-235.609603,113.031596,5.504034,24.736692,9.895511,23.123530,1191.573031,16.997343,355782.613958,0.940892,19.618353,1.954115,3.257501,0.074723,0.052358,102.195874,82.548103,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,69.435311,69.400242,97.265851,100.000000,14.439806,25.367089,79.746835,59.812007,0.000000,50.367089,52.535439,0.211803,25.340801,80.255160,54.663977,0.377000,0.879000,0.000000,0.300000,0.809000,0.000000,0.084101,0.650900,0.000000,-0.153000,0.400000,0.000000,-0.030000,0.800000,0.000000,-0.010000,0.151313,0.000000,0.020000,0.800000,0.000000,-0.020000,0.260000,0.000000,,40TonSpool_ze,1,1,20.25.16-Sun.11.29.2020.csv
37.136258,60.458399,131.102090,141.710825,92.639010,93.352050,54.643960,14.446182,130.628790,3.482391,60.499340,37.324731,138.743185,130.994289,137.264254,130.281672,111.918899,128.661576,-0.060412,0.038586,32.025740,-235.604663,133.730549,3.283240,25.847308,10.265175,24.079980,1241.483350,17.676673,337436.792807,0.922533,20.106854,1.932419,3.530037,0.074826,0.052280,106.408225,86.058323,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,69.659359,69.741041,101.567698,100.000000,15.656851,25.367089,79.746835,44.902422,0.000000,51.367089,57.733767,0.211651,26.407327,83.519624,54.685799,0.377000,0.879000,0.000000,0.300000,0.809000,0.000000,0.084101,0.650900,0.000000,-0.153000,0.400000,0.000000,-0.030000,0.800000,0.000000,-0.010134,0.156107,0.000000,0.020000,0.800000,0.000000,-0.020000,0.295000,0.000000,,1,40TonSpool_ze,1,20.43.08-Sun.11.29.2020.csv
37.182714,60.619387,141.102021,147.220933,92.318100,92.649595,54.618004,14.449567,140.876559,3.631384,60.650166,37.577076,144.772988,141.295879,143.328417,140.480228,116.932215,138.939136,-0.059691,0.038828,32.025740,-235.601428,144.978030,3.428777,27.237432,10.682727,25.592914,1320.131846,18.545503,326652.997418,0.915167,20.215488,2.245383,3.794950,0.075049,0.052409,109.831689,88.660332,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,69.796468,70.246276,102.972754,100.000000,20.786748,15.367100,79.746835,47.290478,0.000000,51.367089,66.147822,0.211751,27.727346,87.579308,54.632681,0.377000,0.879000,0.000000,0.300000,0.809000,0.000000,0.084101,0.650900,0.000000,-0.153000,0.400000,0.000000,-0.030000,0.800000,0.000000,-0.012000,0.138000,0.000000,0.020000,0.800000,0.000000,-0.020000,0.295000,0.000000,,1,40TonSpool_ze,1,21.02.57-Sun.11.29.2020.csv
37.187625,59.946966,161.539567,157.753197,89.585994,90.168174,54.557734,14.451798,161.662229,4.160468,60.179960,37.312489,154.590365,162.367425,152.951699,161.324689,126.950941,159.902771,-0.060184,-1.480667,32.025740,-235.599518,162.663010,3.941620,30.121552,11.569455,27.832454,1437.241539,19.817825,300838.210774,0.890101,19.519033,2.229202,4.344333,0.075333,0.052551,114.976831,91.912381,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,69.862394,70.781896,108.868199,111.100000,18.807526,0.000000,57.405814,51.286941,0.000000,54.367089,65.833691,0.212311,30.458399,93.351491,54.731336,0.377000,0.879000,0.000000,0.300000,0.809000,0.000000,0.084101,0.650900,0.000000,-0.153000,0.400000,0.000000,-0.030000,0.800000,0.000000,-0.012000,0.138000,0.000000,0.020000,0.800000,0.000000,-0.020000,0.299000,0.000000,,1,40TonSpool_ze,1,21.28.53-Sun.11.29.2020.csv
37.152442,59.394663,150.713026,152.156236,91.111430,91.616374,54.578899,14.455776,150.520113,3.676624,59.515057,37.434145,149.772163,151.144573,148.392531,150.176615,121.868185,148.701708,-0.062469,-1.596980,32.025740,-235.595587,154.494303,3.475182,28.567248,11.119676,27.273256,1407.813022,19.183095,313414.499175,0.903690,19.019570,2.093609,4.056658,0.074891,0.052057,113.994135,91.127184,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,70.040586,70.855120,105.619131,111.100000,22.122656,0.000000,57.405814,60.970687,0.000000,55.245219,66.663961,0.212135,29.005936,90.431408,54.749440,0.377000,0.879000,0.000000,0.300000,0.809000,0.000000,0.084101,0.650900,0.000000,-0.153000,0.400000,0.000000,-0.030000,0.800000,0.000000,-0.014000,0.138000,0.000000,0.020000,0.800000,0.000000,-0.020000,0.299000,0.000000,,1,40TonSpool_ze,1,21.48.37-Sun.11.29.2020.csv
38.525410,62.151395,150.953319,152.476557,95.151693,95.006625,54.569146,14.458200,150.673648,3.786005,62.239573,38.811674,150.149235,151.369658,148.764072,150.375525,121.992157,148.782080,-0.060400,-1.619085,32.025740,-235.592844,154.520228,3.577151,28.760835,11.171352,26.255088,1355.556538,19.456531,327168.973590,0.907351,19.930368,2.011734,3.918489,0.075164,0.052045,114.866510,92.252588,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,70.195275,70.810317,105.707512,111.100000,23.088190,0.000000,57.405814,66.077204,0.000000,55.245219,68.869859,0.211876,29.202630,91.832335,54.754511,0.377000,0.879000,0.000000,0.300000,0.809000,0.000000,0.084101,0.650900,0.000000,-0.153000,0.400000,0.000000,-0.030000,0.800000,0.000000,-0.017000,0.128000,0.000000,0.020000,0.800000,0.000000,-0.020000,0.299000,0.000000,,1,40TonSpool_ze,1,22.16.13-Sun.11.29.2020.csv
44.700203,70.092955,150.892476,151.218149,111.476366,110.908905,54.557420,14.462621,150.324710,3.437847,70.203607,45.170992,149.052024,151.080078,147.541217,149.710945,121.681519,147.435297,-0.059417,-1.749504,32.025740,-235.588388,155.455154,3.243179,29.487332,11.446743,27.684708,1429.665736,20.279163,389056.463617,0.919210,20.124759,1.677667,3.375982,0.074305,0.051459,115.730636,94.663679,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,70.217610,70.818724,105.647100,111.100000,25.034495,0.000000,69.596518,88.085262,0.000000,55.245219,80.612347,0.211908,29.883349,95.700531,54.757605,0.377000,0.879000,0.000000,0.300000,0.809000,0.000000,0.084101,0.650900,0.000000,-0.153000,0.400000,0.000000,-0.030000,0.800000,0.000000,-0.017000,0.128000,0.000000,0.020000,0.800000,0.000000,-0.020000,0.299000,0.000000,,1,40TonSpool_ze,1,22.36.38-Sun.11.29.2020.csv
30.446848,75.621661,150.962234,177.006753,68.842380,70.246103,54.598788,14.465437,151.045985,3.631261,75.648578,30.179730,171.511202,151.705815,168.829869,150.761816,121.592984,149.765103,-0.061938,-1.805880,32.025740,-235.585355,156.513645,3.436286,27.074729,10.682958,25.196647,1300.100039,17.952284,259477.557067,0.889883,45.140599,2.882933,4.958194,0.074751,0.052333,123.111845,102.724195,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,70.428526,70.722081,109.800053,111.100000,12.982132,0.000000,28.509781,66.478201,0.000000,44.310551,57.247629,0.211200,27.591595,85.007524,54.609245,0.377000,0.879000,0.000000,0.300000,0.809000,0.000000,0.084101,0.650900,0.000000,-0.153000,0.400000,0.000000,-0.030000,0.800000,0.000000,-0.017000,0.128000,0.000000,0.020000,0.800000,0.000000,-0.020000,0.299000,0.000000,,1,40TonSpool_ze,1,23.00.19-Sun.11.29.2020.csv
24.837984,80.086240,151.155430,194.849582,55.965609,55.900802,54.622660,14.468626,151.215233,4.642378,80.066548,24.728169,188.904348,152.099820,185.272316,151.209649,121.378543,150.647924,-0.060042,-1.907081,32.025740,-235.582338,164.444628,3.339498,25.871424,10.321396,24.405619,1258.756830,16.611697,212936.528226,0.885000,59.274921,3.511995,6.085558,0.075139,0.052536,135.383689,113.714778,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,70.631852,70.589276,112.764574,276.068657,9.191359,0.000000,24.241313,51.765850,0.000000,42.310551,45.924977,0.210792,26.478639,78.812186,54.679736,0.377000,0.879000,0.000000,0.300000,0.809000,0.000000,0.084101,0.650900,0.000000,-0.153000,0.400000,0.000000,-0.030000,0.800000,0.000000,-0.017000,0.128731,0.000000,0.020000,0.800000,0.000000,-0.020000,0.320000,0.000000,,1,40TonSpool_ze,1,23.35.48-Sun.11.29.2020.csv
37.488126,60.767378,150.410067,152.626145,95.829107,97.353697,57.697303,14.234741,149.817509,4.457816,60.891470,38.062418,150.442574,150.876894,149.021521,149.714386,121.310821,148.304612,-0.061173,-1.793816,32.025740,-235.816694,175.032028,4.229025,29.957196,12.092968,24.006573,1172.099330,20.277169,335540.428128,0.902624,19.940348,2.471220,4.011923,0.076011,0.053597,116.419329,92.920153,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000,70.355119,71.065359,104.132841,60.253165,29.281572,0.000000,58.734177,61.867612,0.000000,60.000000,58.897148,0.200359,30.517378,101.203801,57.686558,0.377000,0.879000,0.000000,0.300000,0.809000,0.000000,0.084101,0.650900,0.000000,-0.153000,0.400000,0.000000,-0.030000,0.800000,0.000000,-0.010000,0.180000,0.000000,0.020000,0.800000,0.000000,-0.020000,0.600000,0.000000,,1,40TonSpool_ze,1,13.02.40-Tue.12.01.2020.csv
