OSU 80 -Ton Compressor Load Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75TonScrew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J Singleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured on:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday, February 24,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:21:58 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Comments:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measurements:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,x_acc,y_acc,Toil,Tbox,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,LG,MG,SG,LL,ML,SL,Speed2,Power2,eta_is_2,VFD_out,Kc_LG,Ti_LG,Td_LG,Kc_MG,Ti_MG,Td_MG,Kc_SG,Ti_SG,Td_SG,Kc_LL,Ti_LL,Td_LL,Kc_ML,Ti_ML,Td_ML,Kc_SL,Ti_SL,Td_SL,Kc_WVB,Ti_WVB,Td_WVB,Kc_WVI,Ti_WVI,Td_WVI,,,,,
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,g,g,F,F,F,F,F,F,F,F,F,F,F,,Hz,,,,,,,Hz,kW,,Hz,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,Purpose of Test, Test Request Number, Build Number, Steady (1 yes 0 no),Raw Data File
46.035956,46.916848,96.442244,105.468786,97.016357,96.338596,132.155475,14.07592,93.909401,9.708667,47.059604,45.978035,32.03132,96.77317,102.127999,95.117696,53.624472,92.373986,-0.037038463,0.037984,70.424044,59.001391,90.490594,8.627359,22.245665,0.49581,NaN,Inf,11.61918,19.524973,2.216055,0.076253,0.072622,32,71.533137,32,32,32,32,32,32,68.760447,55.05776,63.711815,83.049856,37.808344,56.021569,84.244391,81.337111,10.719097,14.45789,20,132.155475,-83.220555,,110.74772,0,0,0,0.377,5.36,0,0.091203,0.879,0,0,0,0,-0.153,7.656,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,75TonScrew,1,1,09.21.57-Mon.02.24.2020.csv
54.222935,57.482357,73.444899,87.669328,56.747219,53.834328,122.007266,14.111009,71.881814,2.549032,54.472135,53.950445,32.03132,73.147595,84.637973,71.785967,48.317181,70.419661,0.009005276,0.04314,74.794713,71.312554,71.502848,1.553977,7.301585,0.326524,NaN,Inf,13.26186,9.387241,1.360804,0.080597,0.077014,32,74.652058,32,32,32,32,32,32,68.85315,53.744987,53.685739,100,30.379747,62.025316,88.607595,84.556962,12.379747,20.670886,20,122.007266,78.63182,,71.742357,0,0,0,0.377,5.36,0,0.091203,0.879,0,0,0,0,-0.153,7.656,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,75TonScrew,1,12.04.20-Mon.02.24.2020.csv
49.776679,49.120974,199.484487,163.366343,176.89175,165.019002,148.755366,14.480096,196.697379,21.948676,48.60035,49.896174,32.03132,202.679035,161.55494,199.870903,108.132049,195.437829,-0.068342591,0.037865,93.633372,66.265092,190.248176,0.362585,36.12466772,1.024757529,638836.9761,0.863095829,9.086223,15.463012,4.007803,0.07068,0.066698,32,78.94045,32,32,32,32,32,32,70.258845,78.162679,99.233534,68.377835,60.722133,43.329114,50.583017,65.407803,36.962025,31.949367,30.93195,148.755366,113.097185,,149.592459,0,0,0,0.377,5.36,0,0.091203,0.879,0,0,0,0,-0.153,7.656,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,75TonScrew,1,10.45.08-Wed.02.26.2020.csv
49.953717,49.123435,199.190932,162.485793,171.99308,178.027589,158.790817,14.482538,196.286812,21.275356,48.546404,50.080674,32.03132,202.335866,160.812324,199.427212,108.151777,194.354115,-0.068482968,-0.413598,101.012418,66.003138,189.912092,0.386518,38.42132426,1.035064831,688876.2004,0.868776314,8.902444,15.04312,3.987444,0.072172,0.068352,32,81.034043,32,32,32,32,32,32,70.437697,79.140835,97.214344,36.185035,77.003513,43.329114,50.583017,78.705275,36.962025,35.949367,43.251153,158.790817,114.13152,,159.32655,0,0,0,0.377,5.36,0,0.091203,0.879,0,0,0,0,-0.153,7.656,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,75TonScrew,1,11.57.30-Wed.02.26.2020.csv
49.451593,49.201678,199.912723,162.928762,199.109252,188.334504,168.821606,14.468457,196.845613,21.644167,48.78174,49.635928,32.03132,202.901004,161.342454,199.921468,109.049218,194.273391,-0.06735995,-1.482037,90.421705,64.668381,190.420002,-0.022555,40.73062519,1.045200768,726410.6823,0.874512176,9.505329,14.113731,4.042887,0.0739,0.069942,32,81.457144,32,32,32,32,32,32,70.58971,81.745577,94.77737,-94.927673,99.994153,45.329114,58.183017,73.77708,39.962025,40.949367,40.428797,168.821606,115.524143,,169.230543,0,0,0,0.377,5.36,0,0.091203,0.879,0,0,0,0,-0.153,7.656,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,75TonScrew,1,13.27.12-Wed.02.26.2020.csv
49.74195,49.147024,199.018169,161.17299,210.309401,202.751875,178.847622,14.384521,196.008256,19.604738,48.945873,50.083545,32.03132,201.85796,159.602858,198.70427,117.725348,191.085363,-0.068202213,0.038015,91.969516,64.402184,188.976214,18.781057,42.33190569,1.073208727,747793.5027,0.882709,9.145112,4.251981,4.001012,0.064439,0.061824,32,80.031299,32,32,32,32,32,32,70.203271,70.863801,94.308042,81.265823,31.547479,51.151899,66.329114,59.812275,44.962025,44.392405,45.829594,178.847621,116.582038,,179.274874,0,0,0,0.377,5.36,0,0.091203,0.879,0,0,0,0,-0.153,7.656,0,-0.287,0.381267,0,0.15,1.2,0,-0.0561,0.336983,0,,1,75TonScrew,1,10.38.11-Thu.02.27.2020.csv
49.645268,48.947969,199.210595,160.562022,224.449047,214.931139,188.887122,14.379967,196.121993,19.568359,48.599435,50.08567,32.03132,201.955587,159.035193,198.710877,118.659793,189.997142,-0.066658064,0.037948,95.084895,63.721825,189.139492,18.779949,44.68072675,1.079869091,788436.4699,0.887446,9.046177,2.908333,4.012656,0.072113,0.069043,32,80.870432,32,32,32,32,32,32,70.238383,71.854865,92.673485,65.316456,46.491546,51.151899,66.329114,69.878608,47.962025,47.392405,69.028422,188.887122,117.413562,,189.223183,0,0,0,0.377,5.36,0,0.091203,0.879,0,0,0,0,-0.153,7.656,0,-0.287,0.35432,0,0.15,1.2,0,-0.0561,0.29,0,,1,75TonScrew,1,11.11.28-Thu.02.27.2020.csv
49.778628,48.913847,199.134867,160.173879,239.350407,228.184298,198.90366,14.354848,195.93752,19.605964,48.269881,50.328401,32.03132,201.754121,158.648805,198.394621,118.644469,188.326729,-0.067500327,-1.79165,95.32432,63.399053,188.901493,18.826913,47.80891431,1.068555636,836694.2182,0.891921,8.871505,2.293523,4.00034,0.071966,0.06873,32,81.376798,32,32,32,32,32,32,70.479499,69.876376,91.840996,52.151899,16.434948,51.151899,71.779114,78.797829,56.962025,53.810127,46.968443,198.903659,118.822845,,199.297496,0,0,0,0.377,5.36,0,0.091203,0.879,0,0,0,0,-0.153,7.656,0,-0.287,0.210256,0,0.15,1.2,0,-0.0561,0.33,0,,1,75TonScrew,1,13.45.05-Thu.02.27.2020.csv
50.207889,48.894886,198.684615,158.988386,253.423319,243.097723,208.906428,14.338373,195.070526,19.480792,48.084644,50.914787,32.03132,201.065015,157.510334,197.448764,118.221089,185.861314,-0.067219573,-1.827144,93.117454,63.114173,188.16903,18.712543,50.290966,1.072215273,892400.7516,0.896078,8.419161,1.7755,3.957186,0.078363,0.074442,32,81.50477,32,32,32,32,32,32,70.281496,71.180945,89.276757,39.493671,55.271971,51.151899,79.692295,88.049643,63.962025,59.398881,64.326789,208.906429,119.692768,,209.171436,0,0,0,0.377,0.8,0,0.091203,0.879,0,0,0,0,-0.153,0.2,0,-0.287,0.25,0,0.15,1.2,0,-0.0561,0.33,0,,1,75TonScrew,1,14.42.34-Thu.02.27.2020.csv
