OSU 80 -Ton Compressor Load Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PressCalibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J Singleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured on:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday, January 22,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:22:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Comments:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measurements:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,x_acc,y_acc,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,LG,MG,SG,LL,ML,SL,Speed2,Power2,VFD_out,Kc_LG,Ti_LG,Td_LG,Kc_MG,Ti_MG,Td_MG,Kc_SG,Ti_SG,Td_SG,Kc_LL,Ti_LL,Td_LL,Kc_ML,Ti_ML,Td_ML,Kc_SL,Ti_SL,Td_SL,Kc_WVB,Ti_WVB,Td_WVB,Kc_WVI,Ti_WVI,Td_WVI,,,,,
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,g,g,F,F,F,F,F,F,F,F,F,F,F,,Hz,,,,,,,Hz,kW,Hz,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,Purpose of Test, Test Request Number, Build Number, Steady (1 yes 0 no),Raw Data File
14.427547,68.084052,14.36677,67.624218,-0.044843,0.031472,14.70437,14.223008,79.616602,-0.000287,67.857562,78.472259,67.853428,12.485172,67.95636,78.350646,66.92424,78.275129,-0.000531,0.030717,67.664218,-235.778226,79.559218,-0.824683,-40.001041,0.000001,35.619622,0.002327,83.743623,-2.257208,0.995697,0.000181,0.304207,32,32,32,32,32,32,32,32,68.052723,67.492865,68.11836,0,0,0,0,0,0,0,0,29.40874,-335.701548,-15.000112,0,0,0,0.377,5.36,0,0.091203,0.879,0,0,0,0,-0.153,7.656,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,PressCalibration,1,1,14.22.32-Wed.01.22.2020.csv
164.340245,68.091945,14.380562,67.625913,-0.044273,0.031065,14.686569,14.221998,79.608804,-0.000302,67.843684,78.485961,67.848853,12.470962,67.955683,78.351205,66.926034,78.274311,-0.000543,0.030697,67.653132,-235.780281,79.584559,-0.819563,-40.001408,0.000035,-158.380877,0.000008,-43.289168,-2.2603,0.087525,0.000022,0.303897,32,32,32,32,32,32,32,32,67.963456,67.509055,68.120495,0,0,0,0,0,0,0,0,29.373138,-335.696047,-14.99935,0,0,0,0.377,5.36,0,0.091203,0.879,0,0,0,0,-0.153,7.656,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,PressCalibration,1,14.29.14-Wed.01.22.2020.csv
64.387064,68.075754,14.357465,67.632312,-0.04442,0.030783,14.689299,14.222404,79.623641,-0.000395,67.811665,78.499779,67.84277,12.509747,67.94016,78.387108,66.928003,78.279175,-0.000552,0.030303,67.633084,-235.779997,79.595692,-0.991788,-40.001081,0.000178,5.592208,0.000468,14.361186,-2.256692,0.223163,0.000517,0.304077,32,32,32,32,32,32,32,32,67.976017,67.511733,68.070803,0,0,0,0,0,0,0,0,29.378597,-335.695148,-14.999275,0,0,0,0.377,5.36,0,0.091203,0.879,0,0,0,0,-0.153,7.656,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,PressCalibration,1,14.55.18-Wed.01.22.2020.csv
114.352125,68.077966,14.364928,67.63336,-0.045437,0.030574,14.691198,14.223056,79.612269,-0.000347,67.798419,78.480145,67.836169,12.49043,67.933492,78.392946,66.930867,78.293968,-0.000546,0.030584,67.621154,-235.77904,79.594172,-0.991737,-40.001266,0.000033,-149.942542,0.000008,-19.39239,-2.247781,0.125673,0.000697,0.304222,32,32,32,32,32,32,32,32,67.992781,67.524712,68.085389,0,0,0,0,0,0,0,0,29.382397,-335.695476,-14.999285,0,0,0,0.377,5.36,0,0.091203,0.879,0,0,0,0,-0.153,7.656,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,PressCalibration,1,14.58.33-Wed.01.22.2020.csv
14.350362,68.076746,14.481399,67.634981,-0.044635,0.031443,14.69909,14.222776,79.631649,-0.000416,67.799322,78.493081,67.834322,12.474921,67.939616,78.373955,66.963267,78.307441,-0.000524,0.03052,67.62125,-235.778523,79.596075,-0.991763,-40.000967,-0.000001,35.674471,0.00234,83.948635,-2.270198,1.009261,0.000071,0.304713,32,32,32,32,32,32,32,32,67.985297,67.546145,68.093332,0,0,0,0,0,0,0,0,29.39818,-335.69487,-14.999259,0,0,0,0.377,5.36,0,0.091203,0.879,0,0,0,0,-0.153,7.656,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,PressCalibration,1,15.04.02-Wed.01.22.2020.csv
14.353907,68.073633,239.364412,67.636028,-0.045094,0.031554,14.707714,14.223865,79.617207,-0.000562,67.797003,78.534727,67.830627,12.486827,67.94141,78.376896,66.994616,78.327457,-0.00054,0.03045,67.619819,-235.77788,79.587909,-0.991874,-40.001133,-0.000433,35.782642,0.002345,83.934261,-2.285346,16.677763,0.00108,0.305051,32,32,32,32,32,32,32,32,68.045185,67.544592,68.086583,0,0,0,0,0,0,0,0,29.415428,-335.695238,-14.999274,0,0,0,0.377,5.36,0,0.091203,0.879,0,0,0,0,-0.153,7.656,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,PressCalibration,1,15.08.26-Wed.01.22.2020.csv
14.35215,68.059865,464.23689,67.640137,-0.045138,0.030788,14.686501,14.222004,79.628208,-0.000388,67.783568,78.529579,67.830938,12.509331,67.929254,78.377859,67.02389,78.351174,-0.000538,0.030486,67.598293,-235.780028,79.606355,-0.991861,-40.001338,-0.000528,34.909941,0.002291,83.923423,-2.298779,32.347667,0.000267,0.304268,32,32,32,32,32,32,32,32,67.854465,67.499845,68.054872,0,0,0,0,0,0,0,0,29.373003,-335.695922,-14.999361,0,0,0,0.377,5.36,0,0.091203,0.879,0,0,0,0,-0.153,7.656,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,PressCalibration,1,15.20.42-Wed.01.22.2020.csv
14.431935,68.969276,14.242061,68.459558,-4.137912,-4.04479,12.486989,14.330202,79.935467,-0.315231,68.150806,79.738273,68.371783,12.387332,68.435667,79.254284,67.688293,79.087203,-0.093256,-0.901941,68.53955,316.257388,80.483066,-0.075181,-40.00108,0.014826,NaN,#NAME?,84.013236,-3.518163,0.968094,0.324101,0.246361,32,32,32,32,32,32,32,32,68.654342,68.177737,68.521334,0,0,0,0,0,0,0,0.564564,17.827058,-329.413214,-14.705978,0,0,0.007392,0.474706,5.254902,0.001788,0.10665,0.861765,0,0,0,-0.003,0.000118,7.505882,-0.005627,-0.271569,0.490196,0.002941,0.170588,1.176471,-0.0011,-0.047745,0.362745,0,,1,PressCalibration,1,16.20.14-Wed.01.29.2020.csv
14.429229,68.986894,14.379596,68.641809,-0.070903,0.015916,0,14.331193,79.942903,-0.003156,68.161039,79.75554,68.388724,12.581148,68.45379,79.346854,67.722561,79.131016,-0.000757,0.027606,68.714017,516.336971,80.578693,0.134156,-40.001132,0,NaN,Inf,84.63664,-2.431576,0.995988,0.321926,0.242774,32,32,32,32,32,32,32,32,68.710253,68.197537,68.547824,0,0,0,0,0,0,0,0,0,-335.701743,-15.000107,0,0,0,0.377,5.36,0,0.091203,0.879,0,0,0,0,-0.153,7.656,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,PressCalibration,1,16.26.05-Wed.01.29.2020.csv
