Torad 40-Ton Compressor Load Stand
Scroll
J Singleton
Measured on:
Monday, December 17, 2018
2:03:20 PM
Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,,Purpose of Test, Test Request Number, Build Number, Steady (1 yes 0 no),Raw Data File
55.019007,65.054407,85.907669,115.130967,62.183669,58.552133,59.411142,12.946854,79.589756,0.875076,65.112392,55.786333,114.037725,81.236968,112.249734,79.798408,52.958464,79.325278,0.005961,0.013456,32.000000,-237.060195,80.056400,0.225372,9.826266,0.438883,297780.711801,0.923965,19.796371,12.475968,1.561410,68.990878,56.805517,70.348000,12.381206,39.957340,99.017000,83.570407,21.012658,15.243425,,Scroll,1,1,14.03.20-Mon.12.17.2018.csv
54.923248,65.385588,101.442312,123.658982,61.854493,58.170755,59.384698,12.961655,96.789145,0.791634,65.462021,55.702949,122.550975,98.290907,120.537019,97.048884,56.583214,96.737662,0.001970,0.013855,32.000000,-237.045366,97.180537,0.232169,10.863051,0.545355,292143.802455,0.920942,20.219566,20.562293,1.846993,68.901637,56.895169,77.246501,43.043022,37.774619,99.000000,49.839553,19.012658,12.583794,,1,Scroll,1,15.44.33-Mon.12.17.2018.csv
54.920165,64.982132,101.304456,123.291673,57.330504,58.308585,59.399592,12.754804,96.544330,0.850353,65.017047,55.620053,122.213052,98.321033,120.392067,97.091301,69.568599,96.572614,0.001946,0.013867,32.000000,-237.252148,97.245136,0.253126,10.893539,0.543350,277929.490012,0.921951,19.818510,7.472807,1.844620,68.772002,68.930970,76.009506,13.000000,48.888102,81.582278,75.835612,24.010000,16.354995,,2,Scroll,1,13.49.23-Tue.12.18.2018.csv
54.909664,65.162229,119.115158,132.527943,54.987583,58.096324,59.352447,12.775899,115.150748,0.792395,65.188776,55.620375,131.409975,116.949386,129.310818,115.834343,73.681169,115.289852,0.001993,0.014210,32.000000,-237.231105,115.854314,0.232392,12.088539,0.618886,272615.523618,0.919962,20.007554,14.304431,2.169301,69.172615,69.925911,82.745140,78.708861,46.329110,81.582278,54.829511,23.010000,12.780888,,2,Scroll,1,15.45.07-Tue.12.18.2018.csv
54.927705,65.020118,138.922712,142.057196,62.122355,57.794974,59.295121,12.823808,135.643885,0.958984,64.988381,55.518292,140.863073,137.518815,138.566709,136.442255,78.143592,135.774880,0.001845,-0.733203,32.000000,-237.183176,136.671149,0.286602,13.473915,0.662721,266303.317849,0.915399,19.849376,20.378897,2.529193,68.372300,69.843882,88.020492,100.000000,37.212366,81.580000,35.506008,21.010000,15.133664,45/100,1,Scroll,1,12.34.46-Wed.12.19.2018.csv
54.930083,65.101712,138.908754,142.505131,62.892239,57.737818,59.295487,12.808319,135.568380,0.801713,65.075802,55.525318,141.314513,137.554550,138.987974,136.504948,78.038687,135.908268,0.001881,-1.909744,32.000000,-237.198721,136.636341,0.233665,13.500098,0.660832,266213.047563,0.914637,19.927997,20.548693,2.528852,68.720010,69.877653,88.354994,100.000000,36.885989,81.580000,35.478851,21.010000,15.391784,45/100,1,Scroll,1,15.22.32-Wed.12.19.2018.csv
60.171052,69.942015,119.051229,131.789729,69.292668,63.344879,59.341585,12.955379,114.429346,1.503405,70.062814,60.896025,130.654628,116.479897,128.657294,115.160169,72.632952,114.408442,0.001847,0.012860,32.000000,-237.051769,115.359589,0.332630,12.248650,0.586650,300793.695918,0.918020,19.908548,14.866843,1.978562,68.818609,68.407772,81.912033,41.787284,37.143525,60.204302,88.724562,26.524041,8.033329,Re run 50 90 20,1,Scroll,1,15.14.28-Tue.01.15.2019.csv
60.154609,69.995038,119.068820,131.809925,56.442841,63.261693,59.339697,12.924390,114.624210,1.547704,70.168474,60.932878,130.696347,116.390174,128.730066,115.116781,60.219935,114.468420,0.001942,-0.220866,32.000000,-237.082722,115.299213,0.357138,12.254365,0.586080,315697.359456,0.917260,19.975969,27.314032,1.979418,68.107867,56.276066,82.659719,42.960070,35.572435,60.455696,78.668603,15.200000,21.558390,,1,Scroll,1,15.54.45-Wed.01.16.2019.csv
60.171318,69.981773,119.101510,131.517090,48.668726,63.313229,59.343573,12.803158,114.587810,1.558583,70.128848,60.879681,130.386388,116.469874,128.453584,115.164594,57.949213,114.473738,0.001837,0.012619,32.000000,-237.203945,115.465290,0.413547,12.261246,0.586172,318741.755527,0.917628,19.948578,29.587686,1.979382,67.757065,53.528454,82.553477,64.602529,37.946091,70.603617,75.331163,20.200000,7.953302,,1,Scroll,1,12.18.37-Fri.01.18.2019.csv
60.182086,70.134715,119.105355,131.967111,48.808656,63.243834,59.344112,12.773548,114.465075,1.570034,70.271703,60.875599,130.843033,116.431953,128.916925,115.162366,58.027652,114.509205,0.001840,0.012917,32.000000,-237.233557,115.406737,0.341694,12.239853,0.586671,318418.993474,0.916814,20.093374,29.527796,1.979104,67.803442,53.414048,82.474706,64.602529,37.876989,70.603617,75.294555,20.200000,8.397336,,1,Scroll,1,13.38.34-Fri.01.18.2019.csv
54.787968,64.929399,138.889857,143.072599,37.068152,57.554407,59.293025,12.899055,135.162063,1.531050,64.889792,55.406562,141.843793,137.419508,139.495240,136.266729,73.809229,135.643218,0.001915,-1.893081,32.000000,-237.108126,136.429141,0.360706,13.597690,0.655664,269944.984845,0.913971,19.892979,24.649271,2.535047,68.471567,65.176087,88.182037,76.159540,42.382623,51.871616,66.653198,20.475027,13.974258,,1,Scroll,1,16.36.20-Mon.01.28.2019.csv
54.786482,65.042652,161.203421,154.466527,41.999368,57.177998,59.215440,12.937484,157.992158,1.601823,65.005133,55.407419,153.181823,160.481511,150.572089,159.379734,79.188282,158.657694,0.001985,-1.744356,32.000000,-237.069621,159.388693,0.378601,15.252437,0.674749,262547.989449,0.909479,20.007417,29.776991,2.942456,69.057250,66.146565,94.595490,92.160000,39.259553,41.599011,63.824932,18.734177,18.054655,,1,Scroll,1,16.37.02-Tue.01.29.2019.csv
54.792846,65.762929,161.181678,154.990348,43.034067,57.289740,59.216875,12.790273,157.934694,1.597199,65.759609,55.433886,153.692682,160.461413,151.070521,159.316488,88.808858,158.700394,0.002022,-1.737620,32.000000,-237.216847,159.378676,0.377356,15.258954,0.677006,253073.920402,0.912879,20.722123,20.173324,2.941651,69.141360,77.212210,93.703632,63.000000,52.037651,41.590000,64.314348,22.519760,17.934109,,1,Scroll,1,20.25.56-Tue.01.29.2019.csv
54.786803,65.012959,186.002714,166.449665,44.820651,56.967984,59.122503,12.806052,183.151907,1.610877,64.927752,55.434822,165.024928,186.083098,162.087489,184.585964,94.283286,184.016593,0.001989,-1.619852,32.000000,-237.200939,184.610991,0.380018,17.087978,0.679972,245360.570683,0.907484,19.976498,25.007154,3.395032,67.867574,76.899918,98.625836,13.599855,45.772105,32.590000,61.367264,20.652000,22.531359,,1,Scroll,1,15.41.29-Thu.01.31.2019.csv
54.789958,64.827491,212.889393,178.795150,52.205279,56.720851,59.025170,12.678707,210.439234,1.615604,64.731915,55.430279,177.209046,213.775624,173.916991,212.096822,112.537167,211.425370,0.002005,-1.501711,32.000000,-237.328403,211.896241,0.394155,19.105042,0.672066,224603.135262,0.904538,19.786480,16.771360,3.885556,67.973728,80.098762,104.418977,37.468354,56.211251,32.590000,52.634056,27.306260,25.310662,,1,Scroll,1,17.25.44-Thu.01.31.2019.csv
54.788606,64.666756,138.962843,139.106555,39.271969,44.296017,56.373317,12.787695,136.448810,0.501672,64.440602,55.180070,137.807605,138.409890,135.194891,137.625525,74.062364,137.306358,0.002006,-1.973667,32.000000,-237.218556,137.950086,0.140774,9.580374,0.716048,NaN,Inf,19.631878,25.198447,2.536414,67.781480,66.953738,88.149258,58.632911,47.561607,32.590000,66.492880,6.963656,17.578772,,1,Scroll,1,19.01.25-Thu.01.31.2019.csv
54.783634,65.112166,138.924477,140.017992,50.875735,48.905069,58.583986,12.882010,136.345802,0.891852,64.924806,55.230224,138.753629,138.178337,136.242565,137.344641,75.690296,136.874281,0.001981,-1.911910,32.000000,-237.124560,137.582561,0.213449,10.763943,0.704430,227740.976898,0.786482,20.080038,23.364051,2.535915,67.588940,68.017802,87.719920,27.098226,44.404617,49.240506,56.472133,18.000000,7.090318,,1,Scroll,1,11.39.11-Fri.02.01.2019.csv
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1,Scroll,1,11.39.14-Fri.02.01.2019.csv
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1,Scroll,1,11.39.16-Fri.02.01.2019.csv
0.109733,0.130654,0.278276,0.280313,0.100567,0.097661,0.117260,0.025768,0.272844,0.002495,0.130517,0.110678,0.277872,0.276487,0.272885,0.274808,0.151606,0.273901,0.000004,-0.003821,0.064000,-0.474245,0.275252,0.000538,0.021528,0.001405,454.782922,0.001570,0.040402,0.046568,0.005067,0.136172,0.136246,0.175427,0.054196,0.088920,0.098481,0.113402,0.036000,0.014506,,1,Scroll,1,11.39.25-Fri.02.01.2019.csv
54.797117,65.424845,138.926254,141.742503,43.242702,53.466021,54.897824,12.712364,135.586828,0.941926,65.390155,55.273397,140.511810,137.705283,138.073871,136.627603,79.486999,136.187288,0.002016,-1.908827,32.000000,-237.294381,136.871588,0.270815,12.164358,0.681858,245309.047805,0.918067,20.379585,19.234568,2.535247,68.240381,71.592790,87.947137,24.800000,56.823092,60.000000,52.893284,19.000000,12.422092,,1,Scroll,1,19.11.45-Fri.02.01.2019.csv
54.793803,64.988064,138.920957,141.349494,43.057705,53.515216,54.895369,12.707392,135.555732,0.937380,64.933381,55.271987,140.127388,137.664496,137.718553,136.626601,79.661799,136.170413,0.002018,-1.910209,32.000000,-237.299417,136.861792,0.268913,12.166356,0.681557,245049.212575,0.917941,19.945232,19.052291,2.535317,68.158609,71.748364,87.760470,24.800000,57.472253,60.000000,52.822997,19.000000,12.554597,,1,Scroll,1,20.02.30-Fri.02.01.2019.csv
0.327900,0.389966,0.833337,0.848507,0.259311,0.319893,0.329360,0.076245,0.812846,0.005012,0.389757,0.330838,0.841133,0.825388,0.826486,0.819311,0.478475,0.816518,0.000012,-0.011462,0.192000,-1.423795,0.820550,0.001404,0.072907,0.004092,1464.625837,0.005506,0.120437,0.113575,0.015250,0.408469,0.430698,0.524388,0.148800,0.347486,0.360000,0.317445,0.114000,0.075191,,1,Scroll,1,20.02.49-Fri.02.01.2019.csv
54.784843,65.373309,138.943143,143.441778,41.144099,57.673333,59.786843,12.658815,135.002671,1.268633,65.367028,55.282431,142.209981,137.314035,139.820160,136.163650,81.781059,135.557125,0.001968,-1.171241,32.000000,-237.348213,136.369738,0.367321,13.606073,0.657760,262037.371461,0.909429,20.340047,16.636739,2.536193,68.408505,73.579421,87.717277,2.185945,55.256336,66.596150,51.382815,22.892780,16.643834,,1,Scroll,1,21.44.28-Sat.02.02.2019.csv
