OSU 80 -Ton Compressor Load Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spool-0081-MixTest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J Singleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured on:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday, December 1,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:21:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Comments:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measurements:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,x_acc,y_acc,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,LG,MG,SG,LL,ML,SL,Speed2,Power2,VFD_out,Kc_LG,Ti_LG,Td_LG,Kc_MG,Ti_MG,Td_MG,Kc_SG,Ti_SG,Td_SG,Kc_LL,Ti_LL,Td_LL,Kc_ML,Ti_ML,Td_ML,Kc_SL,Ti_SL,Td_SL,Kc_WVB,Ti_WVB,Td_WVB,Kc_WVI,Ti_WVI,Td_WVI,,,,,
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,g,g,F,F,F,F,F,F,F,F,F,F,F,,Hz,,,,,,,Hz,kW,Hz,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,,,,,
54.836344,64.999506,139.209436,-399.83424,110.407585,103.492473,10.09202,14.317568,130.708058,30.800042,47.244299,23.842071,119.574258,138.528412,118.849029,138.198396,86.240338,135.811721,-0.000619,0.028808,32,-235.690755,94.290666,-0.025276,24.436322,0.657092,460869.0338,0.921572,19.911008,12.29764,2.538462,0.069571,0.044716,135.898312,32,151.672632,132.072655,104.611033,127.144165,32,122.584257,69.214855,70.932852,84.380894,44.14591,62.553344,,61.835443,68.828384,,18.556962,28.090197,20.184039,36.786985,,,,,,,,,,,,,,,,,,,,,,,,,,,Spool-0081-MixTest,1,1,16.21.22-Sun.12.01.2019.csv
49.764855,60.256905,138.269603,-141.424818,103.037949,95.755446,11.377054,14.336813,133.635339,22.939399,42.314432,-88.214202,122.191849,137.84858,121.372156,137.61672,90.074417,135.477635,-0.000611,0.028941,32,-235.671765,123.784469,-0.024964,24.180775,0.674764,416421.0641,0.937229,20.254492,8.308259,2.778626,0.068049,0.042201,142.425015,32,156.953448,416.224415,109.21644,130.428218,32,125.084202,68.964098,70.919781,81.643947,43.227848,15.165239,,60.607595,66.358447,,23.605084,35.57809,22.754107,36.42823,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Spool-0081-MixTest,1,18.10.40-Sun.12.01.2019.csv
49.837264,65.118113,139.221332,584.369243,104.856753,97.17904,14.60524,14.347054,138.886199,2.309363,62.398888,-87.737923,143.985648,139.687318,142.281952,139.249379,81.83941,137.611221,-0.000565,0.029722,32,-235.662104,139.018025,-0.024808,24.476886,0.689089,443870.088,0.96203,25.020335,17.570652,2.793904,0.068194,0.030255,169.394905,32,184.994483,-64.493384,171.235414,153.044286,32,148.794633,68.928702,67.188936,90.86451,100,34.472904,,0,62.507977,,0,38.146933,29.210479,36.785926,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Spool-0081-MixTest,1,14.51.45-Mon.12.02.2019.csv
49.834226,59.96238,138.657949,451.63661,106.543916,98.671117,14.60514,14.337551,137.939541,2.298849,56.039081,-87.824916,140.002666,138.838804,138.752343,138.355858,82.390768,136.61824,-0.000541,0.029708,32,-235.671548,138.187482,-0.024653,24.483444,0.686805,443041.1112,0.963643,19.867674,16.537651,2.782506,0.065759,0.027486,164.607103,32,179.962733,164.201126,166.132427,147.825437,32,143.323761,69.29334,68.232746,90.232888,100,45.633687,,0,64.023725,,0,53.852657,29.210281,36.800133,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Spool-0081-MixTest,1,15.32.11-Mon.12.02.2019.csv
49.738082,69.993533,138.881477,528.384169,103.238177,95.560845,14.605213,14.333394,138.168381,2.302071,66.776071,-87.714387,150.039768,139.170501,148.452585,138.683428,81.871798,137.017386,-0.000546,0.029859,32,-235.675764,138.45578,-0.024652,24.420878,0.687895,442487.2324,0.9597,29.997314,17.25018,2.792217,0.072221,0.031853,175.940579,32,191.64642,193.775114,177.440982,159.080043,32,154.304879,69.321774,67.585514,91.201774,55.257736,26.677677,,0,62.110289,,0,40.935621,29.210426,36.708734,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Spool-0081-MixTest,1,16.07.40-Mon.12.02.2019.csv
49.96416,75.096133,139.024585,707.080714,102.13502,94.610757,14.598742,14.329922,138.297823,2.308494,72.358479,-87.690749,153.839872,139.328188,151.905348,138.802403,81.175206,137.178527,-0.000534,0.029768,32,-235.679241,138.610903,-0.024648,24.418406,0.687585,445480.979,0.957624,34.865243,18.025259,2.782309,0.078924,0.031786,179.863345,32,195.629689,-377.218534,181.612581,163.699672,32,158.949149,69.226295,66.713317,91.889309,55.257736,21.982017,,0,61.419873,,0,31.954775,29.197484,36.697884,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Spool-0081-MixTest,1,16.21.12-Mon.12.02.2019.csv
49.903538,80.082162,139.008906,493.918156,100.673521,93.088177,14.598018,14.327372,138.273942,2.319393,77.540841,-87.573148,159.054986,139.410432,156.997932,138.826086,80.909149,137.245371,-0.000528,0.030083,32,-235.681601,138.617064,-0.024596,24.372753,0.687329,444836.487,0.954949,39.910423,18.325477,2.785299,0.084543,0.031591,185.561468,32,201.604747,-9501.54925,187.565449,169.309676,32,164.338552,69.33953,66.436213,92.450504,55.257736,20.929246,,0,60.358416,,0,27.806256,29.196037,36.663631,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Spool-0081-MixTest,1,16.33.27-Mon.12.02.2019.csv
49.901233,85.075386,139.026702,547.490329,99.317989,91.765934,14.592439,14.322932,138.294248,2.323849,82.731037,-87.110558,163.912817,139.493983,161.708515,138.820442,80.605475,137.32164,-0.000533,0.030198,32,-235.686192,138.64908,-0.024595,24.385993,0.685961,444971.1466,0.952909,44.913908,18.664734,2.786276,0.089308,0.029205,190.715567,32,207.059164,-851.204668,192.898275,174.394234,32,169.532862,69.38971,66.248929,92.682756,55.257736,19.608435,,0,59.796159,,-7.5,23.56061,29.184877,36.671885,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Spool-0081-MixTest,1,16.48.03-Mon.12.02.2019.csv
49.843155,90.054812,138.911629,485.771644,98.042417,90.6388,14.587197,14.320454,138.10468,2.327594,87.84808,-8.161606,169.109132,139.442598,166.811801,138.634189,80.466428,137.22379,-0.00054,0.029901,32,-235.6884,138.524171,-0.024567,24.392465,0.686019,445668.6695,0.953416,49.94857,18.756993,2.786938,0.090595,0.026371,196.280862,32,212.737326,-4372.729607,198.602656,179.802403,32,175.056442,69.436201,66.280462,92.947576,55.257736,19.356814,,0,59.076007,,-7.5,36.724831,29.174394,36.686286,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Spool-0081-MixTest,1,17.03.19-Mon.12.02.2019.csv
