OSU 80 -Ton Compressor Load Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spool-0081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J Singleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured on:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday, May 1,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:02:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Comments:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measurements:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,x_acc,y_acc,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL,Speed2,Power2,,,,,
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,g,g,F,F,F,F,F,F,F,F,F,F,F,,Hz,,,,,Hz,kW,Purpose of Test, Test Request Number, Build Number, Steady (1 yes 0 no),Raw Data File
54.78705,64.814104,213.474737,177.068472,102.817048,102.448997,29.158756,14.222522,210.423077,6.888485,60.032986,55.680582,176.287049,215.702581,173.662258,211.022254,127.381945,209.324756,-0.00083,-1.392537,32,-235.786172,210.492785,-0.024769,34.918796,0.665495,376178.1173,0.931047,19.778426,1.198504,3.896452,9.804048,9.488147,213.833749,215.038546,231.387875,202.966057,148.284001,188.680187,32,181.326307,69.91322,68.81051,112.758374,15.199378,42.069277,49,52.062062,34.29,47.869953,59.582209,47.793669,,Spool-0081,1,1,14.02.19-Wed.05.01.2019.csv
54.790771,64.987261,186.038923,163.890378,104.435465,105.265811,29.216143,14.213346,182.116022,5.969799,61.57959,55.682679,163.060161,187.540194,160.444245,182.717767,116.931132,180.802094,-0.000829,-1.580879,32,-235.795384,182.317721,-0.024912,31.115673,0.690025,407538.7875,0.955145,19.946235,1.112384,3.395443,9.926931,9.102656,195.647997,195.757028,211.58926,188.915579,125.451316,172.610917,32,166.547536,69.691302,66.48658,105.605618,7.152826,40.351918,54,68.79098,34.29,37.101822,59.630238,43.824186,,1,Spool-0081,1,15.15.19-Wed.05.01.2019.csv
54.782514,65.017301,160.997075,152.859528,107.954761,107.247163,29.274605,14.201662,156.631296,4.349872,62.908199,55.701668,152.082999,161.970806,149.573386,157.010244,106.395987,154.951307,-0.000835,-1.754225,32,-235.806931,156.909821,-0.024949,27.800383,0.693513,436536.9248,0.971414,19.987274,0.957224,2.938759,9.472915,9.575313,178.807593,179.839717,194.638424,176.519656,132.501547,160.060215,32,154.951975,70.033031,64.776283,97.983606,4.967507,43.415975,69,79.229786,32.29,37.204208,59.592184,40.333859,,1,Spool-0081,1,16.29.58-Wed.05.01.2019.csv
54.796099,64.958478,139.067796,142.339365,114.479288,108.568785,29.331048,14.205606,134.634462,3.725577,63.634401,55.807706,141.599417,140.367027,139.131259,134.98578,96.166401,132.585641,-0.000835,-1.924028,32,-235.802995,135.056081,-0.025101,24.912036,0.675959,462760.0512,0.981076,19.912253,0.799952,2.537895,9.221542,9.280378,163.428086,165.755137,178.363353,164.379641,95.345591,148.41498,32,143.849713,68.8565,63.463126,90.304102,3,49.075197,87.284395,69.572335,35.29,36.601214,59.562717,37.310891,,1,Spool-0081,1,17.30.31-Wed.05.01.2019.csv
54.761284,65.112448,119.144029,130.692639,111.208582,109.711771,29.22716,14.324516,112.296388,4.315242,63.655214,55.890939,130.068948,119.113865,127.50682,112.586179,84.424159,109.459085,-0.000785,0.013407,32,-235.683986,112.65505,-0.228566,21.850057,0.649201,492156.8686,0.99604,20.099892,0.305265,2.175684,9.192324,9.181169,148.539083,150.081864,161.789394,150.57622,144.414302,135.233906,32,131.617558,69.408876,60.526531,81.112394,6,53.060986,90.28,95.860533,35.75723,38.729874,59.545924,34.014798,,1,Spool,1,10.50.50-Thu.05.02.2019.csv
54.850537,64.909922,101.458481,119.565448,114.235582,110.707447,29.306687,14.312532,94.093512,2.864625,64.198862,55.92622,119.007246,101.205937,116.446326,94.182251,73.238918,90.438678,-0.000779,0.013236,32,-235.695962,94.536288,-0.188999,18.381105,0.614069,168906.9711,0.999991,19.810728,-0.130643,1.84964,9.273936,8.978106,134.665952,134.279863,145.758071,134.887786,133.562932,122.2736,32,119.949424,69.763162,58.847584,72.277531,4,53.325446,85.368,76.04162,36.7865,38.891598,59.547354,30.451007,,1,Spool,1,12.19.10-Thu.05.02.2019.csv
54.363424,65.118344,85.655466,108.677434,121.675489,110.449787,29.390556,14.2866,76.724563,1.5249,65.056744,55.444512,108.175655,83.839377,105.637932,76.562444,60.591656,72.175577,-0.00181,0.013139,32,-235.721858,77.116759,-0.190696,14.7714,0.56293,32009.9359,1.005252,20.48984,-0.536528,1.575611,9.178932,8.974714,121.369071,119.966971,132.193672,120.611996,122.605069,110.489653,32,108.713812,69.373886,56.656999,61.792222,7,49.382311,100,99.999706,38.746835,32.263634,59.581281,26.729256,,1,Spool,1,15.34.03-Thu.05.02.2019.csv
49.819618,60.278815,138.904053,144.498143,98.990039,99.091526,29.166271,14.252427,136.365784,1.719196,60.505552,50.680494,143.676876,140.189026,141.416831,136.357095,97.248968,134.607573,-0.000749,0.010484,32,-235.756031,136.652252,-0.091448,24.342358,0.695751,417418.9827,0.987805,20.197938,0.706535,2.788118,9.681879,10.037292,167.687044,32,182.147817,168.604895,139.447708,150.678619,32,146.459195,70.298207,62.125782,91.446648,93.594937,38.62148,59,57.991521,29.8001,67.16465,59.579541,36.809211,,1,Spool-0081,1,15.15.17-Fri.05.03.2019.csv
40.807935,50.007672,138.880211,150.241982,99.296315,80.86755,29.164945,14.202065,136.085613,0.791287,49.454037,41.431649,149.230278,139.659074,146.547484,136.183975,97.237775,134.993635,-0.000762,0.009873,32,-235.806396,136.422097,-0.361344,24.119853,0.684035,335175.0685,0.97574,19.979421,0.905741,3.403213,10.234642,9.985505,177.4237,32,194.41719,176.198989,178.326881,157.65453,32,153.187615,68.496175,61.366386,91.130108,27.646656,49.494987,50.632911,42.07978,18.468354,23.810191,59.562966,36.283074,,1,Spool-0081,1,16.24.22-Mon.05.06.2019.csv
