Torad 40-Ton Compressor Load Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J Singleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured on:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday, March 26,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:14:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Comments:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measurements:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,x_acc,y_acc,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL,,,,,,,
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,Hz,Hz,F,F,F,F,F,F,F,F,F,F,F,,Hz,,,,,Purpose of Test, Test Request Number, Build Number, Steady (1 yes 0 no),Raw Data File,,
49.825158,59.750206,138.615786,137.041632,91.317575,101.387795,60.390403,12.988687,134.492141,14.023023,31.92728,51.247289,32.03132,139.173401,32.02898,135.291713,32.01062,133.311353,-0.00091,0.010165,32,-237.019619,134.134097,-0.197972,24.736144,0.697999,552547.8093,0.487428,19.661738,65.31067,2.78207,11.466559,9.966075,32,32,32,32,32,32,32,32,70.66208,32,32,37.024387,37.247213,86.228153,91.531646,43.50658,38.953582,Initial test,Spool,1,1,18.14.12-Tue.03.26.2019.csv,,
49.240418,58.779404,138.716841,136.942352,89.716078,100.618207,60.260579,12.754232,134.736212,14.128973,51.126477,50.664111,136.5025,139.422326,134.44284,135.401753,90.531108,133.451155,-0.000902,-1.942007,32,-237.254071,134.41117,-0.024453,24.822884,0.698034,870126.0357,0.9797,19.303858,6.853807,2.81716,12.809238,10.715878,32,32,32,32,32,32,32,32,67.971107,75.471612,89.376955,45.316456,51.763483,88.860759,100,46.379747,45.239869,,1,Spool,1,16.48.57-Wed.03.27.2019.csv,,
49.798735,59.919162,138.767924,142.86658,98.970115,100.739479,29.451073,12.916702,136.161887,2.633668,31.92728,50.96994,32.03132,139.288701,32.02898,136.668748,32.01062,134.91728,-0.000843,-0.966544,32,-237.091624,136.766053,-0.02389,24.528147,0.700909,549253.398,0.99413,19.859666,66.095366,2.786576,13.095569,13.994107,32,32,32,32,32,32,32,32,32,32,32,38.02,35.894526,93.33,80.429706,40.5869,41.109283,59.535682,,1,Spool,1,14.26.03-Wed.04.03.2019.csv,
49.799162,59.898144,138.827377,143.039275,99.436565,100.852666,29.482549,12.847933,136.196486,2.15034,59.188512,50.802563,142.110597,139.374024,140.138258,136.788495,85.876313,135.012914,-0.000851,-1.910837,32,-237.160393,136.989368,-0.024823,24.545025,0.701466,446094.3991,0.993259,19.837211,12.273003,2.787744,12.87286,34.756502,161.612513,48.332309,165.209623,172.017237,158.417721,165.735029,32,151.258904,67.900042,73.562053,90.273007,43.493671,41.546074,88.33,81.285478,42.0914,41.754145,59.542297,,1,Spool,1,15.35.21-Thu.04.04.2019.csv,
49.551796,59.92386,139.147212,143.511396,89.978094,100.506433,29.51339,12.696255,136.54967,2.004485,59.318608,50.596124,142.566433,139.74376,140.42504,136.921744,85.616985,135.432135,-0.000822,-1.916322,32,-237.312037,136.982592,-0.024708,24.663097,0.701103,445253.3893,0.995238,20.107196,12.735678,2.808319,13.165179,39.383337,163.432525,32,165.821631,173.359376,159.168002,166.867207,32,151.763454,67.61553,76.409904,89.462609,33.434987,46.039042,61.36319,94.945726,41.197686,41.293093,59.541752,,1,Spool,1,19.38.17-Tue.04.09.2019.csv,
49.809779,60.186149,138.983815,142.715197,104.733401,100.814043,29.404028,12.699057,135.551884,3.303697,58.690086,50.983305,141.707153,139.451664,139.526534,136.079988,83.192955,134.436533,-0.000829,-1.943126,32,-237.309294,136.047643,-0.024782,24.661586,0.726234,468971.7837,1.035442,20.115536,14.679315,2.790266,13.589708,41.50329,159.899999,32,165.345499,171.207956,157.867069,165.329,32,150.996051,67.474131,73.366179,89.487891,34.463506,37.058632,65.56962,60.098831,41.1678,37.467708,59.535382,,1,Spool,1,14.08.23-Wed.04.10.2019.csv,
49.801075,75.410693,161.280623,169.410747,90.701349,93.880982,29.408405,12.592901,157.986932,5.358849,72.622102,50.685897,168.382322,162.415165,165.750203,158.831617,91.140901,157.603039,-0.000825,-1.796739,32,-237.41543,158.532346,-0.024611,27.692976,0.669528,410671.1197,0.931873,35.350051,17.369174,3.238508,13.058702,41.327378,190.658178,32,200.230681,204.974173,188.354631,197.970503,32,181.014967,68.204116,78.067145,98.070511,96.455696,42.682702,50.126582,45.432884,38.5,42.315304,59.470758,,1,Spool,1,18.42.47-Wed.04.10.2019.csv,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,Spool,1,18.42.49-Wed.04.10.2019.csv,
43.047195,49.33964,146.953755,152.12397,79.998131,84.271346,29.588705,14.205906,144.444303,2.1415,46.801782,43.870813,151.009694,147.828169,149.03089,144.977468,91.156725,143.857757,-0.000794,0.012974,32,-235.802614,145.220622,-0.024343,25.408365,0.638289,338706.5096,0.896285,16.691006,11.178367,3.41398,12.865875,42.348308,176.720475,32,180.749878,186.219896,169.935269,179.000505,32,161.312585,68.399972,81.900221,91.541585,0,59.999925,58.987342,60.97124,43.015,43.019,59.530874,37.878521,,1,Spool,1,13.57.38-Tue.04.16.2019.csv
