Torad 40 Ton Compressor Load Stand
C Bradshaw
Measured on:
Wednesday, September 5, 2018
1:20:32 PM

6
Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min
-0.865127,19.580062,0.346809,211.411968,-0.902059,-1.269058,0.000000,377.209069,0.122130,-0.740782,19.554385,-250.001982,19.344596,0.383883,19.373978,0.234953,19.408107,0.279534,0.053947,-0.537998,-0.596083,0.587514,-2.642216,0.986291
-0.866473,19.580074,0.348130,262.232550,-0.905622,-1.269177,0.000000,377.006849,0.122085,-0.734808,19.554174,-250.002031,19.344746,0.386474,19.374019,0.234098,19.407986,0.279602,0.053914,-0.537907,-0.595375,0.586202,-2.641904,0.986299
-0.865277,19.580163,0.348096,313.053133,-0.905647,-1.269504,0.000000,376.939722,0.121993,-0.741243,19.554286,-250.001980,19.344908,0.388791,19.374065,0.232900,19.408304,0.279098,0.053978,-0.537930,-0.595876,0.586604,-2.642249,0.986300
-0.865090,19.580186,0.348652,338.463424,-0.901055,-1.268731,0.000000,376.533314,0.121410,-0.734600,19.554123,-250.001980,19.344921,0.389943,19.373784,0.231877,19.408172,0.279869,0.053947,-0.537195,-0.597020,0.586921,-2.642101,0.986292
-0.865472,19.580232,0.346688,338.463424,-0.901309,-1.267601,0.000000,377.050384,0.120782,-0.742265,19.554232,-250.001911,19.344824,0.389872,19.373602,0.230762,19.408218,0.280502,0.053833,-0.537241,-0.596497,0.587145,-2.642265,0.986292
-0.865845,19.580290,0.347981,313.053133,-0.899722,-1.267601,0.000000,376.716322,0.120812,-0.738667,19.554253,-250.001911,19.344780,0.390354,19.373725,0.231034,19.408501,0.280936,0.053591,-0.536828,-0.596943,0.588197,-2.642560,0.986286
-0.866503,19.580364,0.347739,262.232550,-0.899605,-1.267155,0.000000,377.955832,0.121580,-0.741500,19.554229,-250.001893,19.344925,0.391833,19.373783,0.230934,19.408875,0.281829,0.053545,-0.536254,-0.597373,0.588394,-2.642822,0.986287
-0.865341,19.580402,0.347365,262.232550,-0.899662,-1.264866,0.000000,378.016040,0.122548,-0.738610,19.554311,-250.001946,19.344842,0.390118,19.373766,0.229543,19.408755,0.281721,0.053424,-0.535772,-0.595994,0.587735,-2.643937,0.986291
-0.865014,19.580454,0.346762,262.232550,-0.904464,-1.262725,0.000000,376.580129,0.122292,-0.740843,19.554194,-250.001952,19.344592,0.391561,19.373786,0.228943,19.408758,0.281464,0.053605,-0.535428,-0.596535,0.588744,-2.643625,0.986293
-0.864208,19.580508,0.346344,262.232550,-0.902549,-1.262369,0.000000,377.035967,0.122266,-0.745552,19.554135,-250.002003,19.344558,0.395045,19.373731,0.227879,19.408859,0.280397,0.053584,-0.535130,-0.596406,0.589027,-2.643740,0.986296
-0.862074,19.580550,0.346178,262.232550,-0.896074,-1.261477,0.000000,378.001239,0.122136,-0.741518,19.554105,-250.001936,19.344520,0.395472,19.373705,0.224463,19.408748,0.277959,0.053808,-0.535543,-0.596937,0.588126,-2.642953,0.986304
-0.861641,19.580613,0.345213,186.001677,-0.896099,-1.260674,0.000000,378.233929,0.122281,-0.745603,19.554068,-250.001855,19.344460,0.394109,19.373823,0.223388,19.408755,0.276343,0.053938,-0.535704,-0.596517,0.588592,-2.642691,0.986294
-0.863142,19.580676,0.345888,211.411968,-0.899254,-1.260615,0.000000,376.631762,0.122190,-0.741822,19.554255,-250.001774,19.344596,0.392836,19.373991,0.223083,19.408996,0.276328,0.053938,-0.535153,-0.594758,0.588693,-2.642527,0.986293
-0.864850,19.580756,0.345180,236.822259,-0.899562,-1.258593,0.000000,376.433601,0.122117,-0.745967,19.554240,-250.001683,19.344723,0.391582,19.373931,0.222993,19.408879,0.277317,0.053938,-0.535658,-0.596194,0.590576,-2.642281,0.986279
-0.865298,19.580795,0.345878,211.411968,-0.899576,-1.257345,0.000000,378.155875,0.120094,-0.742172,19.553957,-250.001567,19.344735,0.391841,19.373850,0.222735,19.408575,0.276345,0.053940,-0.536277,-0.594652,0.592934,-2.642527,0.986282
-0.866306,19.580831,0.345375,262.232550,-0.902067,-1.256155,0.000000,376.638219,0.121118,-0.741725,19.553998,-250.001582,19.344725,0.391705,19.373852,0.221322,19.408356,0.276781,0.053926,-0.534143,-0.595419,0.593080,-2.642544,0.986277
-0.867529,19.580861,0.344723,262.232550,-0.903457,-1.255591,0.000000,378.083222,0.122299,-0.735683,19.554018,-250.001564,19.344722,0.391298,19.373793,0.220623,19.408349,0.276415,0.053944,-0.533432,-0.596350,0.592853,-2.642708,0.986278
-0.868635,19.580915,0.343528,313.053133,-0.897278,-1.255055,0.000000,378.005085,0.123291,-0.741940,19.553810,-250.001634,19.344690,0.392206,19.373784,0.218226,19.408196,0.274537,0.053807,-0.531917,-0.594739,0.592543,-2.643543,0.986273
-0.869301,19.580970,0.342543,287.642842,-0.895116,-1.255234,0.000000,376.622914,0.124803,-0.738384,19.553609,-250.001606,19.344845,0.393272,19.373810,0.217718,19.408261,0.272840,0.053469,-0.531068,-0.594153,0.593013,-2.644134,0.986270
-0.868542,19.581033,0.341890,287.642842,-0.899651,-1.253985,0.000000,376.538318,0.124703,-0.740550,19.553754,-250.001610,19.345033,0.392456,19.374000,0.215936,19.408511,0.273814,0.053445,-0.530334,-0.594114,0.593139,-2.643494,0.986272
-0.868652,19.581070,0.341546,262.232550,-0.901070,-1.252558,0.000000,377.136398,0.124940,-0.734197,19.553844,-250.001654,19.345196,0.393351,19.374048,0.215663,19.408675,0.273717,0.053332,-0.528682,-0.593809,0.593178,-2.644248,0.986262
-0.868529,19.581116,0.341133,236.822259,-0.901298,-1.253093,0.000000,376.655065,0.126317,-0.740100,19.553950,-250.001616,19.345131,0.393826,19.374205,0.216144,19.408438,0.275227,0.053450,-0.529278,-0.594093,0.593276,-2.644593,0.986266
-0.870558,19.581183,0.339687,287.642842,-0.898279,-1.253420,0.000000,376.525669,0.126500,-0.743691,19.553963,-250.001680,19.345245,0.393947,19.374203,0.216200,19.408670,0.274552,0.053451,-0.528567,-0.595027,0.593201,-2.643494,0.986260
-0.870460,19.581256,0.340181,363.873715,-0.898336,-1.252112,0.000000,376.592691,0.127066,-0.739181,19.553742,-250.001651,19.345292,0.394049,19.374097,0.216358,19.408431,0.273824,0.053704,-0.527947,-0.595547,0.593494,-2.643232,0.986247
-0.870017,19.581296,0.339912,389.284007,-0.892980,-1.252707,0.000000,377.867865,0.128154,-0.739964,19.553718,-250.001685,19.345111,0.394600,19.373748,0.216267,19.408220,0.274001,0.053856,-0.527213,-0.595404,0.593159,-2.642429,0.986246
-0.869302,19.581333,0.340218,440.104589,-0.892461,-1.250210,0.000000,376.560964,0.127930,-0.740057,19.553572,-250.001751,19.344859,0.393919,19.373588,0.215963,19.408222,0.273050,0.053876,-0.528177,-0.594975,0.592679,-2.642281,0.986248
-0.869199,19.581379,0.341916,389.284007,-0.897407,-1.250329,0.000000,376.478544,0.128225,-0.744227,19.553865,-250.001756,19.344927,0.394075,19.373476,0.217269,19.408360,0.272717,0.053837,-0.526639,-0.595878,0.592561,-2.641937,0.986248
-0.869089,19.581402,0.343124,338.463424,-0.900494,-1.248693,0.000000,376.475663,0.128744,-0.740235,19.553903,-250.001787,19.345245,0.395062,19.373398,0.218025,19.408641,0.272383,0.054034,-0.526341,-0.595452,0.592764,-2.641396,0.986247
-0.869350,19.581425,0.343442,363.873715,-0.900862,-1.248010,0.000000,376.798133,0.128918,-0.739342,19.553733,-250.001721,19.345267,0.395140,19.373369,0.217820,19.408574,0.272065,0.054062,-0.525905,-0.594049,0.592047,-2.640954,0.986244
-0.870281,19.581483,0.344600,414.694298,-0.899269,-1.247891,0.000000,377.132079,0.128643,-0.732803,19.553627,-250.001736,19.345478,0.394618,19.373321,0.217518,19.408703,0.269410,0.054021,-0.524367,-0.594714,0.591207,-2.639872,0.986248
-0.869996,19.581538,0.344709,465.514880,-0.899201,-1.248039,0.000000,376.324749,0.129327,-0.739346,19.553813,-250.001693,19.345518,0.395359,19.373534,0.216076,19.408692,0.268224,0.053910,-0.523404,-0.595958,0.589641,-2.641068,0.986247
-0.868342,19.581581,0.343424,389.284007,-0.897754,-1.247980,0.000000,376.464087,0.130284,-0.736323,19.553973,-250.001711,19.345606,0.393870,19.373606,0.215931,19.408489,0.267979,0.053571,-0.523266,-0.595591,0.588605,-2.640757,0.986252
-0.866865,19.581616,0.344283,363.873715,-0.894466,-1.247088,0.000000,376.535338,0.130258,-0.738967,19.553953,-250.001688,19.345630,0.394611,19.373554,0.216569,19.408462,0.268085,0.053562,-0.524069,-0.595225,0.587854,-2.640626,0.986249
-0.868375,19.581685,0.344096,338.463424,-0.899887,-1.248218,0.000000,377.880166,0.131769,-0.733446,19.553864,-250.001747,19.345685,0.392677,19.373502,0.217557,19.408514,0.268456,0.053457,-0.523771,-0.595993,0.586563,-2.640855,0.986256
-0.869597,19.581734,0.342718,389.284007,-0.903217,-1.247653,0.000000,375.467336,0.132671,-0.738981,19.553906,-250.001672,19.345718,0.391280,19.373598,0.216449,19.408579,0.267592,0.053087,-0.522853,-0.594752,0.585299,-2.640708,0.986247
-0.871022,19.581766,0.343929,389.284007,-0.904529,-1.247534,0.000000,376.453859,0.132783,-0.737459,19.554016,-250.001656,19.345964,0.391913,19.373851,0.215748,19.408516,0.267302,0.053029,-0.521545,-0.594801,0.585345,-2.640659,0.986247
-0.871081,19.581814,0.344126,414.694298,-0.899708,-1.247088,0.000000,376.527809,0.133022,-0.738785,19.554016,-250.001678,19.346023,0.392044,19.373973,0.215551,19.408664,0.266894,0.053202,-0.521683,-0.595304,0.584495,-2.641790,0.986247
-0.869579,19.581881,0.345270,389.284007,-0.899712,-1.246999,0.000000,376.457392,0.133507,-0.738124,19.554018,-250.001733,19.346259,0.392095,19.374350,0.214374,19.409061,0.265617,0.053293,-0.520420,-0.594448,0.584174,-2.641675,0.986235
-0.865529,19.581916,0.345282,389.284007,-0.902170,-1.245988,0.000000,376.989842,0.134131,-0.737659,19.554226,-250.001731,19.346481,0.389112,19.374542,0.213920,19.409156,0.266875,0.053315,-0.520558,-0.594548,0.584804,-2.641478,0.986229
-0.863669,19.581985,0.345481,389.284007,-0.902056,-1.246880,0.000000,376.524170,0.136089,-0.742044,19.554030,-250.001703,19.346189,0.388713,19.374557,0.214392,19.409298,0.266807,0.053312,-0.521338,-0.594607,0.583791,-2.641560,0.986239
-0.863215,19.582024,0.345714,389.284007,-0.904343,-1.246642,0.000000,375.551846,0.136368,-0.739896,19.554000,-250.001734,19.346242,0.388936,19.374411,0.214356,19.409249,0.265995,0.053488,-0.521338,-0.593971,0.583570,-2.641462,0.986235
-0.864241,19.582056,0.345470,338.463424,-0.905844,-1.246553,0.000000,376.583146,0.136566,-0.738292,19.554054,-250.001683,19.346306,0.388725,19.374749,0.216074,19.409162,0.266208,0.053471,-0.522187,-0.594226,0.582432,-2.640626,0.986235
-0.863015,19.582100,0.344362,363.873715,-0.904918,-1.245780,0.000000,376.442555,0.137055,-0.734143,19.554053,-250.001601,19.346346,0.390371,19.374791,0.214291,19.408920,0.265351,0.053474,-0.523404,-0.595383,0.581873,-2.640446,0.986228
-0.863057,19.582158,0.343051,338.463424,-0.897646,-1.247148,0.000000,376.363583,0.137482,-0.737098,19.553773,-250.001493,19.346434,0.392433,19.374804,0.212901,19.408819,0.264907,0.053330,-0.523243,-0.594773,0.580940,-2.639315,0.986225
-0.864882,19.582189,0.342505,363.873715,-0.899737,-1.246464,0.000000,375.694764,0.137691,-0.733957,19.554053,-250.001497,19.346595,0.391207,19.374817,0.214078,19.408835,0.264792,0.053330,-0.522784,-0.594596,0.581744,-2.639446,0.986222
