Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Tuesday, September 25, 2018
11:38:46 AM
Calibration-Discharge-5C

Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,,kW,,C,C
0.070250,19.805101,-0.016099,19.991202,-0.495315,-2.629463,0.000000,0.692297,0.299453,-0.891039,20.065278,0.207278,19.917976,199.035272,19.908749,0.449681,19.885943,0.345537,-227.292025,0.054438,0.000000,-250.011308,0.156561,-0.757423,0.634468,289.182014,0.902622,10.054310,10.014069
0.071141,19.804173,-0.023229,19.990776,-0.477623,-2.624677,0.000000,0.692310,0.296314,-0.940669,20.064291,0.207473,19.914419,199.036631,19.908178,0.460014,19.886955,0.345408,-227.302430,0.051114,0.000000,-250.010641,0.142654,-0.737488,0.634468,289.182014,0.902622,10.054310,10.014069
0.072199,19.802612,-0.003757,19.991275,-0.421722,-2.629316,0.000000,0.692299,0.296111,-0.912429,20.065608,0.216084,19.914407,199.044722,19.907939,0.456660,19.887160,0.340990,-227.306979,0.051189,0.000000,-250.011256,0.138722,-0.760167,0.634468,289.182014,0.902622,10.054310,10.014069
0.071158,19.801187,0.002949,19.991540,-0.369630,-2.634512,0.000000,0.692296,0.299540,-0.886362,20.065671,0.192707,19.913651,199.032877,19.909912,0.450033,19.887469,0.342669,-227.310368,0.051439,0.000000,-250.011543,0.133977,-0.737373,0.634468,289.182014,0.902622,10.054310,10.014069
0.069618,19.799611,-0.008844,19.992282,-0.362792,-2.638938,0.000000,0.692299,0.310489,-0.874491,20.066919,0.187502,19.913149,199.038595,19.912625,0.452839,19.890200,0.349589,-227.314589,0.051655,0.000000,-250.012128,0.135076,-0.722640,0.634468,289.182014,0.902622,10.054310,10.014069
0.070053,19.798806,-0.023002,19.991997,-0.330390,-2.630775,0.000000,0.692296,0.305801,-0.889031,20.065661,0.200576,19.914271,199.038258,19.910567,0.445045,19.890262,0.337084,-227.305403,0.050217,0.000000,-250.012438,0.134196,-0.726643,0.634468,289.182014,0.902622,10.054310,10.014069
0.069377,19.798653,-0.025998,19.992398,-0.366051,-2.626398,0.000000,0.692300,0.309255,-0.868045,20.066479,0.201156,19.914162,199.022775,19.916171,0.453031,19.891468,0.320718,-227.302668,0.050861,0.000000,-250.012234,0.122445,-0.712943,0.634468,289.182014,0.902622,10.054310,10.014069
0.069536,19.799126,-0.012923,19.993160,-0.349781,-2.616121,0.000000,0.692306,0.315628,-0.894566,20.066313,0.219551,19.914548,199.024119,19.914901,0.450391,19.888476,0.318798,-227.299844,0.052594,0.000000,-250.011874,0.126369,-0.722580,0.634468,289.182014,0.902622,10.054310,10.014069
0.070980,19.800375,-0.016743,19.994624,-0.373945,-2.612220,0.000000,0.692290,0.316138,-0.937957,20.067670,0.224933,19.912989,199.017581,19.914999,0.454506,19.886024,0.309830,-227.297228,0.051319,0.000000,-250.011612,0.126525,-0.745724,0.634468,289.182014,0.902622,10.054310,10.014069
0.070542,19.802132,-0.019029,19.995335,-0.444211,-2.610236,0.000000,0.692286,0.313156,-0.932972,20.072010,0.227812,19.916479,199.012854,19.918289,0.448547,19.890802,0.336863,-227.292293,0.051449,0.000000,-250.011418,0.122554,-0.727757,0.634468,289.182014,0.902622,10.054310,10.014069
0.070706,19.803915,-0.010296,19.995006,-0.474777,-2.612466,0.000000,0.692281,0.304228,-0.881434,20.072014,0.227795,19.917054,199.023842,19.916125,0.446963,19.892948,0.363523,-227.295385,0.053046,0.000000,-250.011389,0.130394,-0.746917,0.634468,289.182014,0.902622,10.054310,10.014069
0.070823,19.806201,-0.000211,19.995286,-0.477692,-2.612515,0.000000,0.692299,0.291100,-0.863286,20.072122,0.210080,19.918157,199.016673,19.918184,0.455888,19.895095,0.371032,-227.289171,0.050325,0.000000,-250.011213,0.131620,-0.740907,0.634468,289.182014,0.902622,10.054310,10.014069
0.070033,19.807727,0.000061,19.995946,-0.418739,-2.607614,0.000000,0.692313,0.280369,-0.886101,20.068868,0.192769,19.917293,199.019631,19.915020,0.459630,19.890504,0.365500,-227.280788,0.054092,0.000000,-250.010933,0.132039,-0.737170,0.634468,289.182014,0.902622,10.054310,10.014069
0.069371,19.808704,-0.025063,19.997490,-0.400771,-2.608843,0.000000,0.692299,0.280461,-0.884625,20.069845,0.181780,19.917799,199.017650,19.918017,0.458788,19.890025,0.349374,-227.289617,0.054474,0.000000,-250.011048,0.127500,-0.737237,0.634468,289.182014,0.902622,10.054310,10.014069
0.069814,19.808604,-0.032392,19.998287,-0.326053,-2.604713,0.000000,0.692306,0.296070,-0.894584,20.070674,0.181257,19.919044,199.014276,19.916512,0.450704,19.890190,0.328338,-227.292531,0.051352,0.000000,-250.011003,0.134042,-0.733382,0.634468,289.182014,0.902622,10.054310,10.014069
0.069665,19.808090,-0.023583,19.998355,-0.353590,-2.609679,0.000000,0.692284,0.311204,-0.921434,20.073927,0.182952,19.925666,199.033884,19.921657,0.458380,19.889930,0.316231,-227.301628,0.051895,0.000000,-250.011349,0.143769,-0.753910,0.634468,289.182014,0.902622,10.054310,10.014069
0.068700,19.807862,-0.027372,19.998477,-0.334933,-2.625136,0.000000,0.692276,0.310581,-0.932036,20.075463,0.191028,19.927232,199.042787,19.922294,0.464689,19.888362,0.318613,-227.318395,0.051939,0.000000,-250.011767,0.149429,-0.728854,0.634468,289.182014,0.902622,10.054310,10.014069
0.068168,19.807686,-0.026001,19.998885,-0.357996,-2.627693,0.000000,0.692289,0.309442,-0.876807,20.077199,0.194372,19.928877,199.044010,19.922331,0.471904,19.887533,0.354636,-227.318038,0.052317,0.000000,-250.011969,0.159614,-0.755822,0.634468,289.182014,0.902622,10.054310,10.014069
0.069124,19.807727,-0.026047,19.998649,-0.329242,-2.628972,0.000000,0.692267,0.314312,-0.887098,20.075883,0.208455,19.929264,199.040145,19.919353,0.462882,19.885340,0.379166,-227.308406,0.051486,0.000000,-250.011808,0.165136,-0.763680,0.634468,289.182014,0.902622,10.054310,10.014069
0.068902,19.807397,-0.008401,19.997366,-0.290529,-2.625890,0.000000,0.692274,0.324492,-0.910299,20.072351,0.210591,19.928890,199.052389,19.914103,0.451920,19.887938,0.390584,-227.308911,0.051987,0.000000,-250.011395,0.158736,-0.762511,0.634468,289.182014,0.902622,10.054310,10.014069
0.069167,19.806889,0.002955,19.995817,-0.345398,-2.624677,0.000000,0.692296,0.332046,-0.939357,20.073929,0.211734,19.929020,199.066802,19.914606,0.440090,19.892722,0.391974,-227.301895,0.052714,0.000000,-250.011454,0.167918,-0.769687,0.634468,289.182014,0.902622,10.054310,10.014069
0.069057,19.806481,-0.009169,19.994896,-0.312789,-2.627726,0.000000,0.692263,0.336345,-0.924200,20.071137,0.200335,19.927607,199.071720,19.915359,0.438143,19.894959,0.372139,-227.296990,0.050515,0.000000,-250.011149,0.176002,-0.752792,0.634468,289.182014,0.902622,10.054310,10.014069
0.069159,19.806166,-0.027307,19.996020,-0.358845,-2.624644,0.000000,0.692282,0.332200,-0.919797,20.074120,0.199675,19.930211,199.054402,19.919420,0.453762,19.900463,0.363197,-227.291906,0.050758,0.000000,-250.011757,0.161116,-0.732832,0.634468,289.182014,0.902622,10.054310,10.014069
0.069741,19.805704,-0.022045,19.997318,-0.317057,-2.624317,0.000000,0.692318,0.320488,-0.926733,20.074862,0.190979,19.930352,199.032979,19.923643,0.460250,19.901056,0.352946,-227.294850,0.052220,0.000000,-250.011925,0.169397,-0.749658,0.634468,289.182014,0.902622,10.054310,10.014069
0.069510,19.804972,-0.025388,19.998767,-0.309989,-2.620645,0.000000,0.692319,0.307665,-0.890839,20.076661,0.192074,19.934675,199.016412,19.928876,0.478454,19.903713,0.362586,-227.286228,0.050797,0.000000,-250.011454,0.170726,-0.730352,0.634468,289.182014,0.902622,10.054310,10.014069
0.069964,19.804640,-0.016716,19.999580,-0.337664,-2.624431,0.000000,0.692347,0.291420,-0.884632,20.077290,0.202212,19.934794,199.010657,19.928488,0.489730,19.900240,0.353264,-227.286258,0.054722,0.000000,-250.011679,0.172713,-0.728140,0.634468,289.182014,0.902622,10.054310,10.014069
0.070346,19.804665,-0.005024,19.998594,-0.417591,-2.627300,0.000000,0.692347,0.304702,-0.897153,20.078228,0.193351,19.928218,199.011510,19.922564,0.490464,19.894666,0.354030,-227.289231,0.054881,0.000000,-250.011725,0.182682,-0.729880,0.634468,289.182014,0.902622,10.054310,10.014069
0.069202,19.804879,-0.010183,19.995992,-0.462041,-2.623841,0.000000,0.692306,0.315799,-0.939758,20.079680,0.180700,19.927291,199.016448,19.916008,0.499492,19.888154,0.356419,-227.300855,0.051702,0.000000,-250.011459,0.166363,-0.725220,0.634468,289.182014,0.902622,10.054310,10.014069
0.069348,19.805294,-0.003115,19.992957,-0.447194,-2.625398,0.000000,0.692315,0.322430,-0.916024,20.081472,0.179040,19.924100,199.038775,19.911496,0.497548,19.884613,0.346475,-227.302549,0.053184,0.000000,-250.012010,0.161952,-0.754982,0.634468,289.182014,0.902622,10.054310,10.014069
0.069411,19.805098,-0.001412,19.991697,-0.448663,-2.618448,0.000000,0.692332,0.319498,-0.894527,20.081961,0.159937,19.926773,199.037695,19.915897,0.495252,19.890366,0.340276,-227.289261,0.052316,0.000000,-250.011403,0.160627,-0.729887,0.634468,289.182014,0.902622,10.054310,10.014069
0.069242,19.804755,-0.011586,19.992577,-0.355609,-2.615859,0.000000,0.692300,0.312443,-0.896271,20.082049,0.163820,19.929386,199.040709,19.920173,0.496999,19.894807,0.345103,-227.274783,0.051828,0.000000,-250.011361,0.159388,-0.756487,0.634468,289.182014,0.902622,10.054310,10.014069
0.070784,19.804660,-0.014248,19.995333,-0.380599,-2.615859,0.000000,0.692291,0.308319,-0.886244,20.079849,0.157483,19.929275,199.038590,19.919966,0.485443,19.895119,0.327348,-227.261613,0.051922,0.000000,-250.011656,0.176638,-0.735219,0.634468,289.182014,0.902622,10.054310,10.014069
0.070060,19.805116,-0.026025,19.997121,-0.300695,-2.611203,0.000000,0.692285,0.306078,-0.862803,20.080374,0.165081,19.930287,199.016156,19.921559,0.465557,19.896430,0.333293,-227.261405,0.052321,0.000000,-250.012003,0.172278,-0.724874,0.634468,289.182014,0.902622,10.054310,10.014069
0.071143,19.806073,-0.032937,19.997235,-0.354737,-2.614056,0.000000,0.692262,0.303015,-0.895245,20.079810,0.158090,19.926190,199.012941,19.916571,0.460917,19.891689,0.325950,-227.271572,0.052601,0.000000,-250.011723,0.174071,-0.734611,0.634468,289.182014,0.902622,10.054310,10.014069
0.071535,19.807424,-0.013815,19.996108,-0.378167,-2.616678,0.000000,0.692278,0.297612,-0.941344,20.080854,0.156618,19.924207,199.017079,19.915282,0.457127,19.893968,0.339341,-227.272969,0.050771,0.000000,-250.011230,0.171809,-0.728987,0.634468,289.182014,0.902622,10.054310,10.014069
0.070514,19.808979,-0.003591,19.993971,-0.440126,-2.618711,0.000000,0.692263,0.296550,-0.919783,20.079675,0.152779,19.918968,199.030168,19.913574,0.461353,19.892671,0.345852,-227.266488,0.050657,0.000000,-250.011221,0.170419,-0.732349,0.634468,289.182014,0.902622,10.054310,10.014069
0.071059,19.810341,-0.012569,19.991721,-0.418027,-2.615646,0.000000,0.692250,0.300992,-0.894891,20.080906,0.153349,19.917154,199.049955,19.912351,0.473120,19.894870,0.335206,-227.253943,0.051548,0.000000,-250.011074,0.167684,-0.753585,0.634468,289.182014,0.902622,10.054310,10.014069
0.069544,19.811511,-0.027296,19.989928,-0.353246,-2.620563,0.000000,0.692267,0.289266,-0.880430,20.079308,0.165966,19.917266,199.050798,19.909480,0.474599,19.897366,0.329557,-227.259264,0.050192,0.000000,-250.011553,0.160550,-0.727647,0.634468,289.182014,0.902622,10.054310,10.014069
0.069622,19.812307,-0.026994,19.989609,-0.327475,-2.622727,0.000000,0.692285,0.285357,-0.886058,20.080879,0.165802,19.918715,199.044843,19.908634,0.475723,19.896519,0.328151,-227.271988,0.054602,0.000000,-250.012205,0.160350,-0.747536,0.634468,289.182014,0.902622,10.054310,10.014069
0.070499,19.812429,-0.006663,19.988781,-0.381517,-2.628152,0.000000,0.692319,0.285119,-0.874491,20.081427,0.174640,19.920799,199.033957,19.909420,0.460933,19.897454,0.324566,-227.288904,0.054862,0.000000,-250.012433,0.161203,-0.725864,0.634468,289.182014,0.902622,10.054310,10.014069
0.071162,19.812300,0.009454,19.987718,-0.483130,-2.626136,0.000000,0.692317,0.286401,-0.889892,20.083030,0.175142,19.918347,199.045166,19.904785,0.460178,19.892569,0.338545,-227.282185,0.052097,0.000000,-250.012620,0.182026,-0.722580,0.634468,289.182014,0.902622,10.054310,10.014069
0.071587,19.812775,-0.008159,19.986488,-0.554429,-2.626956,0.000000,0.692308,0.290515,-0.918807,20.087665,0.181257,19.918570,199.051462,19.909191,0.467129,19.892162,0.348970,-227.267083,0.053506,0.000000,-250.011590,0.183555,-0.726878,0.634468,289.182014,0.902622,10.054310,10.014069
0.071075,19.813441,-0.029905,19.985939,-0.495935,-2.616137,0.000000,0.692290,0.287807,-0.913283,20.089965,0.184778,19.917196,199.052162,19.911962,0.479587,19.891179,0.352279,-227.261761,0.052301,0.000000,-250.011079,0.183819,-0.725814,0.634468,289.182014,0.902622,10.054310,10.014069
0.070561,19.815147,-0.017066,19.985928,-0.477852,-2.615678,0.000000,0.692273,0.273545,-0.870504,20.092466,0.186429,19.915820,199.065022,19.912258,0.488072,19.893893,0.367575,-227.257362,0.051780,0.000000,-250.010697,0.181583,-0.754982,0.634468,289.182014,0.902622,10.054310,10.014069
0.070751,19.816785,-0.009180,19.986442,-0.413461,-2.620710,0.000000,0.692271,0.264840,-0.867759,20.091002,0.191292,19.913643,199.047438,19.910768,0.487112,19.891621,0.368826,-227.253943,0.052899,0.000000,-250.010354,0.169949,-0.737741,0.634468,289.182014,0.902622,10.054310,10.014069
0.071273,19.818242,-0.007846,19.985620,-0.404557,-2.618186,0.000000,0.692288,0.266467,-0.896789,20.090296,0.184026,19.912542,199.056386,19.908902,0.475209,19.891966,0.363205,-227.258670,0.052450,0.000000,-250.010177,0.177469,-0.761271,0.634468,289.182014,0.902622,10.054310,10.014069
0.070097,19.819116,-0.012219,19.984175,-0.371604,-2.628005,0.000000,0.692296,0.274724,-0.903214,20.091018,0.191776,19.909839,199.052981,19.906321,0.482647,19.885562,0.353771,-227.251921,0.052322,0.000000,-250.009843,0.163615,-0.737366,0.634468,289.182014,0.902622,10.054310,10.014069
0.070415,19.818693,-0.017637,19.983741,-0.404626,-2.630627,0.000000,0.692293,0.265858,-0.898443,20.092098,0.176620,19.912074,199.025963,19.907338,0.472893,19.883283,0.354182,-227.263456,0.050120,0.000000,-250.010526,0.164337,-0.729691,0.634468,289.182014,0.902622,10.054310,10.014069
0.070935,19.817702,-0.017470,19.984612,-0.481294,-2.625415,0.000000,0.692298,0.264168,-0.924167,20.094471,0.178679,19.913323,199.035231,19.909483,0.473225,19.886249,0.365800,-227.278677,0.050237,0.000000,-250.011251,0.153756,-0.732267,0.634468,289.182014,0.902622,10.054310,10.014069
0.068849,19.816701,-0.012272,19.986119,-0.475374,-2.617662,0.000000,0.692280,0.262455,-0.925515,20.095519,0.159685,19.913874,199.044013,19.908969,0.480046,19.886174,0.366620,-227.281412,0.050284,0.000000,-250.011358,0.163565,-0.730534,0.634468,289.182014,0.902622,10.054310,10.014069
0.069987,19.815545,-0.000026,19.987890,-0.497128,-2.618022,0.000000,0.692280,0.267864,-0.875638,20.096203,0.157618,19.916658,199.057544,19.909995,0.468151,19.889819,0.369644,-227.265715,0.049825,0.000000,-250.011179,0.162997,-0.734172,0.634468,289.182014,0.902622,10.054310,10.014069
