Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Tuesday, September 25, 2018
12:03:08 PM
Calibration-Discharge-5C

Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,,kW,,C,C
0.065141,19.831143,-0.010493,39.626603,-0.445656,-2.624989,0.000000,0.692315,0.290587,-0.879415,20.288039,0.186317,39.551580,601.567995,39.543872,0.417011,39.565867,0.391041,-227.285396,0.053438,0.000000,-250.009968,0.157606,-0.734075,0.634468,289.182014,0.902622,10.054310,10.014069
0.065480,19.831343,-0.008326,39.619320,-0.391270,-2.617498,0.000000,0.692313,0.281855,-0.855003,20.290175,0.185208,39.544957,601.544280,39.535995,0.414453,39.556920,0.380187,-227.294879,0.054911,0.000000,-250.010031,0.156877,-0.720232,0.634468,289.182014,0.902622,10.054310,10.014069
0.064697,19.830610,-0.000599,39.611413,-0.321302,-2.622481,0.000000,0.692312,0.287571,-0.885822,20.291886,0.179964,39.540176,601.562512,39.525759,0.425166,39.548562,0.368459,-227.288488,0.049116,0.000000,-250.009931,0.157716,-0.732549,0.634468,289.182014,0.902622,10.054310,10.014069
0.064112,19.829557,-0.009723,39.603435,-0.365316,-2.617186,0.000000,0.692303,0.295416,-0.913312,20.291507,0.177443,39.537697,601.564725,39.520250,0.425579,39.542199,0.371480,-227.291401,0.048991,0.000000,-250.010077,0.164725,-0.751091,0.634468,289.182014,0.902622,10.054310,10.014069
0.064604,19.828176,-0.028808,39.596725,-0.411212,-2.612531,0.000000,0.692308,0.300327,-0.918346,20.291888,0.167969,39.536359,601.570819,39.515938,0.429082,39.538890,0.384189,-227.293660,0.049919,0.000000,-250.010733,0.174548,-0.727236,0.634468,289.182014,0.902622,10.054310,10.014069
0.064956,19.827188,-0.020861,39.591560,-0.472735,-2.617235,0.000000,0.692310,0.310965,-0.900719,20.292748,0.178848,39.531607,601.562314,39.515663,0.452303,39.530383,0.388189,-227.294641,0.054717,0.000000,-250.010417,0.183005,-0.746335,0.634468,289.182014,0.902622,10.054310,10.014069
0.063296,19.826667,-0.014146,39.588019,-0.499561,-2.616973,0.000000,0.692325,0.314230,-0.908441,20.292741,0.184198,39.524147,601.563317,39.511736,0.458085,39.525511,0.378815,-227.300141,0.054411,0.000000,-250.010602,0.181269,-0.712171,0.634468,289.182014,0.902622,10.054310,10.014069
0.063407,19.826715,-0.015456,39.584703,-0.480858,-2.615465,0.000000,0.692331,0.324202,-0.889460,20.295021,0.183109,39.517717,601.558577,39.509767,0.466752,39.519624,0.376692,-227.300141,0.053497,0.000000,-250.010492,0.191684,-0.712492,0.634468,289.182014,0.902622,10.054310,10.014069
0.061894,19.827420,-0.015598,39.580266,-0.435169,-2.617924,0.000000,0.692314,0.331475,-0.858269,20.294601,0.187740,39.512926,601.548791,39.503079,0.476612,39.520257,0.372209,-227.293393,0.058631,0.000000,-250.010517,0.195036,-0.718303,0.634468,289.182014,0.902622,10.054310,10.014069
0.062671,19.828394,-0.013356,39.576722,-0.418188,-2.621284,0.000000,0.692316,0.324260,-0.881931,20.292110,0.159185,39.509101,601.557631,39.498266,0.483419,39.521396,0.376684,-227.272761,0.053398,0.000000,-250.011000,0.178046,-0.723673,0.634468,289.182014,0.902622,10.054310,10.014069
0.065590,19.829213,0.008667,39.573614,-0.446896,-2.625988,0.000000,0.692314,0.331341,-0.932072,20.290304,0.154620,39.508331,601.539360,39.495864,0.504182,39.521588,0.392851,-227.288696,0.053494,0.000000,-250.011239,0.178572,-0.742615,0.634468,289.182014,0.902622,10.054310,10.014069
