Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Thursday, September 27, 2018
10:02:59 AM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
psia,C,psia,C,lbm/min,lbm/min,rpm,psia,psia,lbm/min,C,psia,C,psia,C,psia,C,C,lb/min,lb/min,C,psia,psia,lbm/min,,kW,,C,C
0.054164,20.012265,-0.006037,5.072159,-0.478541,-2.712256,0.000000,0.695138,0.173067,-0.882431,20.300622,0.152215,4.971826,653.340207,4.950649,0.431585,5.021388,0.239300,-227.469031,0.050551,0.000000,-250.010858,0.084886,-0.738138,0.634468,289.182014,0.902622,10.054310,10.014069
0.053637,20.012445,-0.027215,5.071583,-0.436386,-2.712846,0.000000,0.695148,0.172463,-0.917367,20.301612,0.151838,4.972080,653.347356,4.947057,0.426171,5.018654,0.229459,-227.477830,0.051034,0.000000,-250.010597,0.087766,-0.744988,0.634468,289.182014,0.902622,10.054310,10.014069
0.051760,20.012400,-0.041745,5.071254,-0.424430,-2.705732,0.000000,0.695143,0.203215,-0.954744,20.304091,0.146131,4.970938,653.369374,4.947930,0.419182,5.020587,0.246267,-227.474679,0.051663,0.000000,-250.011010,0.096739,-0.774128,0.634468,289.182014,0.902622,10.054310,10.014069
0.054669,20.012333,-0.026385,5.070487,-0.417775,-2.695832,0.000000,0.695131,0.216951,-0.934766,20.307649,0.149221,4.969540,653.374327,4.952935,0.429543,5.023590,0.251320,-227.470993,0.046215,0.000000,-250.011153,0.091967,-0.762029,0.634468,289.182014,0.902622,10.054310,10.014069
0.053631,20.012368,-0.010606,5.070395,-0.454514,-2.693307,0.000000,0.695103,0.231670,-0.903028,20.309651,0.120685,4.967290,653.376322,4.957408,0.439086,5.025403,0.262765,-227.462490,0.046269,0.000000,-250.011641,0.105066,-0.765377,0.634468,289.182014,0.902622,10.054310,10.014069
0.052686,20.012000,0.013133,5.070315,-0.495224,-2.683850,0.000000,0.695120,0.227720,-0.903535,20.310444,0.115143,4.963639,653.366451,4.958480,0.433767,5.025640,0.278692,-227.450510,0.047197,0.000000,-250.011841,0.116015,-0.755640,0.634468,289.182014,0.902622,10.054310,10.014069
0.053894,20.011639,-0.004123,5.070512,-0.433035,-2.687603,0.000000,0.695092,0.221175,-0.906555,20.310398,0.121632,4.962146,653.357430,4.958155,0.431690,5.021886,0.298725,-227.446229,0.046653,0.000000,-250.011343,0.102141,-0.754164,0.634468,289.182014,0.902622,10.054310,10.014069
0.051444,20.010844,-0.036992,5.070396,-0.387346,-2.690357,0.000000,0.695093,0.207837,-0.909131,20.310719,0.122406,4.963629,653.331541,4.953815,0.435337,5.018465,0.320544,-227.442602,0.050585,0.000000,-250.011130,0.094420,-0.756372,0.634468,289.182014,0.902622,10.054310,10.014069
0.046571,20.010173,-0.051480,5.070119,-0.372728,-2.694307,0.000000,0.695107,0.200456,-0.932182,20.312110,0.109304,4.967545,653.328847,4.952836,0.423286,5.018421,0.313940,-227.428153,0.051248,0.000000,-250.010508,0.087557,-0.769551,0.634468,289.182014,0.902622,10.054310,10.014069
0.047330,20.009876,-0.052032,5.069788,-0.361668,-2.694799,0.000000,0.695096,0.182849,-0.958350,20.311586,0.109380,4.969947,653.318795,4.950445,0.420204,5.018383,0.312460,-227.423843,0.051487,0.000000,-250.010769,0.066225,-0.797430,0.634468,289.182014,0.902622,10.054310,10.014069
0.048010,20.009288,-0.033081,5.069039,-0.390972,-2.694291,0.000000,0.695081,0.171791,-0.926619,20.310151,0.116977,4.969584,653.325566,4.947135,0.425571,5.019396,0.311584,-227.420721,0.051629,0.000000,-250.010810,0.062519,-0.797365,0.634468,289.182014,0.902622,10.054310,10.014069
0.050446,20.008884,-0.008196,5.068562,-0.480331,-2.702470,0.000000,0.695087,0.161553,-0.893619,20.306940,0.130949,4.965563,653.357928,4.943086,0.425417,5.020718,0.305351,-227.409484,0.050073,0.000000,-250.010990,0.086201,-0.787603,0.634468,289.182014,0.902622,10.054310,10.014069
0.052371,20.009286,-0.000631,5.068187,-0.471427,-2.700077,0.000000,0.695087,0.160978,-0.878493,20.305319,0.166489,4.960425,653.351145,4.942995,0.421493,5.020147,0.314415,-227.406719,0.052259,0.000000,-250.011064,0.086876,-0.793513,0.634468,289.182014,0.902622,10.054310,10.014069
0.042571,20.010587,-0.005382,5.068064,-0.495958,-2.696832,0.000000,0.695108,0.157257,-0.883425,20.306539,0.166331,4.957850,653.348993,4.943055,0.424110,5.020320,0.319678,-227.423873,0.050794,0.000000,-250.010472,0.111583,-0.744573,0.634468,289.182014,0.902622,10.054310,10.014069
0.039753,20.012734,-0.017561,5.068260,-0.432048,-2.694111,0.000000,0.695100,0.164710,-0.898543,20.307893,0.146962,4.956945,653.327801,4.946567,0.428143,5.018513,0.311470,-227.425924,0.050967,0.000000,-250.011062,0.120791,-0.747403,0.634468,289.182014,0.902622,10.054310,10.014069
0.033400,20.015177,-0.035084,5.068288,-0.385969,-2.686423,0.000000,0.695103,0.180080,-0.906011,20.306676,0.142589,4.956562,653.298754,4.949807,0.438330,5.018983,0.287342,-227.442661,0.050772,0.000000,-250.011121,0.097050,-0.748222,0.634468,289.182014,0.902622,10.054310,10.014069
0.032604,20.017093,-0.050252,5.067956,-0.376194,-2.691406,0.000000,0.695101,0.160896,-0.925043,20.304332,0.130249,4.955980,653.312797,4.950699,0.440928,5.018606,0.284698,-227.464214,0.045941,0.000000,-250.011403,0.103963,-0.743769,0.634468,289.182014,0.902622,10.054310,10.014069
0.035053,20.019127,-0.052816,5.067479,-0.359671,-2.690029,0.000000,0.695117,0.178958,-0.907201,20.302211,0.144933,4.956168,653.326092,4.951689,0.445549,5.017096,0.287638,-227.448280,0.046814,0.000000,-250.011620,0.117280,-0.774657,0.634468,289.182014,0.902622,10.054310,10.014069
0.037381,20.020728,-0.047887,5.067523,-0.408619,-2.688685,0.000000,0.695120,0.186380,-0.866577,20.299375,0.143097,4.955863,653.333333,4.947490,0.424343,5.016633,0.301910,-227.442602,0.046646,0.000000,-250.011789,0.119057,-0.760875,0.634468,289.182014,0.902622,10.054310,10.014069
0.040492,20.021869,-0.016552,5.067678,-0.395286,-2.683178,0.000000,0.695128,0.200906,-0.838140,20.298436,0.148824,4.958740,653.336894,4.946227,0.393052,5.015168,0.309871,-227.437369,0.045731,0.000000,-250.011913,0.123335,-0.769394,0.634468,289.182014,0.902622,10.054310,10.014069
0.032994,20.022697,0.020661,5.067508,-0.459150,-2.692816,0.000000,0.695124,0.222457,-0.903821,20.300221,0.136370,4.959775,653.297889,4.943527,0.407009,5.017061,0.322073,-227.434396,0.049810,0.000000,-250.011523,0.119406,-0.751706,0.634468,289.182014,0.902622,10.054310,10.014069
0.028646,20.022887,0.038737,5.067299,-0.447033,-2.688833,0.000000,0.695117,0.214699,-0.930453,20.300304,0.127702,4.959878,653.298924,4.942665,0.391569,5.018601,0.327869,-227.434961,0.050629,0.000000,-250.011803,0.119929,-0.735361,0.634468,289.182014,0.902622,10.054310,10.014069
