Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Thursday, September 27, 2018
2:47:42 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
psia,C,psia,C,lbm/min,lbm/min,rpm,psia,psia,lbm/min,C,psia,C,psia,C,psia,C,C,lb/min,lb/min,C,psia,psia,lbm/min,,kW,,C,C
-3.001458,9.774969,-12.081998,20.249938,-0.463533,-2.544507,0.000000,0.693681,0.323325,-0.898261,9.735637,0.205864,20.046395,-15.263780,20.016907,302.966236,19.875641,0.426099,-1.227051,0.048309,0.000000,-250.010922,0.134062,-0.750523,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001127,9.744875,-12.079219,20.250434,-0.370961,-2.541688,0.000000,0.693686,0.340053,-0.869728,9.708007,0.207824,20.047024,-15.278621,20.019388,302.961250,19.876033,0.428916,-1.232462,0.047767,0.000000,-250.010158,0.134791,-0.760542,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001036,9.713814,-12.078828,20.252100,-0.327200,-2.542606,0.000000,0.693687,0.348289,-0.876271,9.676226,0.179266,20.047006,-15.261799,20.021631,302.947468,19.877114,0.437469,-1.227259,0.052321,0.000000,-250.010000,0.136301,-0.758985,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000576,9.682212,-12.080001,20.254594,-0.300305,-2.544212,0.000000,0.693688,0.347404,-0.907862,9.645726,0.176933,20.049474,-15.268049,20.022186,302.939369,19.876600,0.442593,-1.223751,0.050038,0.000000,-250.010697,0.115650,-0.747453,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000184,9.649077,-12.079996,20.258677,-0.253561,-2.540950,0.000000,0.693690,0.346104,-0.934773,9.614375,0.187296,20.050607,-15.283094,20.022536,302.943357,19.878523,0.438384,-1.225654,0.050581,0.000000,-250.010497,0.102961,-0.746717,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000617,9.618099,-12.082017,20.264256,-0.284884,-2.539311,0.000000,0.693680,0.338797,-0.901756,9.582444,0.197268,20.051139,-15.285872,20.022038,302.935796,19.879094,0.426582,-1.229370,0.051298,0.000000,-250.011300,0.102971,-0.742211,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000653,9.589728,-12.078875,20.269598,-0.319971,-2.528624,0.000000,0.693689,0.338312,-0.911318,9.550980,0.208482,20.052193,-15.306775,20.022160,302.938994,19.880325,0.416220,-1.243075,0.049037,0.000000,-250.010953,0.107549,-0.777487,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001162,9.562863,-12.080125,20.274481,-0.367450,-2.530050,0.000000,0.693693,0.343056,-0.911236,9.517878,0.211657,20.049717,-15.291343,20.020924,302.927613,19.880409,0.401754,-1.241975,0.046178,0.000000,-250.010484,0.123311,-0.775532,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001394,9.536986,-12.079212,20.277526,-0.453390,-2.529329,0.000000,0.693690,0.333170,-0.882853,9.488411,0.208272,20.047966,-15.273712,20.019214,302.949602,19.878977,0.404167,-1.241261,0.046745,0.000000,-250.011015,0.116271,-0.771748,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000713,9.506305,-12.077915,20.278937,-0.529186,-2.536082,0.000000,0.693696,0.328148,-0.887323,9.456637,0.215922,20.046171,-15.255989,20.018632,302.956195,19.877750,0.413312,-1.228478,0.048939,0.000000,-250.011485,0.117726,-0.775904,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001399,9.475992,-12.080686,20.278974,-0.517047,-2.531558,0.000000,0.693687,0.336076,-0.926097,9.429384,0.209304,20.046356,-15.238882,20.018590,302.968044,19.877350,0.423497,-1.229994,0.046010,0.000000,-250.011839,0.130076,-0.743912,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001047,9.443020,-12.077803,20.277578,-0.507501,-2.540606,0.000000,0.693677,0.338740,-0.946754,9.398024,0.186221,20.047828,-15.246415,20.019705,302.970185,19.876029,0.431895,-1.217478,0.046543,0.000000,-250.012156,0.124696,-0.784712,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000749,9.410934,-12.074543,20.275274,-0.434320,-2.534787,0.000000,0.693663,0.355082,-0.909578,9.368503,0.188661,20.047659,-15.261442,20.018876,302.959565,19.875675,0.425564,-1.218578,0.050078,0.000000,-250.011671,0.131426,-0.751098,0.634468,289.182014,0.902622,10.054310,10.014069
