Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Friday, September 28, 2018
9:51:29 AM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
psia,C,psia,C,lbm/min,lbm/min,rpm,psia,psia,lbm/min,C,psia,C,psia,C,psia,C,C,lb/min,lb/min,C,psia,psia,lbm/min,,kW,,C,C
-3.006212,-8.863926,-12.090721,338.267353,-0.367611,-2.775018,18.552099,0.694320,0.185981,-0.948108,-8.882055,-0.032236,19.885898,-15.725695,19.836261,254.337768,19.873785,0.243875,-1.498505,0.045792,0.000000,-250.010145,0.097114,-0.794717,0.634468,289.182014,0.902622,10.054310,10.014069
-3.006598,-8.863365,-12.090689,-372.651611,-0.424636,-2.781181,18.622052,0.694343,0.172976,-0.955066,-8.881143,-0.010752,19.883717,-15.726625,19.836034,254.333521,19.871934,0.254613,-1.508166,0.046232,0.000000,-250.010892,0.083623,-0.779256,0.634468,289.182014,0.902622,10.054310,10.014069
-3.006454,-8.862697,-12.092852,160.537612,-0.453757,-2.787033,18.340614,0.694335,0.178636,-0.958171,-8.878121,0.003023,19.883545,-15.738186,19.837134,254.320155,19.871420,0.237607,-1.516520,0.047455,0.000000,-250.011118,0.078395,-0.781618,0.634468,289.182014,0.902622,10.054310,10.014069
-3.006222,-8.861567,-12.087909,-42.582092,-0.440011,-2.779837,19.087742,0.694390,0.164551,-0.958071,-8.878396,0.018826,19.884260,-15.736716,19.837442,254.319189,19.873187,0.244531,-1.524785,0.041705,0.000000,-250.011305,0.072862,-0.782039,0.634468,289.182014,0.902622,10.054310,10.014069
-3.006454,-8.860269,-12.089316,-423.431537,-0.493044,-2.765855,17.831176,0.694418,0.167148,-1.003630,-8.879024,0.019851,19.886044,-15.740489,19.836626,254.317425,19.873381,0.246173,-1.507958,0.041850,0.000000,-250.011353,0.081193,-0.783408,0.634468,289.182014,0.902622,10.054310,10.014069
-3.006006,-8.858869,-12.086729,-42.582092,-0.440470,-2.760626,18.709073,0.694412,0.167377,-0.950535,-8.879375,0.021680,19.887917,-15.732217,19.837456,254.308349,19.874224,0.254325,-1.485751,0.042884,0.000000,-250.011038,0.092757,-0.812795,0.634468,289.182014,0.902622,10.054310,10.014069
-3.005446,-8.857431,-12.087405,-42.582092,-0.502338,-2.758364,19.124679,0.694407,0.166784,-0.931350,-8.879012,0.024929,19.888073,-15.742318,19.837584,254.315114,19.873387,0.249220,-1.475851,0.041718,0.000000,-250.010748,0.104585,-0.784419,0.634468,289.182014,0.902622,10.054310,10.014069
-3.005528,-8.855783,-12.088211,8.197834,-0.523243,-2.764691,18.208694,0.694379,0.184037,-0.942491,-8.877439,0.023983,19.889489,-15.739426,19.839602,254.312400,19.870847,0.251738,-1.488753,0.041772,0.000000,-250.011213,0.099296,-0.811723,0.634468,289.182014,0.902622,10.054310,10.014069
-3.005998,-8.854236,-12.090924,363.657316,-0.489074,-2.765609,18.428428,0.694351,0.189173,-0.964739,-8.875128,0.025450,19.888230,-15.734366,19.840232,254.314625,19.870291,0.235303,-1.502726,0.042877,0.000000,-250.011082,0.097896,-0.786913,0.634468,289.182014,0.902622,10.054310,10.014069
-3.006039,-8.852331,-12.088741,-42.582092,-0.444417,-2.763298,18.614772,0.694327,0.177628,-0.962466,-8.874995,0.023704,19.887191,-15.735791,19.839124,254.308600,19.870280,0.242767,-1.510901,0.044290,0.000000,-250.011135,0.116261,-0.786159,0.634468,289.182014,0.902622,10.054310,10.014069
-3.007879,-8.850913,-12.087251,135.147649,-0.431498,-2.766331,18.762342,0.694337,0.165997,-0.942588,-8.876771,0.009128,19.885768,-15.713936,19.836525,254.301497,19.870484,0.252207,-1.508969,0.046815,0.000000,-250.010985,0.125030,-0.785095,0.634468,289.182014,0.902622,10.054310,10.014069
-3.007982,-8.849422,-12.087091,820.676650,-0.437510,-2.775657,18.520524,0.694342,0.163399,-0.942584,-8.874048,0.016420,19.885001,-15.709941,19.835368,254.306390,19.870459,0.250601,-1.505729,0.047145,0.000000,-250.010602,0.127204,-0.778927,0.634468,289.182014,0.902622,10.054310,10.014069
-3.007556,-8.848198,-12.085052,1125.356206,-0.493411,-2.774838,18.713186,0.694420,0.158375,-0.917728,-8.872647,0.024265,19.884760,-15.699165,19.834423,254.285872,19.868358,0.251563,-1.502161,0.049614,0.000000,-250.010931,0.117136,-0.799023,0.634468,289.182014,0.902622,10.054310,10.014069
-3.006283,-8.847042,-12.086480,1252.306021,-0.534740,-2.777034,18.334150,0.694407,0.175283,-0.892537,-8.869253,0.038138,19.883547,-15.704279,19.833957,254.286293,19.869491,0.254308,-1.500615,0.045659,0.000000,-250.011085,0.091159,-0.785966,0.634468,289.182014,0.902622,10.054310,10.014069
-3.005133,-8.845365,-12.089100,1252.306021,-0.502016,-2.771740,18.590592,0.694405,0.193702,-0.923371,-8.866453,0.055043,19.884495,-15.696090,19.835109,254.271736,19.869796,0.250610,-1.504748,0.046597,0.000000,-250.010748,0.071324,-0.804137,0.634468,289.182014,0.902622,10.054310,10.014069
-3.005118,-8.840263,-12.086482,1074.576280,-0.529347,-2.773231,18.770685,0.694417,0.182851,-0.978628,-8.862466,0.043164,19.885446,-15.694783,19.835468,254.273098,19.870715,0.249801,-1.514647,0.047270,0.000000,-250.010445,0.060457,-0.789915,0.634468,289.182014,0.902622,10.054310,10.014069
-3.005730,-8.825339,-12.087529,820.676650,-0.534487,-2.766871,18.875696,0.694417,0.178987,-0.963960,-8.852349,0.049540,19.885793,-15.695638,19.836364,254.292304,19.870508,0.243206,-1.523952,0.041892,0.000000,-250.009818,0.050345,-0.780714,0.634468,289.182014,0.902622,10.054310,10.014069
-3.005045,-8.802410,-12.086337,820.676650,-0.528544,-2.775346,18.625645,0.694427,0.179657,-0.931750,-8.833088,0.049607,19.885772,-15.699453,19.837478,254.297416,19.869929,0.236820,-1.520890,0.042165,0.000000,-250.009430,0.059111,-0.789050,0.634468,289.182014,0.902622,10.054310,10.014069
-3.004667,-8.770631,-12.087743,693.726835,-0.468306,-2.781050,18.927948,0.694426,0.182696,-0.923367,-8.801895,0.045618,19.885165,-15.710133,19.835467,254.317238,19.870119,0.223371,-1.510782,0.042772,0.000000,-250.009386,0.051035,-0.782876,0.634468,289.182014,0.902622,10.054310,10.014069
-3.004705,-8.733400,-12.089394,439.827205,-0.500295,-2.772772,18.453002,0.694434,0.183516,-0.922495,-8.755672,0.042067,19.885501,-15.720118,19.835912,254.307940,19.868502,0.233755,-1.495056,0.041672,0.000000,-250.009241,0.048521,-0.785595,0.634468,289.182014,0.902622,10.054310,10.014069
-3.003862,-8.681055,-12.084556,-271.091759,-0.450062,-2.769248,18.146647,0.694433,0.188882,-0.887477,-8.698238,0.024001,19.884850,-15.704083,19.833741,254.314185,19.868765,0.232909,-1.482154,0.042151,0.000000,-250.009513,0.057062,-0.818298,0.634468,289.182014,0.902622,10.054310,10.014069
-3.005247,-8.614671,-12.084674,-474.211463,-0.512297,-2.763626,18.367184,0.694408,0.177458,-0.908166,-8.632005,0.008434,19.886769,-15.710192,19.834929,254.306933,19.872475,0.240172,-1.490180,0.043369,0.000000,-250.009977,0.041997,-0.790926,0.634468,289.182014,0.902622,10.054310,10.014069
-3.005871,-8.542801,-12.083016,-118.751981,-0.486618,-2.766478,18.755071,0.694405,0.170003,-0.972064,-8.562879,0.008324,19.887616,-15.704912,19.835108,254.304594,19.873752,0.248317,-1.495026,0.043404,0.000000,-250.010694,0.043800,-0.823826,0.634468,289.182014,0.902622,10.054310,10.014069
-3.005257,-8.463344,-12.081433,160.537612,-0.477600,-2.766658,18.717431,0.694399,0.159042,-0.960619,-8.475641,-0.006039,19.888939,-15.715042,19.836885,254.305049,19.875258,0.240582,-1.505966,0.046962,0.000000,-250.010251,0.030192,-0.825316,0.634468,289.182014,0.902622,10.054310,10.014069
-3.006055,-8.392061,-12.085657,820.676650,-0.456373,-2.767888,18.244806,0.694412,0.170750,-0.929195,-8.385469,-0.000342,19.888767,-15.729131,19.838231,254.296215,19.875265,0.241105,-1.505223,0.046871,0.000000,-250.010654,0.027225,-0.821088,0.634468,289.182014,0.902622,10.054310,10.014069
-3.004982,-8.315808,-12.084685,389.047279,-0.438772,-2.764839,18.751939,0.694425,0.181131,-0.916967,-8.283688,0.008005,19.888500,-15.728545,19.839462,254.290737,19.875225,0.229274,-1.500526,0.048035,0.000000,-250.010876,0.042876,-0.824512,0.634468,289.182014,0.902622,10.054310,10.014069
-3.005723,-8.244484,-12.082099,541.387057,-0.499010,-2.766609,18.710317,0.694423,0.185726,-0.925550,-8.189006,0.020934,19.888105,-15.742527,19.837867,254.269720,19.874060,0.234091,-1.493005,0.045792,0.000000,-250.010761,0.052183,-0.802307,0.634468,289.182014,0.902622,10.054310,10.014069
-3.006146,-8.167975,-12.083017,439.827205,-0.517185,-2.769789,18.720003,0.694438,0.171977,-0.910010,-8.100979,0.046491,19.885641,-15.729679,19.835550,254.259134,19.870950,0.228184,-1.488426,0.046861,0.000000,-250.011205,0.053994,-0.806842,0.634468,289.182014,0.902622,10.054310,10.014069
-3.005439,-8.100094,-12.081500,8.197834,-0.486228,-2.777427,18.645218,0.694451,0.161185,-0.917939,-8.015529,0.059034,19.882775,-15.718301,19.835469,254.251768,19.868595,0.235150,-1.492588,0.047474,0.000000,-250.011569,0.045959,-0.798945,0.634468,289.182014,0.902622,10.054310,10.014069
-3.005593,-8.030529,-12.083150,-42.582092,-0.512457,-2.773608,18.589235,0.694470,0.156343,-0.962187,-7.932843,0.057919,19.884294,-15.715340,19.835999,254.246221,19.870637,0.227059,-1.489972,0.042533,0.000000,-250.011639,0.031344,-0.787285,0.634468,289.182014,0.902622,10.054310,10.014069
-3.004875,-7.955837,-12.084546,-372.651611,-0.465896,-2.782984,18.688999,0.694452,0.160806,-0.992571,-7.850783,0.056690,19.884511,-15.709373,19.838190,254.262676,19.872004,0.236915,-1.484918,0.043039,0.000000,-250.011199,0.032749,-0.784355,0.634468,289.182014,0.902622,10.054310,10.014069
-3.004651,-7.880272,-12.084794,8.197834,-0.447194,-2.776280,18.682463,0.694457,0.184337,-0.936024,-7.772122,0.035408,19.887117,-15.717675,19.839866,254.264322,19.873482,0.238173,-1.488724,0.043260,0.000000,-250.010615,0.041191,-0.780917,0.634468,289.182014,0.902622,10.054310,10.014069
-3.004682,-7.794685,-12.084950,-42.582092,-0.450338,-2.776559,18.377634,0.694436,0.198439,-0.930403,-7.697227,0.028059,19.886412,-15.724240,19.838721,254.274780,19.874346,0.237209,-1.487326,0.042204,0.000000,-250.009997,0.046975,-0.780875,0.634468,289.182014,0.902622,10.054310,10.014069
-3.003588,-7.695340,-12.082947,-296.481722,-0.473354,-2.772035,18.615688,0.694426,0.212361,-0.954962,-7.622548,0.021100,19.885758,-15.731643,19.840264,254.274790,19.873703,0.238697,-1.502191,0.042803,0.000000,-250.010061,0.047955,-0.815764,0.634468,289.182014,0.902622,10.054310,10.014069
-3.004048,-7.588023,-12.082450,-42.582092,-0.546673,-2.766462,18.756691,0.694446,0.214809,-0.951996,-7.536938,0.022067,19.884101,-15.733149,19.838139,254.267004,19.873831,0.225678,-1.502696,0.043508,0.000000,-250.010405,0.054589,-0.786506,0.634468,289.182014,0.902622,10.054310,10.014069
-3.003972,-7.481320,-12.080867,363.657316,-0.537149,-2.770264,18.263914,0.694469,0.203826,-0.955562,-7.455856,0.020559,19.885327,-15.737596,19.839169,254.250240,19.875144,0.238409,-1.507572,0.042849,0.000000,-250.010836,0.063904,-0.816968,0.634468,289.182014,0.902622,10.054310,10.014069
-3.003547,-7.384893,-12.081147,617.556946,-0.536713,-2.767986,18.783715,0.694516,0.194354,-0.952840,-7.366581,0.032492,19.884762,-15.741021,19.839068,254.243457,19.874716,0.249399,-1.513191,0.047108,0.000000,-250.011336,0.078092,-0.787031,0.634468,289.182014,0.902622,10.054310,10.014069
-3.004190,-7.304627,-12.084544,795.286687,-0.459792,-2.762331,18.602399,0.694480,0.189855,-0.992567,-7.289120,0.044092,19.887822,-15.740772,19.840125,254.250020,19.875156,0.249968,-1.535665,0.047090,0.000000,-250.011123,0.083319,-0.779413,0.634468,289.182014,0.902622,10.054310,10.014069
-3.003443,-7.222952,-12.082533,84.367723,-0.362654,-2.761643,18.605286,0.694496,0.180110,-0.937764,-7.212804,0.052456,19.888443,-15.750729,19.839521,254.253166,19.875064,0.252820,-1.538430,0.046865,0.000000,-250.010862,0.089501,-0.779163,0.634468,289.182014,0.902622,10.054310,10.014069
-3.003917,-7.153726,-12.083536,-474.211463,-0.327016,-2.761364,18.627982,0.694476,0.185483,-0.917446,-7.130973,0.048649,19.889763,-15.740889,19.839642,254.265182,19.875260,0.252331,-1.531028,0.045649,0.000000,-250.010223,0.082831,-0.779420,0.634468,289.182014,0.902622,10.054310,10.014069
