Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Friday, September 28, 2018
1:08:10 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
psia,C,psia,C,lbm/min,lbm/min,rpm,psia,psia,lbm/min,C,psia,C,psia,C,psia,C,C,lb/min,lb/min,C,psia,psia,lbm/min,,kW,,C,C
-3.003687,19.888628,-12.085017,389.047279,-0.444876,-2.608007,0.000000,0.694907,0.228397,-0.879465,19.906532,0.198226,19.817639,-15.626019,19.759554,-0.440448,19.801090,0.343595,-1.248099,0.052622,0.000000,-250.010520,0.125866,-0.720293,0.634468,289.182014,0.902622,10.054310,10.014069
-3.003197,19.887757,-12.088542,744.506761,-0.435330,-2.604385,0.000000,0.694907,0.223288,-0.870621,19.905660,0.197934,19.817068,-15.612045,19.758404,-0.433220,19.799345,0.345016,-1.255501,0.051564,0.000000,-250.010585,0.115502,-0.724599,0.634468,289.182014,0.902622,10.054310,10.014069
-3.003279,19.887200,-12.089381,1125.356206,-0.424545,-2.608827,0.000000,0.694897,0.214995,-0.898429,19.905305,0.192631,19.815809,-15.611794,19.758329,-0.429776,19.800136,0.353187,-1.248783,0.050050,0.000000,-250.009448,0.104917,-0.751052,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002194,19.886911,-12.086698,820.676650,-0.481960,-2.612613,0.000000,0.694904,0.204512,-0.930824,19.904606,0.189123,19.813671,-15.618220,19.756145,-0.435190,19.798547,0.355344,-1.254431,0.048275,0.000000,-250.009795,0.095634,-0.723630,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002610,19.887290,-12.088347,820.676650,-0.472551,-2.604696,0.000000,0.694904,0.189694,-0.913197,19.902894,0.190786,19.812698,-15.623771,19.753865,-0.445247,19.798242,0.360694,-1.249585,0.047532,0.000000,-250.010025,0.110473,-0.756458,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002905,19.888072,-12.089716,744.506761,-0.463005,-2.607892,0.000000,0.694917,0.201561,-0.891900,19.902536,0.187447,19.813071,-15.622146,19.754444,-0.454115,19.799397,0.345383,-1.254996,0.047840,0.000000,-250.010364,0.110060,-0.728015,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002935,19.887871,-12.088518,439.827205,-0.473010,-2.600254,0.000000,0.694911,0.205766,-0.894716,19.901038,0.181359,19.812948,-15.632978,19.753676,-0.449051,19.798268,0.347891,-1.247088,0.052486,0.000000,-250.010308,0.114738,-0.726189,0.634468,289.182014,0.902622,10.054310,10.014069
-3.003696,19.887346,-12.089845,211.317538,-0.460320,-2.604237,0.000000,0.694924,0.227546,-0.904889,19.899742,0.180103,19.815334,-15.637185,19.756230,-0.452140,19.799614,0.343015,-1.246761,0.051374,0.000000,-250.010710,0.116956,-0.730412,0.634468,289.182014,0.902622,10.054310,10.014069
-3.003930,19.887012,-12.089735,-42.582092,-0.521361,-2.609187,0.000000,0.694928,0.236406,-0.901338,19.901152,0.187609,19.816201,-15.642224,19.757907,-0.439719,19.799862,0.343769,-1.249496,0.050767,0.000000,-250.010233,0.101289,-0.725035,0.634468,289.182014,0.902622,10.054310,10.014069
-3.003564,19.887101,-12.083522,-144.141944,-0.477279,-2.608253,0.000000,0.694940,0.224393,-0.903825,19.903367,0.187688,19.815271,-15.655000,19.757447,-0.448492,19.800712,0.349969,-1.251339,0.055567,0.000000,-250.010620,0.114584,-0.729830,0.634468,289.182014,0.902622,10.054310,10.014069
-3.004211,19.887292,-12.085899,287.487427,-0.448341,-2.616613,0.000000,0.694928,0.206992,-0.946057,19.904146,0.189068,19.818347,-15.648114,19.758470,-0.448828,19.803244,0.344993,-1.264271,0.051978,0.000000,-250.010587,0.121883,-0.719632,0.634468,289.182014,0.902622,10.054310,10.014069
-3.003720,19.887639,-12.086025,8.197834,-0.393014,-2.619497,0.000000,0.694929,0.200666,-0.916588,19.903356,0.170500,19.817201,-15.652089,19.757709,-0.454208,19.804208,0.339004,-1.261804,0.052081,0.000000,-250.010404,0.139017,-0.717802,0.634468,289.182014,0.902622,10.054310,10.014069
