Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Saturday, September 29, 2018
7:50:19 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
psia,C,psia,C,lbm/min,lbm/min,rpm,psia,psia,lbm/min,C,psia,C,psia,C,psia,C,C,lb/min,lb/min,C,psia,psia,lbm/min,,kW,,C,C
-3.008961,-118.632140,-12.102290,-42.582092,-0.309209,-2.562571,18.308299,0.694542,0.035730,-0.936163,19.605894,-0.017420,19.646820,-15.710561,19.640700,-0.450218,19.697053,-0.279119,-1.108433,0.056294,0.000000,-250.012069,355.886242,-0.703441,0.634468,289.182014,0.902622,10.054310,10.014069
-3.008950,-42.538144,-12.105784,-42.582092,-0.343631,-2.563128,17.882075,0.694568,0.024019,-0.898808,19.605414,-0.004238,19.645460,-15.713074,19.639085,-0.465387,19.695067,-0.271176,-1.117946,0.054626,0.000000,-250.012443,355.873944,-0.730695,0.634468,289.182014,0.902622,10.054310,10.014069
-3.009395,-17.173479,-12.108794,8.197834,-0.337825,-2.567980,18.668596,0.694571,0.023202,-0.899572,19.603011,0.002732,19.644058,-15.717725,19.638224,-0.462029,19.695207,-0.278750,-1.108017,0.054228,0.000000,-250.011966,355.883233,-0.713529,0.634468,289.182014,0.902622,10.054310,10.014069
-3.009644,693.037151,-12.107931,262.097464,-0.360061,-2.568652,18.676862,0.694583,0.020268,-0.895738,19.606474,-0.001904,19.645174,-15.707587,19.640187,-0.466448,19.697372,-0.276837,-1.113309,0.054578,0.000000,-250.011659,355.894143,-0.707318,0.634468,289.182014,0.902622,10.054310,10.014069
-3.010030,870.589808,-12.108853,-42.582092,-0.409514,-2.572504,18.657355,0.694582,0.009124,-0.884497,19.606929,0.002588,19.646055,-15.711616,19.641633,-0.463304,19.699083,-0.289602,-1.117144,0.054970,0.000000,-250.011297,355.887017,-0.716205,0.634468,289.182014,0.902622,10.054310,10.014069
-3.009878,464.755163,-12.106849,-398.041574,-0.409284,-2.570356,18.335983,0.694575,0.001287,-0.877664,19.608085,0.010885,19.648218,-15.709231,19.641088,-0.456961,19.701313,-0.290040,-1.121841,0.050814,0.000000,-250.011103,355.875643,-0.715083,0.634468,289.182014,0.902622,10.054310,10.014069
-3.009465,-220.090801,-12.101961,-423.431537,-0.362241,-2.566718,18.729231,0.694564,-0.003195,-0.904321,19.608044,0.001413,19.648215,-15.712512,19.641108,-0.467478,19.701057,-0.292366,-1.126835,0.051233,0.000000,-250.011153,355.860467,-0.724131,0.634468,289.182014,0.902622,10.054310,10.014069
-3.009313,-499.102120,-12.099442,-423.431537,-0.356206,-2.566341,18.692385,0.694565,-0.002742,-0.931825,19.607420,0.007816,19.647902,-15.708765,19.641806,-0.458074,19.702498,-0.298567,-1.121751,0.051889,0.000000,-250.011626,355.853779,-0.733350,0.634468,289.182014,0.902622,10.054310,10.014069
-3.009676,-854.207435,-12.101214,-753.501056,-0.311504,-2.569160,18.464556,0.694569,0.005084,-0.907416,19.606870,0.009749,19.648345,-15.687364,19.641881,-0.450474,19.702133,-0.300058,-1.113249,0.050726,0.000000,-250.011743,355.849329,-0.728411,0.634468,289.182014,0.902622,10.054310,10.014069
-3.009057,-702.019443,-12.102124,-271.091759,-0.345879,-2.568209,18.717155,0.694582,0.009861,-0.882446,19.609050,0.014619,19.648258,-15.691056,19.644447,-0.445790,19.702474,-0.301382,-1.096690,0.050692,0.000000,-250.011887,355.860304,-0.728501,0.634468,289.182014,0.902622,10.054310,10.014069
-3.008942,-42.538144,-12.103696,-17.192129,-0.400679,-2.570520,18.076497,0.694582,0.027067,-0.874606,19.610068,0.024827,19.649486,-15.707978,19.644973,-0.447599,19.702537,-0.307660,-1.102101,0.051475,0.000000,-250.011472,355.863732,-0.709930,0.634468,289.182014,0.902622,10.054310,10.014069
-3.009032,-169.361471,-12.105183,262.097464,-0.391110,-2.573323,18.178298,0.694580,0.017827,-0.885561,19.609679,0.024775,19.648145,-15.712228,19.643728,-0.451874,19.699381,-0.300218,-1.109057,0.050266,0.000000,-250.011135,355.869790,-0.706875,0.634468,289.182014,0.902622,10.054310,10.014069
