Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Tuesday, October 23, 2018
1:54:26 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
bar,C,bar,C,kg/s,kg/s,rpm,bar,bar,kg/s,C,bar,C,bar,C,bar,C,C,kg/s,kg/s,C,bar,bar,kg/s,,kW,,C,C
2.900818,7.745129,4.138756,38.318418,10.320344,0.250265,0.000000,0.763893,3.869677,0.069761,4.270718,2.942021,37.860927,3.898135,34.969636,3.830126,8.093259,3.818281,0.000560,-0.000051,0.000000,-16.473718,3.915513,-0.005478,179.999974,0.000456,NaN,Inf,8.439712
3.078714,16.269610,4.186408,29.124952,8.959340,0.226717,4192.434157,0.763867,3.942286,1.223979,14.858746,3.104640,25.572362,3.957325,22.469409,3.906737,10.858717,3.907961,0.000523,-0.000041,0.000000,-16.473736,3.963830,-0.005411,179.999974,0.000421,NaN,Inf,8.219277
3.026366,16.116132,4.184994,29.739787,9.333685,0.235846,4194.367616,0.763854,3.929900,1.184719,14.700151,3.053304,26.049099,3.948361,22.756995,3.894027,10.746755,3.894557,0.000543,-0.000042,0.000000,-16.473743,3.953406,-0.005417,179.999974,0.000421,NaN,Inf,8.219277
2.975785,15.963748,4.184784,30.360158,9.711045,0.244976,4194.385845,0.763834,3.919249,1.169340,14.543656,3.003750,26.543380,3.941051,23.059059,3.882912,10.659971,3.882754,0.000557,-0.000041,0.000000,-16.473766,3.944756,-0.005424,179.999974,0.000314,337.506059,0.000064,14.876531
2.926368,15.812229,4.185148,30.986763,10.089914,0.254073,4193.450122,0.763823,3.909526,1.142721,14.389663,2.954939,27.049465,3.934840,23.371554,3.872798,10.581685,3.871846,0.000569,-0.000042,0.000000,-16.473786,3.937065,-0.005433,179.999974,0.000345,360.869424,0.000068,15.200955
2.893702,15.711628,4.185648,31.407130,10.342492,0.260099,4172.866321,0.763804,3.903304,1.140037,14.288988,2.922722,27.393002,3.931031,23.586325,3.866289,10.530147,3.864862,0.000570,-0.000042,0.000000,-16.473806,3.932323,-0.005441,179.999974,0.000377,384.373773,0.000072,15.516413
2.845143,15.561412,4.187420,32.041319,10.721360,0.269137,4174.916391,0.763781,3.894313,1.178083,14.140522,2.874929,27.918781,3.925600,23.917628,3.856954,10.453323,3.854789,0.000577,-0.000042,0.000000,-16.473825,3.925404,-0.005443,179.999974,0.000411,408.383082,0.000076,15.827919
2.797212,15.412248,4.189154,32.680283,11.100228,0.278173,4172.807030,0.763769,3.885942,1.233058,13.994470,2.827721,28.453264,3.920733,24.257377,3.848144,10.376677,3.845349,0.000585,-0.000041,0.000000,-16.473840,3.919138,-0.005465,179.999974,0.000434,424.790235,0.000079,16.036694
2.750064,15.263682,4.191525,33.322897,11.479096,0.287209,4172.856430,0.763751,3.878057,1.296265,13.851664,2.781190,28.997879,3.916107,24.607040,3.840130,10.301003,3.836383,0.000576,-0.000041,0.000000,-16.473869,3.913351,-0.005469,179.999974,0.000471,450.103574,0.000083,16.351393
2.719302,15.165721,4.192931,33.752746,11.729000,0.292430,4366.381274,0.763744,3.872815,1.324274,13.758521,2.751019,29.365205,3.912824,24.845224,3.834677,10.255150,3.830547,0.000592,-0.000041,0.000000,-16.473881,3.909567,-0.005465,179.999974,0.000510,476.306323,0.000087,16.667160
2.674573,15.025002,4.193458,34.393626,12.103344,0.298785,4183.691224,0.763728,3.864813,1.387593,13.622201,2.707102,29.920546,3.906740,25.210162,3.826254,10.196080,3.821864,0.000613,-0.000041,0.000000,-16.473896,3.903524,-0.005484,179.999974,0.000550,503.278970,0.000092,16.981945
2.631906,14.893769,4.192564,35.024470,12.477266,0.303674,4186.641121,0.763724,3.856244,1.435286,13.493191,2.665303,30.474873,3.899016,25.581978,3.817353,10.140329,3.812016,0.000624,-0.000041,0.000000,-16.473895,3.896790,-0.005479,179.999974,0.000576,520.030156,0.000090,17.189622
2.592211,14.776604,4.190178,35.636286,12.477467,0.307201,4171.915415,0.763712,3.847241,1.490216,13.374282,2.626454,31.027187,3.890616,25.956119,3.807982,10.078268,3.802815,0.000641,-0.000040,0.000000,-16.473906,3.889570,-0.005463,179.999974,0.000612,542.542312,0.000098,17.498093
2.568057,14.705370,4.187110,36.032429,12.477459,0.308799,4194.379733,0.763702,3.841160,1.515179,13.302013,2.603121,31.393065,3.884799,26.206206,3.801772,10.039726,3.796669,0.000647,-0.000040,0.000000,-16.473915,3.884843,-0.005474,179.999974,0.000644,562.090041,0.000101,17.800773
2.535743,14.609729,4.180860,36.604898,12.477445,0.310276,4365.215636,0.763700,3.831914,1.563887,13.203316,2.571772,31.936699,3.875630,26.584022,3.792160,9.983081,3.787470,0.000651,-0.000040,0.000000,-16.473919,3.877517,-0.005466,179.999974,0.000673,579.339475,0.000104,18.092189
2.508247,14.528928,4.173203,37.138742,12.477430,0.310799,4193.504507,0.763688,3.822288,1.624644,13.119698,2.545033,32.470765,3.865976,26.962881,3.782179,9.914257,3.777916,0.000651,-0.000040,0.000000,-16.473933,3.870000,-0.005472,179.999974,0.000689,588.854893,0.000105,18.271953
2.485818,14.461224,4.162521,37.635872,12.477416,0.310461,4193.384370,0.763674,3.812491,1.669787,13.059244,2.523335,32.984938,3.855976,27.343720,3.771875,9.835207,3.768253,0.000632,-0.000040,0.000000,-16.473953,3.861947,-0.005460,179.999974,0.000709,600.378365,0.000103,18.514960
2.473656,14.425147,4.153852,37.940482,12.477406,0.309909,4195.267605,0.763669,3.805825,1.704732,13.024893,2.511610,33.316913,3.848986,27.598340,3.764943,9.779900,3.761803,0.000645,-0.000040,0.000000,-16.473961,3.856202,-0.005453,179.999974,0.000724,609.118327,0.000109,18.724948
