Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Wednesday, October 24, 2018
1:56:44 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
bar,C,bar,C,kg/s,kg/s,rpm,bar,bar,kg/s,C,bar,C,bar,C,bar,C,C,kg/s,kg/s,C,bar,bar,kg/s,W,,kW,,C,C
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.615181,17.647604,4.377629,36.938935,12.477645,0.312475,4170.887772,0.874880,4.136766,-0.006792,17.364745,2.645563,32.389777,4.130119,26.784783,4.098552,11.200210,4.105324,0.000014,-0.000042,0.000000,-16.362689,4.137158,-0.005402,179.999974,0.771504,-10643.064264,1.082092,54.054310,-57.985931
2.586275,17.668056,4.363612,37.326329,12.477639,0.311154,4179.675951,0.874894,4.122395,-0.006768,17.428338,2.617359,32.759794,4.115691,27.040502,4.083986,11.106394,4.091387,0.000014,-0.000042,0.000000,-16.362678,4.122872,-0.005407,179.999974,0.771504,-10643.064264,1.082092,54.054310,-57.985931
2.550204,17.720465,4.340699,37.868881,12.477628,0.308788,4177.749520,0.874885,4.100034,-0.006815,17.546246,2.582203,33.302118,4.093083,27.429225,4.061322,10.963429,4.069861,0.000014,-0.000042,0.000000,-16.362681,4.100611,-0.005414,179.999974,0.000744,729.495590,0.000107,20.726171,-1.495609
2.521361,17.792369,4.316683,38.367166,12.477620,0.305933,4168.992022,0.874888,4.077655,-0.006819,17.675106,2.554124,33.823062,4.070318,27.821151,4.038651,10.812853,4.048277,0.000014,-0.000042,0.000000,-16.362677,4.078352,-0.005414,179.999974,0.000753,737.551990,0.000107,21.045159,-1.503336
2.498447,17.877539,4.291246,38.804890,12.477612,0.302736,4177.792071,0.874889,4.055567,-0.006821,17.807973,2.531498,34.324133,4.047530,28.212506,4.016241,10.658369,4.026940,0.000014,-0.000041,0.000000,-16.362676,4.056365,-0.005418,179.999974,0.000761,746.464543,0.000108,21.473737,-1.517727
2.484978,17.937405,4.276181,39.068618,12.477608,0.300677,4177.941184,0.874869,4.041354,-0.006812,17.898328,2.518089,34.644372,4.032909,28.470838,4.001800,10.553215,4.013072,0.000014,-0.000041,0.000000,-16.362700,4.042278,-0.005412,179.999974,0.000763,752.147771,0.000109,21.849390,-1.525570
2.466526,18.029447,4.254950,39.426626,12.477602,0.297819,4166.915572,0.874876,4.021142,-0.006816,18.035034,2.499686,35.101360,4.011964,28.852643,3.981120,10.393168,3.993283,0.000014,-0.000040,0.000000,-16.362695,4.022154,-0.005421,179.999974,0.000761,755.147742,0.000108,22.177796,-1.528322
2.449595,18.121848,4.233702,39.740719,12.477597,0.295237,4180.625234,0.874891,4.002009,-0.006792,18.173422,2.482737,35.533322,3.992216,29.227471,3.961510,10.231830,3.974826,0.000014,-0.000041,0.000000,-16.362678,4.003165,-0.005391,179.999974,0.000759,756.798241,0.000108,22.381446,-1.525712
2.434053,18.214106,4.215272,40.026953,12.477590,0.292809,4178.873138,0.874933,3.984280,-0.006797,18.314067,2.467205,35.934247,3.973630,29.591642,3.943138,10.069442,3.957367,0.000014,-0.000040,0.000000,-16.362637,3.985194,-0.005386,179.999974,0.000756,759.454894,0.000108,22.671433,-1.512451
2.419565,18.306486,4.198587,40.285627,12.477584,0.290598,4179.747337,0.874936,3.967527,-0.006808,18.456335,2.452798,36.311046,3.956246,29.945964,3.925503,9.910041,3.940647,0.000014,-0.000040,0.000000,-16.362637,3.968278,-0.005390,179.999974,0.000752,762.498203,0.000108,22.946487,-1.488521
2.410715,18.368432,4.187280,40.447791,12.477581,0.289215,4177.790014,0.874966,3.956799,-0.006787,18.552158,2.444058,36.546818,3.945277,30.175475,3.914512,9.808853,3.930029,0.000014,-0.000040,0.000000,-16.362609,3.957632,-0.005391,179.999974,0.000750,765.557382,0.000108,23.207268,-1.456562
2.398672,18.462245,4.171451,40.677861,12.477577,0.287248,4174.894151,0.874962,3.941857,-0.006798,18.697611,2.432079,36.879758,3.929758,30.509795,3.898952,9.680321,3.915176,0.000014,-0.000040,0.000000,-16.362612,3.942600,-0.005389,179.999974,0.000747,768.748952,0.000108,23.457487,-1.422476
2.389054,18.558112,4.158371,40.891936,12.477571,0.285496,4172.845509,0.874993,3.928286,-0.006782,18.844437,2.422542,37.193819,3.915857,30.834605,3.884884,9.567875,3.901569,0.000014,-0.000041,0.000000,-16.362590,3.928973,-0.005386,179.999974,0.000746,770.729200,0.000108,23.616211,-1.401083
2.381005,18.655598,4.146528,41.094592,12.477566,0.284020,4178.952991,0.874952,3.915914,-0.006778,18.988056,2.414665,37.487323,3.903001,31.148275,3.871983,9.468799,3.889316,0.000014,-0.000041,0.000000,-16.362630,3.916734,-0.005385,179.999974,0.000743,773.011273,0.000108,23.842169,-1.384451
2.376482,18.719906,4.138588,41.222594,12.477562,0.283156,4169.960767,0.874932,3.908272,-0.006770,19.081232,2.410193,37.674884,3.895087,31.352712,3.863990,9.408151,3.881722,0.000017,-0.000040,0.000000,-16.362645,3.909082,-0.005407,179.999974,0.000740,774.758483,0.000108,24.043929,-1.374803
2.370723,18.813822,4.129307,41.404906,12.477558,0.282018,4189.563743,0.874919,3.897560,-0.006767,19.215750,2.404532,37.944688,3.884076,31.651562,3.852825,9.326214,3.870523,0.000058,-0.000041,0.000000,-16.362664,3.898359,-0.005409,179.999974,0.000737,776.597257,0.000107,24.230302,-1.368523
2.366315,18.903862,4.119477,41.578379,12.477553,0.281096,4175.977555,0.874953,3.887756,-0.006767,19.341396,2.400181,38.199291,3.874003,31.940407,3.842482,9.256410,3.860635,0.000127,-0.000041,0.000000,-16.362629,3.888616,-0.005398,179.999974,0.000735,777.765733,0.000107,24.344650,-1.365502
2.363389,18.987884,4.111738,41.741449,12.477547,0.280298,4170.918089,0.874959,3.878650,-0.006785,19.456891,2.397448,38.441075,3.864893,32.220136,3.832950,9.193480,3.851463,0.000169,-0.000041,0.000000,-16.362619,3.879698,-0.005400,179.999974,0.000733,779.213966,0.000107,24.502397,-1.368707
2.362137,19.040595,4.106844,41.845430,12.477544,0.279899,4167.970290,0.874945,3.873196,-0.006757,19.526966,2.396302,38.596305,3.859372,32.401689,3.827107,9.157617,3.845762,0.000178,-0.000040,0.000000,-16.362631,3.874190,-0.005400,179.999974,0.000730,780.577588,0.000107,24.641373,-1.374230
2.361162,19.113542,4.100056,41.994420,12.477539,0.279439,4177.781554,0.874930,3.865619,-0.006764,19.619783,2.395326,38.818473,3.851721,32.666402,3.819051,9.110071,3.838023,0.000206,-0.000041,0.000000,-16.362641,3.866724,-0.005394,179.999974,0.000728,781.508808,0.000107,24.757918,-1.381312
2.362122,19.176578,4.095263,42.134133,12.477535,0.279102,4174.738879,0.874967,3.858576,-0.006766,19.698741,2.396863,39.030733,3.844653,32.922860,3.811401,9.068551,3.830760,0.000227,-0.000041,0.000000,-16.362608,3.859588,-0.005403,179.999974,0.000726,782.053365,0.000107,24.824556,-1.389029
2.366274,19.232094,4.089393,42.266167,12.477530,0.279194,4169.936280,0.875036,3.851985,-0.006736,19.760734,2.401368,39.230617,3.838219,33.170057,3.804181,9.030740,3.823766,0.000241,-0.000041,0.000000,-16.362542,3.852965,-0.005400,179.999974,0.000723,782.739577,0.000107,24.908345,-1.400714
2.370221,19.264957,4.086709,42.347859,12.477527,0.279409,4175.791795,0.875055,3.848000,-0.006753,19.794513,2.405614,39.358211,3.834287,33.330701,3.799752,9.005920,3.819375,0.000248,-0.000040,0.000000,-16.362521,3.848916,-0.005401,179.999974,0.000721,782.691994,0.000107,24.960700,-1.414870
2.376884,19.306513,4.084000,42.460393,12.477522,0.279933,4344.834929,0.875090,3.842733,-0.006727,19.832590,2.412610,39.542206,3.829147,33.565917,3.793934,8.970772,3.813716,0.000251,-0.000040,0.000000,-16.362489,3.843718,-0.005375,179.999974,0.000717,782.380422,0.000107,24.970060,-1.430754
2.384477,19.338848,4.081631,42.563219,12.477517,0.280547,4182.674046,0.875168,3.838405,-0.006724,19.853513,2.420547,39.715338,3.824820,33.794194,3.788970,8.940328,3.808693,0.000264,-0.000040,0.000000,-16.362410,3.839366,-0.005372,179.999974,0.000714,782.117480,0.000106,24.959099,-1.439679
2.392762,19.359382,4.080158,42.655313,12.477515,0.281254,4175.781904,0.875198,3.834804,-0.006726,19.860305,2.429115,39.880004,3.821381,34.015372,3.784719,8.911397,3.804271,0.000287,-0.000040,0.000000,-16.362373,3.835782,-0.005355,179.999974,0.000711,781.941194,0.000102,24.926810,-1.448065
2.398699,19.367643,4.079516,42.712288,12.477513,0.281776,4176.773798,0.875244,3.832746,-0.006746,19.855499,2.435188,39.984652,3.819442,34.158523,3.782391,8.893683,3.801671,0.000293,-0.000040,0.000000,-16.362331,3.833769,-0.005356,179.999974,0.000707,781.419920,0.000106,24.875179,-1.456301
2.407858,19.372035,4.079141,42.791675,12.477509,0.282698,4344.736650,0.875273,3.830124,-0.006742,19.835294,2.444676,40.133614,3.817110,34.367140,3.779441,8.869340,3.798614,0.000308,-0.000040,0.000000,-16.362305,3.831253,-0.005358,179.999974,0.000704,780.645088,0.000106,24.804340,-1.461463
2.417819,19.365452,4.079821,42.863055,12.477505,0.283651,4178.729175,0.875298,3.828004,-0.006781,19.802207,2.454822,40.274685,3.815386,34.568445,3.777040,8.846228,3.795945,0.000323,-0.000040,0.000000,-16.362277,3.829256,-0.005353,179.999974,0.000701,779.993044,0.000106,24.747267,-1.463803
2.428397,19.350592,4.081711,42.928391,12.477501,0.284665,4173.834162,0.875293,3.826616,-0.006777,19.753448,2.465545,40.407048,3.814224,34.762467,3.775263,8.824314,3.793806,0.000316,-0.000041,0.000000,-16.362282,3.827864,-0.005352,179.999974,0.000698,779.214129,0.000102,24.651115,-1.463052
2.435946,19.335334,4.082695,42.968130,12.477499,0.285403,4348.233537,0.875341,3.826021,-0.006796,19.713806,2.473300,40.491546,3.813871,34.888718,3.774496,8.810548,3.792836,0.000318,-0.000041,0.000000,-16.362239,3.827416,-0.005385,179.999974,0.000695,777.927384,0.000106,24.535532,-1.460553
2.447944,19.304512,4.085011,43.022099,12.477496,0.286601,4183.677451,0.875378,3.825710,-0.006797,19.642800,2.485807,40.612640,3.814080,35.073799,3.773911,8.791335,3.791689,0.000341,-0.000042,0.000000,-16.362199,3.827121,-0.005382,179.999974,0.000692,776.419608,0.000106,24.405290,-1.455170
2.461695,19.265514,4.088270,43.070298,12.477492,0.287954,4177.952397,0.875444,3.826307,-0.006802,19.552953,2.500023,40.725819,3.815175,35.251844,3.774111,8.771161,3.791456,0.000340,-0.000041,0.000000,-16.362131,3.827679,-0.005413,179.999974,0.000690,775.330879,0.000101,24.307924,-1.448899
2.477389,19.214346,4.094144,43.110556,12.477489,0.289491,4176.808109,0.875394,3.827956,-0.006792,19.444074,2.516471,40.832342,3.817327,35.425257,3.775430,8.749084,3.792063,0.000309,-0.000042,0.000000,-16.362186,3.829199,-0.005417,179.999974,0.000686,773.454673,0.000105,24.147007,-1.438555
2.489529,19.172377,4.098792,43.133177,12.477486,0.290628,4176.980065,0.875399,3.830004,-0.006795,19.347082,2.529054,40.898890,3.819621,35.537948,3.777140,8.733088,3.793312,0.000287,-0.000042,0.000000,-16.362191,3.831135,-0.005408,179.999974,0.000683,771.336680,0.000105,23.959526,-1.420179
2.509968,19.087661,4.107266,43.159528,12.477482,0.292564,4177.717755,0.875373,3.834559,-0.006780,19.035695,2.550126,40.992610,3.824625,35.703472,3.781242,8.707798,3.796601,0.000279,-0.000041,0.000000,-16.362204,3.835561,-0.005417,179.999974,0.000679,768.878779,0.000105,23.739656,-1.393414
