Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Monday, November 5, 2018
4:19:07 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio
bar,C,bar,C,kg/s,kg/s,rpm,bar,bar,kg/s,C,bar,C,bar,C,bar,C,C,kg/s,kg/s,C,bar,bar,kg/s,kW,,kW,,C,C,
3.759259,28.864115,11.766396,79.713214,0.406897,0.414942,59.125886,0.880459,11.632256,0.010715,29.226548,3.797209,78.716704,11.758310,76.634267,11.668327,20.561612,11.615684,0.000014,0.000102,0.000000,-16.356919,11.667335,0.003389,15.846120,0.694952,81.079898,0.922355,21.755296,24.495536,3.130501
3.759284,28.868429,11.767606,79.717169,0.406799,0.414942,59.151555,0.880532,11.632096,0.010714,29.230809,3.797195,78.721270,11.758040,76.639094,11.667978,20.562244,11.615516,0.000014,0.000102,0.000000,-16.356845,11.666964,0.003390,15.844207,0.695007,81.081350,0.922344,21.759752,24.493868,3.130312
3.759216,28.872693,11.767422,79.721085,0.406735,0.414942,7.873971,0.880538,11.631826,0.010714,29.235155,3.797317,78.725521,11.757655,76.643793,11.667648,20.562743,11.615190,0.000014,0.000101,0.000000,-16.356834,11.666626,0.003389,15.845179,0.694955,81.082284,0.922601,21.762893,24.492984,3.129978
3.759166,28.876947,11.764966,79.725073,0.406684,0.414942,59.137893,0.880596,11.631550,0.010714,29.239075,3.797311,78.729632,11.757405,76.648674,11.667393,20.562985,11.615047,0.000014,0.000101,0.000000,-16.356775,11.665456,0.003401,15.843285,0.695108,81.083511,0.922211,21.767009,24.491792,3.130278
3.759215,28.879807,11.765031,79.727693,0.406673,0.414942,59.138565,0.880567,11.631176,0.012595,29.242052,3.797520,78.732764,11.757067,76.652249,11.667055,20.563441,11.614730,0.000014,0.000102,0.000000,-16.356801,11.665009,0.004035,15.842571,0.695085,81.084915,6.928188,21.771802,24.490212,3.130286
3.759383,28.884292,11.767145,79.731382,0.406909,0.414939,59.150579,0.880661,11.631580,0.012119,29.245912,3.797713,78.736971,11.756955,76.657393,11.666867,20.563951,11.614516,0.000014,0.000102,0.000000,-16.356701,11.666801,0.003829,15.842652,0.695061,81.086428,0.922490,21.776446,24.489495,3.129675
3.759145,28.888807,11.765120,79.734545,0.406970,0.414938,59.142916,0.880602,11.631643,0.010706,29.250004,3.797427,78.740783,11.756688,76.662028,11.666565,20.564788,11.614418,0.000014,0.000102,0.000000,-16.356757,11.666029,0.003383,15.843892,0.695101,81.087197,0.922478,21.778925,24.487988,3.129651
3.759076,28.892846,11.769142,79.738624,0.406786,0.414936,59.142143,0.880642,11.631563,0.010705,29.253865,3.797390,78.744934,11.756685,76.666714,11.666298,20.565202,11.614228,0.000014,0.000102,0.000000,-16.356714,11.665868,0.003384,15.843654,0.695187,81.087894,0.922259,21.782103,24.486767,3.130074
3.758998,28.895569,11.765615,79.741475,0.406899,0.414936,59.183889,0.880641,11.631460,0.010706,29.256599,3.797179,78.747712,11.756548,76.669985,11.666101,20.565502,11.614047,0.000014,0.000102,0.000000,-16.356717,11.665769,0.003384,15.850106,0.695083,81.089141,0.922457,21.788474,24.485606,3.129733
3.758831,28.899815,11.763882,79.745689,0.407122,0.414935,59.144555,0.880594,11.631170,0.010706,29.261065,3.797092,78.751769,11.756403,76.674732,11.665769,20.566261,11.613823,0.000014,0.000102,0.000000,-16.356768,11.665634,0.003382,15.849411,0.695327,81.090169,0.922500,21.793046,24.484561,3.130860
3.758789,28.904088,11.760136,79.749878,0.406824,0.414935,59.148717,0.880581,11.630865,0.010707,29.264854,3.796975,78.755121,11.756229,76.679679,11.665454,20.566722,11.613596,0.000014,0.000102,0.000000,-16.356782,11.664545,0.003397,15.853196,0.694879,81.091089,0.921880,21.796376,24.483661,3.129987
3.758929,28.908376,11.761729,79.754089,0.406578,0.414936,59.135139,0.880556,11.630952,0.012063,29.269132,3.796961,78.758851,11.756094,76.684274,11.665208,20.567431,11.613350,0.000014,0.000102,0.000000,-16.356804,11.664686,0.003816,15.851537,0.694868,81.092235,0.922553,21.801922,24.482159,3.129665
3.758774,28.912884,11.762477,79.758042,0.406705,0.414936,59.134939,0.880495,11.630806,0.010695,29.273567,3.796735,78.762585,11.755842,76.689495,11.664955,20.568011,11.613108,0.000014,0.000102,0.000000,-16.356862,11.664198,0.003379,15.844123,0.694528,81.093700,0.922518,21.806522,24.480942,3.128703
3.758782,28.915748,11.761972,79.760896,0.406833,0.414935,59.137330,0.880555,11.630778,0.010695,29.276244,3.796792,78.764845,11.755679,76.692495,11.664728,20.568121,11.613001,0.000014,0.000102,0.000000,-16.356795,11.664027,0.003381,15.844957,0.694670,81.094892,0.922710,21.809724,24.479417,3.129011
