Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Thursday, November 15, 2018
8:27:28 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,
54.102909,75.121859,160.057225,163.557042,52.366855,55.536944,59.179973,12.908950,157.586347,1.215274,75.558970,54.797754,162.066496,159.458307,158.908310,158.187050,68.227489,157.625176,0.001936,-1.783742,32.000000,-237.098092,158.393323,0.385419,15.141285,0.683886,274026.519977,0.920221,30.713794,40.306977,2.961784
54.119991,75.148612,160.018532,163.534827,52.355968,55.549142,59.186313,12.911795,157.520096,1.215287,75.589346,54.815485,162.054252,159.390884,158.907131,158.116611,68.201947,157.556826,0.001926,-1.783733,32.000000,-237.095261,158.326418,0.385414,15.137280,0.683796,274069.495065,0.919440,30.732340,40.297294,2.960335
54.131431,75.165714,159.951148,163.518916,52.323183,55.557407,59.179693,12.912976,157.476731,1.215248,75.608979,54.827531,162.045108,159.345021,158.905899,158.069451,68.185383,157.510563,0.001917,-1.783135,32.000000,-237.094068,158.282486,0.385432,15.132457,0.683649,274172.393473,0.920085,30.747024,40.291407,2.958385
54.147188,75.190338,159.890186,163.493628,52.177070,55.569752,59.183444,12.912902,157.415732,1.035938,75.637920,54.844449,162.030393,159.280697,158.903034,158.004089,68.160862,157.445834,0.001915,-1.783148,32.000000,-237.094159,158.250700,0.321846,15.123662,0.683641,274273.948397,0.919933,30.757184,40.287352,2.956736
54.167015,75.214164,159.821031,163.467563,52.128134,55.581854,59.194101,12.913698,157.356904,0.963246,75.665955,54.864294,162.013815,159.219767,158.898698,157.942249,68.137148,157.384138,0.001934,-1.781382,32.000000,-237.093465,158.190116,0.302854,15.122425,0.683573,274341.366608,0.919999,30.763174,40.283876,2.954866
54.192824,75.237229,159.750503,163.440630,52.158660,55.594278,59.187669,12.915648,157.302296,1.153649,75.691597,54.889505,161.995578,159.163635,158.893633,157.885512,68.113116,157.328878,0.001941,-1.780223,32.000000,-237.091471,158.067286,0.369375,15.112209,0.683709,274441.686112,0.919910,30.772496,40.280353,2.952881
54.212627,75.252237,159.726621,163.421751,52.161333,55.602532,8.499051,12.916252,157.267407,1.210913,75.708028,54.908255,161.982686,159.127701,158.890163,157.848753,68.097959,157.292593,0.001932,-1.779626,32.000000,-237.090788,158.029801,0.384086,15.110450,0.683420,274538.354133,0.919631,30.777075,40.277329,2.950523
54.241278,75.274124,159.663466,163.391748,52.137725,55.627052,59.182312,12.915948,157.214151,1.210974,75.730922,54.939554,161.961575,159.073211,158.882779,157.792222,68.075056,157.239756,0.001931,-1.779032,32.000000,-237.091110,157.975739,0.384031,15.110178,0.683450,274634.887967,0.919511,30.775091,40.277404,2.947817
54.276538,75.295774,159.588729,163.359189,52.218400,55.663645,59.178370,12.916658,157.165476,1.210883,75.754480,54.977298,161.938921,159.024725,158.873847,157.740849,68.053618,157.188335,0.001931,-1.778286,32.000000,-237.090460,157.926254,0.383890,15.099105,0.683292,274697.350586,6.402134,30.770886,40.276828,2.946299
54.313410,75.317208,159.554624,163.324609,52.358795,55.700236,59.176737,12.917569,157.121712,1.029299,75.776962,55.013878,161.914289,158.977812,158.862215,157.692210,68.033112,157.139705,0.001938,-1.776528,32.000000,-237.089553,157.910448,0.319803,15.100355,0.683012,274850.466478,0.919322,30.764984,40.276815,2.943579
54.340210,75.331439,159.529158,163.300320,52.482192,55.724633,59.184865,12.918800,157.091676,0.960132,75.791751,55.041006,161.896867,158.948949,158.854332,157.663084,68.020327,157.108182,0.001921,-1.775361,32.000000,-237.088276,157.879997,0.301232,15.097087,0.683230,275060.136109,0.919384,30.752450,40.275947,2.940289
54.379453,75.352637,159.505198,163.262553,52.604430,55.761268,59.182419,12.918815,157.047379,0.960094,75.814820,55.082860,161.869708,158.904804,158.841925,157.619619,68.003019,157.064439,0.001912,-1.773618,32.000000,-237.088337,157.836438,0.301286,15.085994,0.683025,275268.445280,0.919379,30.738159,40.275352,2.937665
54.420328,75.373714,159.454312,163.222928,52.676756,55.797917,59.157234,12.919223,157.007152,0.960072,75.837445,55.126335,161.840569,158.864187,158.827885,157.578201,67.986649,157.025499,0.001912,-1.772145,32.000000,-237.088019,157.795872,0.301379,15.089075,0.683035,275405.518830,0.919192,30.726434,40.274455,2.935748
54.465685,75.393898,159.464832,163.181182,52.572613,55.834489,59.185913,12.920173,156.968648,1.036984,75.858108,55.172597,161.809772,158.828123,158.813824,157.543011,67.971479,156.990077,0.001933,-1.770406,32.000000,-237.087036,157.733443,0.329385,15.084068,0.683404,275610.094529,0.919156,30.709641,40.272777,2.933189
54.495466,75.406912,159.434611,163.152627,52.515769,55.858870,59.187948,12.920926,156.945816,1.199225,75.871021,55.203034,161.787978,158.806159,158.803488,157.521116,67.961687,156.968394,0.001921,-1.769225,32.000000,-237.086280,157.745655,0.381244,15.082163,0.682993,275812.640265,0.919444,30.691172,40.272239,2.930051
54.541057,75.425625,159.388458,163.108931,52.521930,55.895380,59.179475,12.922153,156.915999,1.206147,75.888976,55.248281,161.754082,158.779543,158.787263,157.493119,67.948044,156.942528,0.001914,-1.767473,32.000000,-237.085038,157.718734,0.382796,15.084262,0.683140,276012.191501,0.918808,30.667497,40.272028,2.927804
54.586116,75.443132,159.394716,163.064605,52.604454,55.931907,59.183445,12.924041,156.892650,1.206151,75.905942,55.296374,161.718776,158.756834,158.769632,157.469705,67.935842,156.920428,0.001913,-1.765729,32.000000,-237.083148,157.696199,0.382777,15.079180,0.683021,276144.772829,0.918658,30.651730,40.272403,2.925649
54.629036,75.459691,159.361441,163.020475,52.498451,55.968398,59.173223,12.924127,156.876014,1.022391,75.920827,55.342655,161.682634,158.736139,158.750234,157.450458,67.925114,156.900969,0.001933,-1.763967,32.000000,-237.083157,157.763044,0.317969,15.080670,0.682610,276340.912748,0.918591,30.626407,40.274812,2.922357
54.671822,75.474647,159.376589,162.976977,52.495251,56.004992,59.226544,12.924714,156.861781,0.955605,75.933975,55.388093,161.645956,158.721381,158.729749,157.434182,67.915583,156.885839,0.001939,-1.762490,32.000000,-237.082606,157.748198,0.300135,15.085018,0.682740,276535.217632,0.918339,30.600416,40.277412,2.920060
54.703859,75.483834,159.362856,162.948439,52.487850,56.029410,59.173356,12.926879,156.856235,0.955682,75.941485,55.420065,161.621466,158.716870,158.716248,157.429395,67.909832,156.878486,0.001931,-1.761326,32.000000,-237.080475,157.742297,0.300244,15.079007,0.682435,276727.626301,0.918344,30.575570,40.279688,2.917156
54.749007,75.496749,159.375602,162.906316,52.467678,56.066058,59.190336,12.928402,156.850217,0.955678,75.951646,55.469010,161.584197,158.709856,158.695853,157.423432,67.902285,156.872467,0.001929,-1.759571,32.000000,-237.078921,157.723283,0.300198,15.066315,0.682200,276918.210606,0.917365,30.549275,40.282645,2.915151
54.793873,75.508308,159.383176,162.864794,52.509029,56.102588,59.184040,12.928839,156.843878,1.196681,75.959055,55.513112,161.547364,158.707335,158.675715,157.422458,67.896506,156.868384,0.001930,-1.757850,32.000000,-237.078517,157.704544,0.379961,15.063131,0.682301,277043.607461,0.918021,30.527593,40.285201,2.913192
54.837793,75.518242,159.381217,162.823838,52.580028,56.139124,7.944566,12.928946,156.846752,1.203419,75.963048,55.559654,161.510100,158.713154,158.654974,157.424309,67.891990,156.870468,0.001935,-1.756089,32.000000,-237.078444,157.706305,0.381410,15.056775,0.682791,277230.340803,0.917558,30.497023,40.290133,2.911023
54.868946,75.523928,159.378665,162.797032,52.594403,56.171568,59.194983,12.929329,156.852422,1.203432,75.964435,55.590524,161.485419,158.719282,158.640329,157.430451,67.889786,156.876928,0.001916,-1.754919,32.000000,-237.078086,157.712151,0.381287,15.052510,0.682827,277413.556442,0.917456,30.465398,40.294137,2.908777
54.913076,75.530856,159.381492,162.757715,52.598421,56.220438,59.177131,12.929265,156.862511,1.203526,75.964865,55.635852,161.448860,158.733338,158.618529,157.440428,67.887898,156.888400,0.001907,-1.753183,32.000000,-237.078214,157.723142,0.381376,15.043031,0.682977,277594.649678,6.833321,30.433086,40.299558,2.906412
54.952779,75.535790,159.409273,162.719216,52.606604,56.265204,59.180020,12.929169,156.879260,1.203603,75.962393,55.676037,161.413022,158.750850,158.596757,157.455646,67.887794,156.902464,0.001906,-1.751420,32.000000,-237.078387,157.738220,0.381448,15.045108,0.683149,277753.367405,0.917073,30.408822,40.304570,2.904715
54.988441,75.538565,159.419111,162.682696,52.661985,56.305787,59.177585,12.928138,156.898623,0.964230,75.958548,55.712167,161.377357,158.766870,158.573997,157.471124,67.887492,156.917241,0.001927,-1.749690,32.000000,-237.079448,157.662784,0.301611,15.045149,0.683606,277990.347035,0.917354,30.373346,40.311443,2.902432
55.012851,75.540058,159.465304,162.659603,52.656705,56.330158,59.226420,12.928114,156.910655,0.956202,75.956070,55.736402,161.354696,158.780436,158.559115,157.484435,67.888276,156.928350,0.001912,-1.748516,32.000000,-237.079448,157.675574,0.299881,15.050011,0.683637,278204.708107,0.917324,30.340151,40.317658,2.900841
55.052142,75.542022,159.468380,162.626662,52.557647,56.366625,59.167396,12.929886,156.933067,0.956133,75.951267,55.775874,161.321859,158.805557,158.535835,157.507140,67.890689,156.948707,0.001903,-1.747962,32.000000,-237.077698,157.696805,0.299911,15.041419,0.683698,278398.683001,0.917377,30.308696,40.324378,2.899139
55.088429,75.543554,159.500540,162.595931,52.468297,56.403166,59.185967,12.930776,156.956717,0.956091,75.945894,55.811561,161.290425,158.832156,158.513301,157.530091,67.893869,156.971511,0.001902,-1.747963,32.000000,-237.076877,157.718927,0.299974,15.044159,0.683633,278512.932506,0.916574,30.286769,40.328420,2.898692
55.124189,75.544336,159.525525,162.567053,52.407262,56.439580,59.186418,12.930146,156.976932,1.037648,75.939501,55.846383,161.260025,158.859663,158.489901,157.554069,67.897761,156.996624,0.001923,-1.746410,32.000000,-237.077494,157.711759,0.329626,15.042051,0.683949,278681.714916,0.917368,30.251052,40.334851,2.896679
55.147784,75.544226,159.525510,162.548675,52.428441,56.464038,59.194344,12.930485,156.993892,1.277140,75.934708,55.870766,161.240060,158.877654,158.474503,157.572807,67.900836,157.014681,0.001928,-1.745245,32.000000,-237.077103,157.696806,0.409930,15.046384,0.683919,278850.518378,0.917015,30.217803,40.341574,2.895355
55.184689,75.543622,159.543331,162.521708,52.536917,56.500644,59.183332,12.931639,157.027776,1.326783,75.926477,55.905437,161.211677,158.911936,158.451993,157.605707,67.906491,157.045856,0.001921,-1.744670,32.000000,-237.075947,157.724979,0.422501,15.048108,0.684078,279017.457738,0.916949,30.184326,40.348589,2.893930
55.218072,75.542176,159.547931,162.495385,52.567375,56.533227,59.189210,12.931750,157.061257,1.326772,75.917369,55.938609,161.184147,158.946480,158.430876,157.641195,67.913266,157.078351,0.001920,-1.744082,32.000000,-237.075847,157.758091,0.422439,15.051965,0.683859,279128.688925,0.916793,30.161620,40.353354,2.892691
55.251275,75.539396,159.595026,162.470147,52.598524,56.557845,59.165004,12.931395,157.105707,1.137958,75.907113,55.972733,161.157093,158.983697,158.410508,157.678450,67.920945,157.111524,0.001920,-1.742881,32.000000,-237.076214,157.771939,0.356527,15.049136,0.683793,279293.171612,0.916883,30.125690,40.361237,2.891080
55.273939,75.537055,159.626794,162.454140,52.627999,56.582245,59.230603,12.932910,157.133589,1.080316,75.898986,55.996497,161.140046,159.011628,158.396865,157.705602,67.926351,157.138283,0.001924,-1.742883,32.000000,-237.074707,157.798209,0.341086,15.051415,0.683582,279437.250443,0.916708,30.092304,40.368569,2.889415
55.305212,75.532694,159.675870,162.431631,52.778715,56.610618,59.173095,12.931772,157.167542,1.281815,75.885921,56.030254,161.115402,159.053468,158.376251,157.743366,67.934949,157.172951,0.001906,-1.742308,32.000000,-237.075840,157.816669,0.410797,15.051072,0.683750,279539.773622,0.916871,30.057773,40.375288,2.888531
55.340718,75.527884,159.721177,162.410146,52.763676,56.643941,59.229807,12.932422,157.208237,1.328546,75.873378,56.065280,161.091452,159.095319,158.355934,157.786941,67.945158,157.213739,0.001898,-1.741729,32.000000,-237.075167,157.856824,0.423183,15.053699,0.683761,279646.814839,0.915833,30.033764,40.381495,2.887921
