Torad 40 Ton Compressor Load Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J Singleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured on:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday, November 28,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:49:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Comments:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measurements:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F
53.304438,67.067356,53.280783,68.003134,-0.119417,-0.428534,0,12.528634,53.109801,-0.700179,66.640005,53.380369,66.826229,52.062946,67.197437,52.812888,45.761845,53.304992,0.001633,0.011929,32,-237.473374,54.076212,-0.028562,0.018701,0.001706,NaN,#NAME?,23.463651,-2.172507,0.999545,67.536151,55.219157,52.314684
53.301084,67.068809,53.278315,68.003536,-0.119244,-0.428332,0,12.529221,53.106708,-0.710193,66.641884,53.378385,66.828494,52.059553,67.199002,52.809606,45.755454,53.30267,0.001633,0.011919,32,-237.47277,54.077142,-0.028545,0.018675,0.001636,NaN,#NAME?,23.469169,-2.168425,0.99957,67.545316,55.209469,52.317627
53.296832,67.07019,53.274708,68.003855,-0.118945,-0.428248,0,12.529173,53.104438,-0.710194,66.64383,53.374311,66.830913,52.056294,67.200621,52.805521,45.748749,53.300804,0.001654,0.011928,32,-237.472794,54.074151,-0.028688,0.018677,0.001677,NaN,#NAME?,23.472716,-2.16666,0.999556,67.55424,55.19979,52.319186
53.292623,67.071532,53.27048,68.004216,-0.118866,-0.428309,0,12.529344,53.101694,-0.684018,66.645338,53.37094,66.833303,52.05371,67.201987,52.803262,45.741831,53.296826,0.001659,0.01192,32,-237.472688,54.070656,-0.028658,0.018674,0.001615,NaN,#NAME?,23.477464,-2.162552,0.999573,67.563437,55.190395,52.319171
53.289835,67.072479,53.267708,68.004447,-0.118829,-0.428419,0,12.52934,53.099665,-0.714156,66.645954,53.369688,66.834668,52.050148,67.203157,52.801142,45.737481,53.294858,0.001638,0.011912,32,-237.472643,54.070432,-0.028644,0.01866,0.00155,NaN,#NAME?,23.483025,-2.15768,0.999585,67.569633,55.183847,52.318476
53.285717,67.073904,53.264471,68.004797,-0.118816,-0.42829,0,12.528634,53.096481,-0.714149,66.647199,53.365505,66.836952,52.045506,67.204737,52.79638,45.73133,53.290471,0.001638,0.011906,32,-237.473392,54.069273,-0.028655,0.018665,0.001575,NaN,#NAME?,23.488504,-2.154671,0.999585,67.579434,55.174277,52.316681
53.281128,67.075356,53.260857,68.005207,-0.11862,-0.428201,0,12.528596,53.093718,-0.695754,66.648945,53.360307,66.839059,52.041068,67.206507,52.792094,45.726238,53.286714,0.001641,0.01188,32,-237.473507,54.064354,-0.028603,0.018652,0.001578,NaN,#NAME?,23.492191,-2.152257,0.999585,67.5889,55.165023,52.31407
53.277544,67.076787,53.256581,68.005601,-0.118759,-0.428206,0,12.528267,53.087664,-0.685083,66.650357,53.355918,66.840859,52.038581,67.208235,52.787634,45.721014,53.281173,0.001661,0.011869,32,-237.473798,54.061705,-0.028627,0.018621,0.001486,NaN,#NAME?,23.497663,-2.150416,0.999601,67.597896,55.155723,52.311327
53.273002,67.07819,53.252216,68.006034,-0.118675,-0.42817,0,12.528206,53.085874,-0.68508,66.652347,53.35283,66.843099,52.03582,67.209676,52.781412,45.717327,53.27591,0.00164,0.011877,32,-237.47382,54.060179,-0.028566,0.018567,0.001437,NaN,#NAME?,23.503628,-2.149017,0.99962,67.607686,55.147109,52.310427
53.270585,67.079114,53.24926,68.006298,-0.118667,-0.428107,0,12.528076,53.083224,-0.685074,66.65353,53.350471,66.844618,52.032313,67.210699,52.778207,45.715241,53.27267,0.001634,0.011886,32,-237.473985,54.05819,-0.028575,0.018523,0.00151,NaN,#NAME?,23.508581,-2.14924,0.999607,67.614039,55.141703,52.309825
53.266214,67.08049,53.245215,68.006714,-0.11873,-0.428135,0,12.52762,53.078798,-0.68535,66.655336,53.345787,66.846756,52.027791,67.211993,52.771892,45.712664,53.267062,0.001637,0.011873,32,-237.474493,54.057152,-0.028597,0.018524,0.001462,NaN,#NAME?,23.51445,-2.150727,0.99961,67.622598,55.133437,52.307946
