Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Thursday, November 29, 2018
12:44:32 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F
55.165009,75.603408,158.569513,161.729872,61.855769,56.512355,59.280469,12.760562,155.692683,1.630715,75.938604,55.753559,160.428395,157.813440,157.779487,156.477693,68.105710,156.041219,0.001929,0.014418,32.000000,-237.246574,156.674625,0.503722,15.011866,0.682058,279001.946015,0.917670,30.270892,39.701524,2.876436,69.594028,96.391443,54.655882
55.198024,75.592427,158.621729,161.707013,61.827086,56.536645,59.203669,12.760250,155.724819,1.807720,75.917342,55.787571,160.403582,157.848867,157.760488,156.513053,68.105190,156.074574,0.001929,0.014429,32.000000,-237.246879,156.686519,0.566154,15.013780,0.682050,279072.449976,0.917158,30.245949,39.709610,2.875785,69.594575,96.371713,54.655411
55.232825,75.581261,158.655544,161.685276,61.864990,56.573332,59.173025,12.761312,155.766689,1.873654,75.895682,55.822334,160.380054,157.889687,157.741503,156.553810,68.105841,156.115135,0.001943,0.014418,32.000000,-237.245851,156.741228,0.575795,15.020830,0.681974,279177.863628,0.916068,30.204312,39.724796,2.874458,69.594108,96.352565,54.654735
55.265561,75.570074,158.727908,161.663813,61.958055,56.610114,59.186936,12.762196,155.813382,1.638429,75.873933,55.855334,160.357201,157.933690,157.722503,156.599116,68.107034,156.160334,0.001936,0.014427,32.000000,-237.244962,156.799273,0.503276,15.023131,0.681929,279281.663101,0.917023,30.161734,39.739866,2.873685,69.593342,96.333945,54.654464
55.286747,75.562195,158.762560,161.650469,61.942405,56.634575,59.200598,12.763149,155.843245,1.633518,75.858971,55.877035,160.342662,157.965151,157.709963,156.630613,68.108637,156.192129,0.001920,0.014424,32.000000,-237.243989,156.830861,0.503091,15.022017,0.681705,279444.845721,0.917432,30.117279,39.756905,2.872487,69.593020,96.322173,54.654467
55.319645,75.550156,158.770913,161.631935,61.988215,56.671278,59.165752,12.763872,155.890670,1.633497,75.836935,55.908892,160.321084,158.013229,157.692234,156.679243,68.111098,156.238151,0.001919,0.014424,32.000000,-237.243291,156.879262,0.503121,15.030119,0.681877,279608.192596,0.917190,30.074791,39.775420,2.872094,69.592316,96.304673,54.654360
55.350142,75.537985,158.810330,161.614067,62.096061,56.707824,59.180730,12.763506,155.940190,1.633558,75.814645,55.940863,160.300347,158.062544,157.673968,156.730739,68.113883,156.288243,0.001933,0.014425,32.000000,-237.243668,156.928694,0.503223,15.031027,0.682061,279716.224191,0.916970,30.046662,39.787681,2.871621,69.590612,96.286890,54.654707
55.383889,75.525623,158.833972,161.597218,62.155821,56.744268,59.209474,12.764481,155.989651,1.692102,75.792654,55.972840,160.280782,158.115234,157.656467,156.785052,68.117871,156.338802,0.001938,0.014413,32.000000,-237.242659,156.967969,0.525660,15.036148,0.681708,279877.236169,0.917477,30.003192,39.805279,2.870064,69.589439,96.269515,54.655716
55.406314,75.517411,158.880599,161.586467,62.175631,56.768780,59.171048,12.764248,156.025221,1.852693,75.778850,55.994821,160.268157,158.151721,157.645192,156.819620,68.121511,156.373353,0.001920,0.014410,32.000000,-237.242861,157.004775,0.571263,15.039130,0.681838,280037.583635,0.917253,29.961897,39.824324,2.869195,69.589844,96.258298,54.656515
55.438098,75.505438,158.953021,161.570555,62.249127,56.805350,59.185246,12.765125,156.083390,1.638964,75.757789,56.025065,160.249668,158.210202,157.629155,156.876228,68.126822,156.429402,0.001918,0.014404,32.000000,-237.242025,157.074789,0.503334,15.040764,0.681659,280195.560089,0.916754,29.917321,39.842363,2.867873,69.590450,96.241604,54.657852
55.469343,75.493118,159.071481,161.555757,62.230828,56.829899,59.206112,12.765799,156.142065,1.634147,75.737009,56.055293,160.232567,158.270606,157.614563,156.935853,68.133163,156.488927,0.001931,0.014404,32.000000,-237.241451,157.136827,0.503457,15.041301,0.681697,280300.331804,0.917319,29.887710,39.853773,2.867554,69.592502,96.226659,54.659278
