Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Tuesday, December 4, 2018
3:35:11 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz
55.037858,72.322646,161.976124,161.234701,60.317044,56.934258,59.190959,12.981319,159.181358,1.347713,72.385382,55.723645,159.851169,161.373359,157.227767,160.115097,71.552820,159.670833,0.001966,-1.725537,32.000000,-237.026118,160.269164,0.299243,15.167083,0.688814,275117.256570,0.918976,27.053073,37.851442,2.943873,69.494702,96.159026,56.972807,6.000000,39.937061
55.035220,72.318045,161.971920,161.228279,60.284679,56.934226,59.199129,12.980966,159.179853,1.113118,72.378561,55.722200,159.842554,161.367812,157.217544,160.109187,71.551296,159.664702,0.001951,-1.725529,32.000000,-237.026481,160.288733,0.220078,15.155615,0.688915,275114.542880,0.919112,27.048714,37.848656,2.942820,69.498092,96.169211,56.969636,6.000000,39.955627
55.032734,72.313345,161.981146,161.221976,60.268163,56.938260,59.181922,12.979106,159.167556,1.287819,72.372274,55.718758,159.834468,161.360964,157.208102,160.101347,71.550538,159.655884,0.001951,-1.725547,32.000000,-237.028380,160.173325,0.283332,15.148073,0.689345,275113.001466,0.918867,27.045372,37.847486,2.942995,69.501115,96.179633,56.966763,6.000000,39.947976
55.030086,72.308496,161.953627,161.215752,60.276373,56.938299,59.224398,12.979076,159.158328,1.345775,72.365736,55.715475,159.826636,161.354065,157.198415,160.092251,71.550016,159.649359,0.001966,-1.725552,32.000000,-237.028395,160.165977,0.299038,15.148588,0.689876,275111.811856,0.918777,27.043302,37.846380,2.943059,69.504428,96.190104,56.964221,6.000000,39.956836
55.029259,72.303223,161.966023,161.209151,60.294504,56.938289,59.189669,12.979229,159.151126,1.345912,72.357886,55.714141,159.818933,161.345432,157.188133,160.082605,71.548796,159.640560,0.001965,-1.725545,32.000000,-237.028201,160.160098,0.298948,15.154036,0.690324,275129.325507,0.919144,27.040985,37.843359,2.943360,69.507973,96.199738,56.962842,6.000000,39.960816
55.027422,72.299492,161.946405,161.204683,60.271979,56.938260,59.210925,12.978503,159.144727,1.345815,72.352965,55.713734,159.814146,161.339498,157.181738,160.075008,71.547961,159.633136,0.001951,-1.725539,32.000000,-237.028901,160.153934,0.299059,15.159569,0.690222,275127.060296,0.918522,27.038676,37.841082,2.943002,69.510555,96.205659,56.961440,6.000000,39.957815
55.026359,72.293804,161.925555,161.197911,60.244592,56.938365,59.231725,12.978553,159.134991,1.345462,72.345095,55.711430,159.806809,161.329912,157.172768,160.066455,71.546597,159.620950,0.001949,-1.726697,32.000000,-237.028774,160.146340,0.299033,15.169023,0.690029,275124.546951,0.919064,27.034195,37.838528,2.943271,69.515182,96.213909,56.960420,6.000000,39.958827
55.024378,72.287562,161.932703,161.190887,60.218459,56.938326,59.176349,12.977623,159.121630,1.345402,72.335121,55.710591,159.798749,161.317134,157.163479,160.053129,71.544923,159.606762,0.001965,-1.728451,32.000000,-237.029656,160.133795,0.299064,15.170432,0.689716,275122.967819,0.918758,27.032227,37.836179,2.943013,69.518809,96.220686,56.959832,6.000000,39.952713
55.020316,72.280962,161.945284,161.183572,60.143355,56.938273,59.169781,12.976948,159.106715,1.345262,72.325565,55.704563,159.790409,161.302418,157.154574,160.040106,71.543462,159.591843,0.001975,-1.729635,32.000000,-237.030396,160.119807,0.299130,15.165942,0.689206,275121.179401,0.918443,27.027559,37.832316,2.942691,69.522220,96.227191,56.959938,6.000000,39.976923
