Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Thursday, December 6, 2018
5:24:06 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
55.081031,75.537333,160.635069,163.049917,61.617498,56.705815,59.158270,12.792531,157.866610,1.004208,75.821471,55.692402,161.641878,159.919616,158.856012,158.671235,70.835826,158.183129,0.001984,-1.742824,32.000000,-237.214536,158.794768,0.298861,15.154346,0.687122,277050.085399,0.921838,30.218750,37.921257,2.916543,69.667095,57.526711,96.826798,28.000000,55.103254,64.000000,40.989819,17.458055,11.068430
55.085725,75.541328,160.634334,163.044307,61.606123,56.718029,59.191425,12.792268,157.871818,0.999811,75.825451,55.698180,161.634913,159.923588,158.846738,158.673052,70.836015,158.185855,0.001982,-1.742822,32.000000,-237.214772,158.798213,0.299068,15.153236,0.687179,277112.629472,0.921711,30.218321,37.923264,2.916541,69.665010,57.528040,96.824210,28.000000,55.099080,64.000000,40.977489,17.458055,11.069785
55.091829,75.545099,160.654549,163.038836,61.619759,56.730170,59.199890,12.792578,157.876528,0.999799,75.828887,55.702491,161.627605,159.928289,158.837753,158.676059,70.836416,158.190752,0.001981,-1.743402,32.000000,-237.214518,158.803509,0.298900,15.154541,0.687271,277153.916560,0.922489,30.218672,37.924321,2.916341,69.663495,57.529381,96.821328,28.000000,55.086146,64.000000,40.963961,17.458055,11.071096
55.098558,75.548793,160.628349,163.033590,61.592629,56.742298,59.180711,12.793129,157.873279,1.202159,75.831214,55.708812,161.620826,159.933033,158.828416,158.679405,70.836112,158.195306,0.001986,-1.744264,32.000000,-237.214021,158.765798,0.367609,15.156954,0.687409,277214.879669,0.922094,30.218169,37.925309,2.916079,69.661367,57.530242,96.818058,28.000000,55.070617,64.000000,40.949717,17.458055,11.072405
55.101605,75.551080,160.624065,163.030182,61.697446,56.750360,59.192435,12.792941,157.875606,1.257073,75.832553,55.713402,161.616278,159.934836,158.822323,158.678886,70.835931,158.196941,0.001967,-1.744279,32.000000,-237.214258,158.767650,0.380334,15.158137,0.687502,277274.930193,0.922056,30.216090,37.927023,2.916123,69.660028,57.530923,96.816124,28.000000,55.077711,64.000000,40.939356,17.458055,11.073261
55.106800,75.554353,160.643825,163.025078,61.735558,56.762491,59.207094,12.793251,157.879461,1.260976,75.834747,55.719612,161.609464,159.938265,158.813638,158.679978,70.835562,158.200589,0.001966,-1.744274,32.000000,-237.214001,158.770233,0.380138,15.160150,0.687352,277335.507799,0.922437,30.213337,37.929294,2.915291,69.658043,57.532216,96.813718,28.000000,55.070545,64.000000,40.925552,17.458055,11.074524
55.114445,75.557537,160.615589,163.020008,61.776398,56.774537,59.173690,12.793538,157.890909,1.186166,75.837313,55.726478,161.602808,159.940298,158.805720,158.683760,70.835683,158.203924,0.001968,-1.744271,32.000000,-237.213697,158.796134,0.352987,15.154355,0.687340,277376.185315,0.922335,30.212704,37.930181,2.915052,69.656282,57.533443,96.811518,28.000000,55.063927,64.000000,40.908037,17.458055,11.075765
55.118755,75.560573,160.604790,163.014918,61.822089,56.783245,59.170299,12.793516,157.892600,1.009035,75.839823,55.732459,161.596025,159.944217,158.797774,158.687905,70.836128,158.207680,0.001989,-1.743337,32.000000,-237.213770,158.742791,0.299122,15.157541,0.687412,277436.886484,0.922216,30.211000,37.932125,2.915136,69.654749,57.535136,96.809866,28.000000,55.038179,64.000000,40.893368,17.458055,11.077000
55.122825,75.562529,160.595138,163.011501,61.809728,56.783927,59.184826,12.793221,157.896784,1.005140,75.841540,55.735933,161.591995,159.947003,158.792835,158.690561,70.835712,158.211389,0.001973,-1.743927,32.000000,-237.214095,158.746044,0.299095,15.159661,0.687607,277496.026347,0.922799,30.206860,37.933444,2.914219,69.653875,57.536258,96.808813,28.000000,55.027137,64.000000,40.883355,17.458055,11.077815
