Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Friday, December 7, 2018
4:15:44 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
55.003728,76.928607,161.071823,164.126155,59.661566,56.431547,59.200797,12.975733,158.421194,1.819866,77.151673,55.646943,162.603053,160.542366,159.633344,159.265722,72.577953,158.711935,0.001954,0.013343,32.000000,-237.030951,159.365051,0.585165,15.196106,0.687748,274898.156849,0.921868,31.694010,36.410871,2.929318,69.240246,59.314494,95.767311,8.000000,41.977442,64.000000,39.648482,12.177215,20.971127
55.001334,76.926097,161.121087,164.122788,59.748021,56.431615,59.195157,12.976480,158.423168,1.804772,77.148926,55.646308,162.600766,160.543645,159.632443,159.268716,72.579634,158.715745,0.001955,0.013303,32.000000,-237.030243,159.362601,0.581911,15.191181,0.687762,274951.125073,0.922331,31.684994,36.409781,2.928636,69.240550,59.317848,95.770809,8.000000,41.975379,64.000000,39.650885,12.177215,20.973299
55.001500,76.923021,161.118955,164.121296,59.777035,56.431665,59.174484,12.976989,158.426632,1.804799,77.146734,55.645781,162.598858,160.544410,159.632690,159.272582,72.580980,158.718676,0.001976,0.013284,32.000000,-237.029689,159.364950,0.581659,15.193501,0.687427,274983.773536,0.922038,31.684070,36.410254,2.928380,69.240013,59.321288,95.774886,8.000000,41.995302,64.000000,39.651464,12.177215,20.975287
55.001931,76.920575,161.160813,164.120650,59.699817,56.431594,59.200891,12.977649,158.427061,1.804787,77.145548,55.645255,162.598049,160.548197,159.631870,159.273677,72.582567,158.718847,0.001958,0.013253,32.000000,-237.029088,159.366403,0.581882,15.194123,0.687875,274981.278182,0.922165,31.683857,36.410215,2.929403,69.239725,59.325287,95.779319,8.000000,42.022344,64.000000,39.651937,12.177215,20.977351
55.001898,76.919191,161.184444,164.120476,59.656208,56.439725,59.198960,12.976978,158.426878,1.804785,77.144074,55.645083,162.597089,160.547402,159.631427,159.273756,72.583474,158.719221,0.001950,0.013243,32.000000,-237.029664,159.364776,0.581771,15.194455,0.687759,274977.570445,0.922478,31.680623,36.410130,2.929356,69.239111,59.326937,95.781795,8.000000,42.030969,64.000000,39.650996,12.177215,20.978767
55.002904,76.917452,161.202146,164.120320,59.587089,56.439719,59.167003,12.977455,158.427967,1.804778,77.142694,55.646226,162.596718,160.548910,159.630908,159.274262,72.585456,158.721182,0.001950,0.013240,32.000000,-237.029212,159.364913,0.581630,15.196075,0.687887,274973.664639,0.922051,31.677760,36.408618,2.930094,69.238694,59.330841,95.785489,8.000000,42.039106,64.000000,39.649996,12.177215,20.980932
55.004434,76.915863,161.194673,164.120493,59.583145,56.444695,59.182855,12.977203,158.430664,1.804665,77.140627,55.648356,162.597007,160.554099,159.630087,159.275611,72.586850,158.723763,0.001971,0.013252,32.000000,-237.029527,159.363835,0.581854,15.198905,0.688067,275011.045396,0.922212,31.676409,36.407872,2.930525,69.237723,59.334306,95.787854,8.000000,42.059042,64.000000,39.648123,12.177215,20.983131
55.001600,76.914256,161.250311,164.120653,59.614099,56.456796,59.199580,12.976359,158.434829,1.536525,77.139531,55.644128,162.597687,160.555217,159.630363,159.278199,72.588901,158.727486,0.001957,0.013244,32.000000,-237.030370,159.387504,0.491413,15.208458,0.688046,275007.417850,0.922687,31.673706,36.406734,2.930793,69.237042,59.338151,95.790196,8.000000,42.081407,64.000000,39.648132,12.177215,20.985329
55.000561,76.913000,161.285210,164.121112,59.684844,56.460815,59.173212,12.976775,158.435671,1.522218,77.138389,55.643223,162.598068,160.556773,159.630387,159.277591,72.590115,158.730701,0.001950,0.013235,32.000000,-237.029985,159.388143,0.488197,15.210347,0.687921,275028.838620,0.922489,31.670649,36.406452,2.930576,69.236620,59.340504,95.791450,8.000000,42.111165,64.000000,39.651097,12.177215,20.986801
