Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Monday, December 10, 2018
1:53:06 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
54.932840,75.919797,161.823570,163.900870,64.171889,56.522786,59.238660,12.742541,158.850227,1.498697,76.299965,55.671861,162.379229,161.148203,159.364700,159.975091,107.777812,159.048920,0.001863,-1.681388,32.000000,-237.264543,159.961950,0.351367,15.249936,0.687315,236626.580196,0.921659,30.754878,1.345694,2.943522,66.136828,66.098972,95.307434,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.937289,75.917709,161.835293,163.900036,64.173434,56.522917,59.259162,12.742328,158.856746,1.347385,76.293356,55.673685,162.378503,161.154228,159.368284,159.982136,107.774550,159.051383,0.001859,-1.681369,32.000000,-237.264592,159.967129,0.309109,15.240150,0.688130,236628.656994,0.924063,30.752446,1.349291,2.944295,66.141775,66.099064,95.309463,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.942840,75.913926,161.832842,163.898558,64.147159,56.522786,59.226407,12.741793,158.863938,1.345014,76.286078,55.674457,162.377383,161.159309,159.370940,159.990060,107.769030,159.053824,0.001877,-1.681344,32.000000,-237.264947,159.975731,0.308702,15.225488,0.688179,236629.407085,0.921879,30.743304,1.355431,2.945844,66.146984,66.099205,95.313346,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.947873,75.910199,161.796630,163.896577,64.243276,56.522870,59.217111,12.741058,158.871763,1.344970,76.279054,55.677168,162.376284,161.165620,159.372899,159.997690,107.765330,159.062279,0.001892,-1.681358,32.000000,-237.265701,159.984840,0.309339,15.227434,0.688604,236630.530114,0.921476,30.736943,1.359752,2.945819,66.150027,66.098680,95.316028,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.953829,75.905295,161.811791,163.893403,64.243528,56.522912,59.278957,12.740131,158.870528,1.825039,76.269044,55.680896,162.375713,161.172510,159.374530,160.004550,107.763094,159.068613,0.001888,-1.681514,32.000000,-237.266553,159.938512,0.472312,15.236448,0.689182,236631.365160,0.921872,30.727830,1.366323,2.945476,66.151976,66.098307,95.319914,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.957792,75.901487,161.808938,163.890678,64.233192,56.523074,59.295850,12.739439,158.874816,1.841981,76.262349,55.684058,162.375104,161.176791,159.374378,160.009509,107.762736,159.074531,0.001887,-1.684430,32.000000,-237.267228,159.945361,0.475838,15.237683,0.688874,236631.280915,0.921917,30.719269,1.373658,2.944548,66.152770,66.098349,95.323836,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.958291,75.897396,161.763128,163.888486,64.197682,56.522933,59.207411,12.740234,158.883531,1.841624,76.256963,55.683004,162.373813,161.189072,159.374544,160.019694,107.763642,159.076563,0.001903,-1.685011,32.000000,-237.266478,159.957143,0.476152,15.246071,0.688442,236628.191676,0.920835,30.708647,1.378618,2.944504,66.153934,66.098894,95.328464,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.954032,75.894528,161.711190,163.887717,64.226134,56.522954,59.263278,12.739676,158.890182,1.841170,76.256104,55.676789,162.372776,161.194951,159.374313,160.027544,107.763304,159.085304,0.001921,-1.686189,32.000000,-237.267156,159.965213,0.475600,15.247197,0.688315,236625.074280,0.920493,30.701036,1.381520,2.944240,66.154843,66.099312,95.332420,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.948739,75.893558,161.656207,163.888498,64.241031,56.522878,51.419747,12.739911,158.905273,1.421000,76.259113,55.671594,162.372764,161.199669,159.374196,160.034185,107.763382,159.094889,0.001908,-1.686186,32.000000,-237.266816,160.027419,0.330171,15.262614,0.687738,236620.052374,0.921847,30.696464,1.381488,2.943380,66.155567,66.100407,95.337098,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.945853,75.895280,161.609969,163.891279,64.348988,56.522786,59.226810,12.739523,158.914228,1.336159,76.265850,55.665507,162.373539,161.203682,159.375583,160.041647,107.763820,159.099528,0.001889,-1.686175,32.000000,-237.267309,160.032480,0.307529,15.281861,0.687532,236620.325239,0.921050,30.697686,1.385585,2.942663,66.153962,66.100873,95.342146,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.945610,75.898911,161.615644,163.895127,64.437945,56.522857,59.261906,12.739614,158.921971,1.335741,76.271016,55.665284,162.374781,161.206617,159.376897,160.044893,107.763321,159.105238,0.001890,-1.689079,32.000000,-237.267357,160.039619,0.307621,15.303279,0.686686,236621.143211,1.061654,30.701797,1.389627,2.941946,66.151966,66.100824,95.345182,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.946755,75.903126,161.652365,163.899149,64.410668,56.522644,59.287732,12.739759,158.928951,1.336201,76.276810,55.667772,162.377381,161.212255,159.380666,160.055343,107.764766,159.104243,0.001899,-1.691994,32.000000,-237.267258,160.044666,0.307543,15.321321,0.685675,236622.635408,0.921767,30.706291,1.391183,2.941259,66.149623,66.101673,95.348831,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.945139,75.905611,161.668484,163.901598,64.414054,56.522589,55.329953,12.739137,158.926989,1.589043,76.279915,55.673624,162.379338,161.218260,159.384211,160.059943,107.768848,159.106423,0.001874,-1.692015,32.000000,-237.267822,160.080523,0.400350,15.329203,0.684752,236626.113741,0.921235,30.710155,1.394138,2.941375,66.148713,66.101664,95.352658,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
