Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Tuesday, December 11, 2018
5:40:56 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
54.997771,75.509294,161.578477,161.485687,47.190736,56.534468,59.261705,12.766603,158.662262,1.052640,76.107465,55.658357,159.820034,160.767016,156.263294,159.667042,75.421408,158.949086,0.001849,-1.794939,32.000000,-237.240334,159.716323,0.324484,15.161817,0.689241,271379.529405,1.057134,30.235907,33.679043,2.936446,67.117701,61.648425,93.907601,13.000000,47.464334,63.920000,43.886460,11.759494,19.183979
54.989426,75.521399,161.522851,161.508010,47.232483,56.534379,59.259589,12.766666,158.670088,0.594190,76.120581,55.647277,159.845545,160.764072,156.287238,159.662706,75.422395,158.941803,0.001848,-1.794932,32.000000,-237.240194,159.783392,0.163419,15.173457,0.689259,271347.642760,0.919676,30.249023,33.672674,2.936871,67.116958,61.643346,93.917055,13.000000,47.454825,63.920000,43.896331,11.759494,19.183979
54.975879,75.535647,161.564079,161.535283,47.128183,56.534114,50.370427,12.766730,158.679059,-0.006792,76.135958,55.634122,159.875516,160.761109,156.317192,159.662982,75.423290,158.940672,0.001864,-1.794959,32.000000,-237.240229,159.826692,-0.022582,15.164524,0.689698,271360.798626,0.919555,30.270472,33.668891,2.937910,67.114917,61.635773,93.928777,13.000000,47.482331,63.920000,43.914182,11.759494,19.183979
54.968478,75.547345,161.599102,161.559394,47.153020,56.522529,59.246563,12.766723,158.679382,-0.032924,76.148616,55.626529,159.900159,160.759061,156.343272,159.663348,75.422921,158.939708,0.001861,-1.794929,32.000000,-237.240322,159.824807,-0.026209,15.171442,0.689088,271370.482104,0.919768,30.290583,33.664770,2.937344,67.112539,61.630101,93.939734,13.000000,47.525628,63.920000,43.926313,11.759494,19.183979
54.962095,75.561935,161.588036,161.589438,47.091768,56.522828,51.262649,12.767195,158.679337,-0.032965,76.165260,55.616816,159.929821,160.753957,156.374971,159.660459,75.421318,158.934904,0.001852,-1.794905,32.000000,-237.239795,159.823689,-0.026190,15.162751,0.689859,271382.795960,1.082412,30.317833,33.663390,2.938818,67.109644,61.623524,93.953068,13.000000,47.542519,63.920000,43.938412,11.759494,19.183979
54.955822,75.574789,161.526199,161.614327,47.072044,56.522980,59.280039,12.766970,158.677921,-0.032765,76.178625,55.609381,159.955183,160.749792,156.399300,159.653642,75.419448,158.929299,0.001850,-1.794913,32.000000,-237.240155,159.819866,-0.026213,15.161407,0.689667,271338.357572,0.920223,30.336635,33.663344,2.939850,67.106850,61.618179,93.963609,13.000000,47.526846,63.920000,43.952483,11.759494,19.183979
54.952044,75.590352,161.458625,161.643508,47.049438,56.522815,59.288732,12.765788,158.669497,-0.032671,76.193611,55.597599,159.983968,160.740519,156.426567,159.645949,75.415795,158.919812,0.001863,-1.794952,32.000000,-237.241307,159.807265,-0.026242,15.165222,0.690137,271354.042886,1.063724,30.357352,33.662879,2.939990,67.102494,61.610988,93.974975,13.000000,47.485793,63.920000,43.963858,11.759494,19.183979
54.947792,75.603203,161.468319,161.666805,47.063494,56.522928,59.311391,12.764998,158.660028,-0.032569,76.207307,55.590532,160.008390,160.728988,156.449998,159.635993,75.414609,158.905710,0.001888,-1.794989,32.000000,-237.242123,159.793125,-0.026247,15.158840,0.690055,271368.116995,0.920007,30.376228,33.662338,2.939201,67.099584,61.605465,93.984550,13.000000,47.498978,63.920000,43.973976,11.759494,19.183979
54.942923,75.618697,161.441921,161.693683,46.999582,56.523074,52.649281,12.766130,158.647240,-0.032450,76.224688,55.579895,160.036887,160.717171,156.477710,159.622011,75.412699,158.893006,0.001855,-1.794998,32.000000,-237.240957,159.779486,-0.026339,15.165858,0.689693,271383.597288,0.919976,30.395417,33.661908,2.938173,67.095856,61.598926,93.995185,13.000000,47.513799,63.920000,43.989576,11.759494,19.183979
