Msuc,Mdis,,Msuc,Mdis,,Psuc,Pdis,,Psuc,Pdis,,Tsuc,Tdis,,Tsuc,Tdis,,Tsuc,Tdis,,Tsuc,Tdis
lbm/min,lbm/min,,0.338093851,0.115813445,,psia,psia,,0.129240536,0.235302006,,F,F,,0.231610699,0.153290561,,F,F,,0.231610699,0.153290561
54.803587,63.622078,,,,,60.317147,119.017471,,,,,70.013468,131.345196,,,,,530.683468,592.015196,,,
54.848725,63.622057,,54.77346497,63.44003822,,60.31591,119.038195,,60.17518577,119.1000691,,70.014629,131.342831,,69.97757535,131.4904323,,530.684629,592.012831,,530.6475753,592.1604323
54.806331,63.630004,,,,,60.315012,119.026265,,,,,70.017206,131.340404,,,,,530.687206,592.010404,,,
54.893184,63.630172,,0.617258468,0.182555762,,60.315944,119.04974,,0.214773806,0.197566641,,70.020098,131.33865,,0.330978457,0.116579251,,530.690098,592.00865,,0.043646803,0.025886661
54.990385,63.630183,,,,,60.317394,119.031089,,,,,70.023236,131.336908,,,,,530.693236,592.006908,,,
55.015173,63.629936,,,,,60.32037,119.004237,,,,,70.02532,131.335472,,,,,530.69532,592.005472,,,
54.904832,63.629768,,,,,60.322293,118.98636,,,,,70.027731,131.334091,,,,,530.697731,592.004091,,,
54.879601,63.621478,,,,,60.322998,119.02213,,,,,70.029558,131.333161,,,,,530.699558,592.003161,,,
54.853769,63.621155,,,,,60.325329,119.02938,,,,,70.031491,131.332402,,,,,530.701491,592.002402,,,
54.875378,63.613266,,,,,60.326592,119.017234,,,,,70.032894,131.332176,,,,,530.702894,592.002176,,,
54.978354,63.604946,,,,,60.324913,119.060341,,,,`,70.034595,131.332321,,,,,530.704595,592.002321,,,
54.994718,63.584383,,,,,60.317872,119.06789,,,,,70.035482,131.333075,,,,,530.705482,592.003075,,,
55.015907,63.560191,,,,,60.318643,119.080069,,,,,70.035737,131.334806,,,,,530.705737,592.004806,,,
55.061381,63.547622,,,,,60.313932,119.103226,,,,,70.035944,131.337047,,,,,530.705944,592.007047,,,
55.020969,63.526378,,,,,60.306883,119.116131,,,,,70.035724,131.340559,,,,,530.705724,592.010559,,,
55.037296,63.51015,,,,,60.299027,119.043215,,,,,70.035066,131.34405,,,,,530.705066,592.01405,,,
55.0416,63.493963,,,,,60.294329,119.105998,,,,,70.033497,131.348434,,,,,530.703497,592.018434,,,
55.160004,63.477489,,,,,60.291028,119.112949,,,,,70.032157,131.352494,,,,,530.702157,592.022494,,,
55.144115,63.460991,,,,,60.286113,119.054109,,,,,70.030224,131.357504,,,,,530.700224,592.027504,,,
55.143708,63.460889,,,,,60.284736,119.058277,,,,,70.028336,131.361615,,,,,530.698336,592.031615,,,
55.148269,63.45685,,,,,60.280327,119.067779,,,,,70.025232,131.366662,,,,,530.695232,592.036662,,,
55.123138,63.452111,,,,,60.277585,119.037817,,,,,70.021846,131.37077,,,,,530.691846,592.04077,,,
55.082537,63.452237,,,,,60.272916,119.048368,,,,,70.017591,131.375752,,,,,530.687591,592.045752,,,
55.065685,63.448058,,,,,60.267605,119.077452,,,,,70.014043,131.380013,,,,,530.684043,592.050013,,,
55.107818,63.435842,,,,,60.25946,119.124939,,,,,70.009328,131.385299,,,,,530.679328,592.055299,,,
55.105271,63.435996,,,,,60.252529,119.152639,,,,,70.005359,131.38958,,,,,530.675359,592.05958,,,
55.06371,63.436122,,,,,60.248421,119.121881,,,,,69.999959,131.394785,,,,,530.669959,592.064785,,,
55.101101,63.436248,,,,,60.236298,119.101687,,,,,69.995374,131.398943,,,,,530.665374,592.068943,,,
55.156138,63.436345,,,,,60.232043,119.026686,,,,,69.989621,131.403783,,,,,530.659621,592.073783,,,
55.122125,63.4365,,,,,60.227461,118.970388,,,,,69.984942,131.407761,,,,,530.654942,592.077761,,,
55.130387,63.43672,,,,,60.22152,118.881337,,,,,69.979542,131.411969,,,,,530.649542,592.081969,,,
55.08902,63.436655,,,,,60.2172,118.827418,,,,,69.975243,131.414861,,,,,530.645243,592.084861,,,
55.064655,63.436529,,,,,60.216447,118.792245,,,,,69.970305,131.417992,,,,,530.640305,592.087992,,,
55.056592,63.436678,,,,,60.214781,118.742306,,,,,69.9661,131.420787,,,,,530.6361,592.090787,,,
55.007913,63.436552,,,,,60.213919,118.749056,,,,,69.961608,131.424566,,,,,530.631608,592.094566,,,
54.948588,63.436686,,,,,60.212877,118.790708,,,,,69.957994,131.427884,,,,,530.627994,592.097884,,,
55.008529,63.436749,,,,,60.208706,118.844667,,,,,69.953136,131.43165,,,,,530.623136,592.10165,,,
54.961563,63.436704,,,,,60.204442,118.865931,,,,,69.94893,131.43496,,,,,530.61893,592.10496,,,
54.993955,63.436683,,,,,60.202684,118.870504,,,,,69.94396,131.43899,,,,,530.61396,592.10899,,,
55.006345,63.437064,,,,,60.199177,118.901492,,,,,69.940527,131.442077,,,,,530.610527,592.112077,,,
54.993944,63.437019,,,,,60.195832,118.872406,,,,,69.936605,131.444882,,,,,530.606605,592.114882,,,
55.022858,63.436988,,,,,60.197158,118.887068,,,,,69.933148,131.446939,,,,,530.603148,592.116939,,,
54.948397,63.437098,,,,,60.200394,118.854509,,,,,69.92973,131.449467,,,,,530.59973,592.119467,,,
54.959347,63.436975,,,,,60.200284,118.885165,,,,,69.926479,131.451329,,,,,530.596479,592.121329,,,
55.065549,63.436988,,,,,60.197126,118.838014,,,,,69.922995,131.453402,,,,,530.592995,592.123402,,,
55.049621,63.436809,,,,,60.198205,118.889863,,,,,69.920504,131.455323,,,,,530.590504,592.125323,,,
55.037881,63.437072,,,,,60.199409,118.961015,,,,,69.917922,131.457828,,,,,530.587922,592.127828,,,
54.994794,63.436933,,,,,60.203699,119.003956,,,,,69.916125,131.459453,,,,,530.586125,592.129453,,,
54.980544,63.43646,,,,,60.204915,119.070756,,,,,69.914028,131.461173,,,,,530.584028,592.131173,,,
54.910812,63.436447,,,,,60.212252,119.123895,,,,,69.912164,131.462337,,,,,530.582164,592.132337,,,
54.788815,63.436558,,,,,60.21601,119.148245,,,,,69.910078,131.463634,,,,,530.580078,592.133634,,,
54.800975,63.436812,,,,,60.215166,119.273477,,,,,69.908686,131.464605,,,,,530.578686,592.134605,,,
54.884616,63.436849,,,,,60.21884,119.309292,,,,,69.906979,131.466072,,,,,530.576979,592.136072,,,
54.950275,63.436725,,,,,60.217253,119.278098,,,,,69.904964,131.467191,,,,,530.574964,592.137191,,,
54.916105,63.436715,,,,,60.220979,119.280955,,,,,69.903753,131.468048,,,,,530.573753,592.138048,,,
54.923648,63.436783,,,,,60.223813,119.295392,,,,,69.902465,131.468817,,,,,530.572465,592.138817,,,
54.923666,63.436851,,,,,60.224247,119.279184,,,,,69.901084,131.469362,,,,,530.571084,592.139362,,,
54.972757,63.436812,,,,,60.226515,119.256792,,,,,69.898807,131.470434,,,,,530.568807,592.140434,,,
55.04918,63.436626,,,,,60.226263,119.323284,,,,,69.896861,131.471934,,,,,530.566861,592.141934,,,
55.000816,63.436731,,,,,60.224285,119.301014,,,,,69.89455,131.473738,,,,,530.56455,592.143738,,,
54.997354,63.436838,,,,,60.219478,119.335718,,,,,69.892477,131.475157,,,,,530.562477,592.145157,,,
55.096579,63.43651,,,,,60.218394,119.270685,,,,,69.890512,131.477395,,,,,530.560512,592.147395,,,
55.027196,63.436369,,,,,60.218796,119.294351,,,,,69.889386,131.479672,,,,,530.559386,592.149672,,,
55.10855,63.436678,,,,,60.224356,119.28127,,,,,69.887779,131.482077,,,,,530.557779,592.152077,,,
55.059136,63.436447,,,,,60.221105,119.282031,,,,,69.886075,131.48415,,,,,530.556075,592.15415,,,
55.046911,63.436363,,,,,60.215387,119.266243,,,,,69.883394,131.486948,,,,,530.553394,592.156948,,,
55.072313,63.43629,,,,,60.213244,119.253054,,,,,69.881041,131.489737,,,,,530.551041,592.159737,,,
55.060311,63.436353,,,,,60.206652,119.259205,,,,,69.878509,131.493299,,,,,530.548509,592.163299,,,
55.159227,63.436041,,,,,60.200944,119.307203,,,,,69.876128,131.496108,,,,,530.546128,592.166108,,,
55.163649,63.435666,,,,,60.197777,119.222127,,,,,69.873015,131.499164,,,,,530.543015,592.169164,,,
55.041653,63.435477,,,,,60.193426,119.227483,,,,,69.870098,131.500937,,,,,530.540098,592.170937,,,
54.99321,63.435619,,,,,60.18726,119.217615,,,,,69.866894,131.502852,,,,,530.536894,592.172852,,,
54.875069,63.435438,,,,,60.18386,119.294466,,,,,69.86409,131.504238,,,,,530.53409,592.174238,,,
54.851304,63.435388,,,,,60.177547,119.252436,,,,,69.860913,131.505964,,,,,530.530913,592.175964,,,
54.859526,63.435073,,,,,60.174597,119.261966,,,,,69.85856,131.507155,,,,,530.52856,592.177155,,,
54.801625,63.435068,,,,,60.170767,119.280246,,,,,69.855896,131.508385,,,,,530.525896,592.178385,,,
54.736263,63.434958,,,,,60.170684,119.327126,,,,,69.853356,131.508995,,,,,530.523356,592.178995,,,
54.832126,63.434905,,,,,60.171543,119.306995,,,,,69.849962,131.509763,,,,,530.519962,592.179763,,,
54.941845,63.434837,,,,,60.170221,119.306703,,,,,69.847364,131.510534,,,,,530.517364,592.180534,,,
54.839273,63.435015,,,,,60.168875,119.359679,,,,,69.844606,131.511469,,,,,530.514606,592.181469,,,
54.818374,63.435102,,,,,60.169382,119.385131,,,,,69.842294,131.511901,,,,,530.512294,592.181901,,,
54.810231,63.434968,,,,,60.163408,119.368188,,,,,69.83966,131.512355,,,,,530.50966,592.182355,,,
54.838554,63.434727,,,,,60.16252,119.407803,,,,,69.837612,131.512549,,,,,530.507612,592.182549,,,
54.813926,63.434779,,,,,60.159657,119.4367,,,,,69.835532,131.512728,,,,,530.505532,592.182728,,,
54.795241,63.435044,,,,,60.158208,119.427735,,,,,69.834067,131.512463,,,,,530.504067,592.182463,,,
54.804015,63.434945,,,,,60.155871,119.420363,,,,,69.832309,131.512054,,,,,530.502309,592.182054,,,
54.82715,63.435162,,,,,60.154077,119.379147,,,,,69.830963,131.511636,,,,,530.500963,592.181636,,,
54.884039,63.435167,,,,,60.15508,119.450526,,,,,69.829273,131.511202,,,,,530.499273,592.181202,,,
55.013689,63.435236,,,,,60.152671,119.397799,,,,,69.82782,131.511138,,,,,530.49782,592.181138,,,
55.093799,63.435202,,,,,60.151395,119.383765,,,,,69.825948,131.510968,,,,,530.495948,592.180968,,,
55.228102,63.435173,,,,,60.147147,119.326674,,,,,69.824478,131.510501,,,,,530.494478,592.180501,,,
55.201533,63.434884,,,,,60.145585,119.295698,,,,,69.82275,131.509833,,,,,530.49275,592.179833,,,
55.2162,63.435036,,,,,60.14181,119.273016,,,,,69.821798,131.509593,,,,,530.491798,592.179593,,,
55.242829,63.434937,,,,,60.14012,119.276038,,,,,69.821063,131.509477,,,,,530.491063,592.179477,,,
55.170028,63.435073,,,,,60.137337,119.253108,,,,,69.820735,131.509376,,,,,530.490735,592.179376,,,
55.156825,63.435094,,,,,60.132752,119.280016,,,,,69.820636,131.509348,,,,,530.490636,592.179348,,,
55.165029,63.435141,,,,,60.129635,119.263053,,,,,69.82016,131.508978,,,,,530.49016,592.178978,,,
55.216326,63.43506,,,,,60.12925,119.258689,,,,,69.819356,131.508104,,,,,530.489356,592.178104,,,
55.205656,63.435278,,,,,60.127874,119.215233,,,,,69.81877,131.50725,,,,,530.48877,592.17725,,,
55.17082,63.43511,,,,,60.12131,119.226869,,,,,69.818002,131.506203,,,,,530.488002,592.176203,,,
55.099829,63.435356,,,,,60.115889,119.193497,,,,,69.817066,131.505454,,,,,530.487066,592.175454,,,
55.177367,63.435666,,,,,60.114251,119.19017,,,,,69.815985,131.505062,,,,,530.485985,592.175062,,,
55.135963,63.43544,,,,,60.109617,119.207608,,,,,69.815085,131.505134,,,,,530.485085,592.175134,,,
55.151805,63.435335,,,,,60.103521,119.231373,,,,,69.813852,131.505574,,,,,530.483852,592.175574,,,
55.187942,63.435587,,,,,60.099339,119.245073,,,,,69.812806,131.506123,,,,,530.482806,592.176123,,,
55.131124,63.435813,,,,,60.090862,119.229747,,,,,69.811595,131.506838,,,,,530.481595,592.176838,,,
55.127827,63.435923,,,,,60.084882,119.282344,,,,,69.810466,131.5073,,,,,530.480466,592.1773,,,
55.127817,63.436274,,,,,60.082565,119.265054,,,,,69.808865,131.507985,,,,,530.478865,592.177985,,,
55.04693,63.436321,,,,,60.078947,119.247238,,,,,69.807153,131.509488,,,,,530.477153,592.179488,,,
55.037092,63.436508,,,,,60.074758,119.26994,,,,,69.805581,131.510907,,,,,530.475581,592.180907,,,
54.98381,63.436741,,,,,60.069181,119.289959,,,,,69.802765,131.512327,,,,,530.472765,592.182327,,,
55.002521,63.428679,,,,,60.061173,119.326271,,,,,69.799837,131.513279,,,,,530.469837,592.183279,,,
54.986029,63.428857,,,,,60.053032,119.333059,,,,,69.796039,131.514476,,,,,530.466039,592.184476,,,
