Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Wednesday, December 12, 2018
5:16:32 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
72.253528,80.980084,120.022912,132.361644,68.892854,75.653994,59.260151,12.728207,113.973940,1.650118,81.260052,73.155303,131.169734,116.082206,129.238449,114.520677,65.721087,113.474489,0.001893,-2.071529,32.000000,-237.278832,114.831127,0.384248,12.592425,0.507849,376690.869556,0.918755,20.869997,21.267347,1.660213,67.921114,61.553542,81.769847,64.000000,44.945588,87.594937,79.972290,19.202532,19.740373
72.250194,80.971663,120.069666,132.363532,68.909870,75.653748,51.322451,12.728388,113.975230,1.443526,81.250536,73.148708,131.173547,116.086805,129.243332,114.529526,65.726147,113.485520,0.001890,-2.073786,32.000000,-237.278591,114.867305,0.319756,12.597854,0.507711,376594.193111,1.053936,20.868829,21.264659,1.660335,67.919222,61.554458,81.771032,64.000000,44.991589,87.594937,79.958456,19.202532,19.740917
72.246942,80.964196,120.068380,132.364815,68.831984,75.652801,59.452756,12.728274,113.978545,1.443410,81.245144,73.140267,131.175931,116.097537,129.246568,114.534646,65.730904,113.488194,0.001888,-2.075579,32.000000,-237.278763,114.873369,0.319867,12.597619,0.508203,376521.488305,0.921335,20.864251,21.263904,1.661136,67.917953,61.555375,81.771807,64.000000,45.005260,87.594937,79.947420,19.202532,19.741280
72.240570,80.956221,120.044755,132.365917,68.840335,75.652053,51.458852,12.726904,113.974305,1.496100,81.238394,73.132595,131.178255,116.104628,129.249508,114.536354,65.734832,113.491726,0.001889,-2.077352,32.000000,-237.280124,114.848942,0.338686,12.601606,0.508408,376505.332009,1.063859,20.858429,21.264956,1.661859,67.915734,61.555822,81.772054,64.000000,45.033366,87.594937,79.938249,19.202532,19.741819
72.234528,80.950122,120.019441,132.366727,68.856486,75.652242,59.432325,12.725864,113.973667,1.741161,81.233764,73.129332,131.181431,116.108649,129.252409,114.537208,65.739429,113.490231,0.001922,-2.077367,32.000000,-237.281174,114.851620,0.418490,12.603522,0.508442,376486.648285,0.918390,20.853497,21.261680,1.661916,67.915167,61.557158,81.772951,64.000000,45.046842,87.594937,79.932190,19.202532,19.742355
72.230220,80.943350,120.004336,132.367356,68.900187,75.644049,59.271039,12.726954,113.978745,1.747746,81.229061,73.126378,131.183050,116.113279,129.254373,114.540015,65.744254,113.494138,0.001920,-2.078548,32.000000,-237.280035,114.875373,0.418230,12.602621,0.508167,376471.123266,1.061130,20.850489,21.259711,1.661736,67.913500,61.557262,81.773047,64.000000,45.073377,87.594937,79.922806,19.202532,19.743051
72.223923,80.938378,119.972238,132.367554,68.956619,75.644135,51.850382,12.726520,113.981880,1.428374,81.225091,73.117160,131.184747,116.113502,129.258245,114.545077,65.748381,113.496164,0.001898,-2.078549,32.000000,-237.280428,114.902012,0.308308,12.600544,0.507954,376460.398274,0.918842,20.849100,21.254285,1.661525,67.912432,61.557209,81.773816,64.000000,45.081508,87.594937,79.917880,19.202532,19.743709
72.213693,80.932544,119.951472,132.367716,69.029853,75.644169,52.177244,12.725023,113.979888,1.300745,81.221283,73.111240,131.187991,116.109155,129.263633,114.547723,65.753854,113.495747,0.001898,-2.078574,32.000000,-237.281911,114.893496,0.269938,12.595943,0.507869,376407.271603,0.921287,20.845687,21.251625,1.661415,67.911186,61.557597,81.775120,64.000000,45.086686,87.594937,79.917328,19.202532,19.744543
72.207246,80.927627,119.958413,132.368019,69.075169,75.644405,52.662144,12.725103,113.977642,1.300609,81.216921,73.102237,131.189352,116.106892,129.265686,114.552007,65.758812,113.494494,0.001897,-2.077628,32.000000,-237.281985,114.895297,0.269863,12.590112,0.507775,376398.407769,1.053229,20.845624,21.248621,1.661115,67.910496,61.558181,81.775968,64.000000,45.107355,87.594937,79.915185,19.202532,19.745222
72.200284,80.921600,119.947693,132.367874,68.985113,75.644647,51.407598,12.724366,113.975431,1.301111,81.212708,73.093907,131.191709,116.100348,129.268708,114.549647,65.763915,113.492944,0.001903,-2.078767,32.000000,-237.282663,114.876645,0.269856,12.594308,0.507928,376387.401383,1.046783,20.847767,21.242918,1.661063,67.908956,61.558451,81.777183,64.000000,45.131005,87.594937,79.913763,19.202532,19.746003
72.198018,80.916819,119.964239,132.367187,68.976972,75.644799,59.425326,12.724974,113.968732,1.625243,81.207981,73.089269,131.192919,116.096291,129.269875,114.546504,65.767512,113.485965,0.001883,-2.078626,32.000000,-237.282140,114.828711,0.381569,12.590093,0.508310,376378.259687,1.037238,20.847876,21.237265,1.661307,67.907352,61.558696,81.777685,64.000000,45.176167,87.594937,79.911110,19.202532,19.746673
72.193166,80.911227,119.956353,132.365642,68.940122,75.645061,59.419098,12.724183,113.963160,1.576864,81.204496,73.083395,131.193173,116.089188,129.271795,114.540691,65.773015,113.482682,0.001882,-2.081310,32.000000,-237.283041,114.854340,0.357312,12.588206,0.508149,376367.603702,1.062653,20.847279,21.231303,1.661319,67.905832,61.559822,81.779006,64.000000,45.198640,87.594937,79.906914,19.202532,19.747491
72.187581,80.906887,119.919615,132.364021,68.887744,75.629136,52.141947,12.723826,113.958482,1.453443,81.202234,73.078764,131.193500,116.084999,129.273308,114.537529,65.777296,113.477298,0.001882,-2.081853,32.000000,-237.283478,114.854523,0.319721,12.581079,0.508486,376359.093276,0.919301,20.844265,21.223838,1.661600,67.905318,61.560327,81.779750,64.000000,45.203450,87.594937,79.906368,19.202532,19.748208
72.181027,80.902298,119.868718,132.362067,68.822673,75.629319,51.959008,12.723016,113.952177,1.452940,81.199715,73.073962,131.193323,116.077974,129.275837,114.530373,65.782493,113.472485,0.001915,-2.081848,32.000000,-237.284281,114.848612,0.319666,12.576650,0.508555,376347.749939,0.919456,20.842457,21.216517,1.661603,67.904886,61.562486,81.781777,64.000000,45.208290,87.594937,79.906504,19.202532,19.749147
72.169844,80.898366,119.860872,132.360492,68.757350,75.629366,59.279851,12.722207,113.945053,1.453252,81.198131,73.067114,131.193425,116.071164,129.276475,114.521862,65.787127,113.464713,0.001910,-2.082890,32.000000,-237.285129,114.841519,0.319606,12.577314,0.508507,376259.645614,1.047638,20.842473,21.209252,1.661222,67.904849,61.563969,81.783372,64.000000,45.190391,87.594937,79.914359,19.202532,19.749922
72.160633,80.894186,119.786038,132.358326,68.777671,75.629219,59.447151,12.721420,113.936987,1.453408,81.195904,73.058778,131.193574,116.064875,129.277766,114.512794,65.792349,113.455452,0.001908,-2.083380,32.000000,-237.285982,114.823506,0.319694,12.576372,0.508353,376250.055748,1.051424,20.842997,21.201387,1.660668,67.905080,61.564344,81.783910,64.000000,45.194929,87.594937,79.921746,19.202532,19.750888
72.154318,80.890364,119.769631,132.355954,68.824580,75.629272,51.664711,12.721023,113.928068,1.725321,81.191891,73.054307,131.193011,116.055165,129.276673,114.499882,65.796427,113.443337,0.001907,-2.085173,32.000000,-237.286477,114.805827,0.411825,12.575366,0.508423,376242.512581,0.921729,20.847787,21.192445,1.660817,67.904649,61.564937,81.784183,64.000000,45.190782,87.594937,79.928253,19.202532,19.751938
