Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Thursday, September 27, 2018
9:49:17 AM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
psia,C,psia,C,lbm/min,lbm/min,rpm,psia,psia,lbm/min,C,psia,C,psia,C,psia,C,C,lb/min,lb/min,C,psia,psia,lbm/min,,kW,,C,C
0.045813,19.985442,0.004901,5.068522,-0.578593,-2.722009,0.000000,0.695019,0.156759,-0.910253,20.245052,0.116907,4.951023,403.229226,4.938421,0.425014,5.001987,0.260160,-227.473668,0.052661,0.000000,-250.011853,0.085158,-0.759349,0.634468,289.182014,0.902622,10.054310,10.014069
0.046012,19.984656,0.010434,5.070455,-0.536002,-2.722746,0.000000,0.695003,0.155423,-0.879258,20.245440,0.113056,4.952070,403.216960,4.943276,0.440410,5.003236,0.267169,-227.485262,0.047814,0.000000,-250.011789,0.095772,-0.757516,0.634468,289.182014,0.902622,10.054310,10.014069
0.045920,19.984595,-0.006806,5.071388,-0.580796,-2.722697,0.000000,0.694999,0.154856,-0.898901,20.247263,0.119331,4.953813,403.204168,4.950982,0.434981,5.004189,0.283414,-227.488741,0.047780,0.000000,-250.010426,0.089471,-0.758491,0.634468,289.182014,0.902622,10.054310,10.014069
0.045733,19.984548,-0.016635,5.071989,-0.536736,-2.718124,0.000000,0.694989,0.161666,-0.956520,20.245505,0.125114,4.953504,403.185648,4.951666,0.420662,5.001796,0.294503,-227.484103,0.052867,0.000000,-250.009999,0.079902,-0.761729,0.634468,289.182014,0.902622,10.054310,10.014069
0.046685,19.985146,-0.010407,5.071531,-0.546833,-2.728581,0.000000,0.695005,0.162642,-0.957971,20.248916,0.121455,4.954687,403.162371,4.948275,0.419031,4.999804,0.288900,-227.485025,0.048022,0.000000,-250.010608,0.078700,-0.771255,0.634468,289.182014,0.902622,10.054310,10.014069
0.048139,19.985617,0.001811,5.070391,-0.539513,-2.726910,0.000000,0.695000,0.164563,-0.920029,20.251058,0.123283,4.955853,403.156506,4.945216,0.411017,5.000948,0.276250,-227.486273,0.047902,0.000000,-250.010948,0.078068,-0.764219,0.634468,289.182014,0.902622,10.054310,10.014069
0.047668,19.985635,0.004438,5.068885,-0.502544,-2.730483,0.000000,0.695008,0.167930,-0.899669,20.252111,0.117487,4.957984,403.143543,4.944955,0.431196,5.002068,0.260753,-227.488235,0.047700,0.000000,-250.011679,0.077079,-0.761354,0.634468,289.182014,0.902622,10.054310,10.014069
0.049201,19.986753,-0.018412,5.066990,-0.532537,-2.728991,0.000000,0.695016,0.179644,-0.911125,20.255237,0.115774,4.958644,403.159168,4.947641,0.421553,5.002372,0.246257,-227.494835,0.044980,0.000000,-250.010740,0.088966,-0.760439,0.634468,289.182014,0.902622,10.054310,10.014069
0.048535,19.988017,-0.030008,5.066562,-0.521820,-2.722992,0.000000,0.695020,0.183260,-0.893305,20.253530,0.125101,4.960546,403.149743,4.944976,0.428885,5.002233,0.253007,-227.485441,0.044841,0.000000,-250.010582,0.087573,-0.760553,0.634468,289.182014,0.902622,10.054310,10.014069
