Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Tuesday, September 25, 2018
1:15:47 PM
Calibration-Discharge-5C

Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,,kW,,C,C
0.069519,19.822390,-0.034758,59.951387,-0.416811,-2.624972,0.000000,0.692423,0.353875,-0.842839,20.354210,0.211429,59.884697,793.938312,59.861505,0.427084,59.861449,0.368888,-227.268480,0.051756,0.000000,-250.011366,0.132619,-0.743169,0.634468,289.182014,0.902622,10.054310,10.014069
0.071027,19.821949,-0.030976,59.951815,-0.431704,-2.621612,0.000000,0.692429,0.362427,-0.849039,20.353048,0.219724,59.886223,793.931023,59.863021,0.428984,59.859279,0.358631,-227.250910,0.052012,0.000000,-250.011738,0.124920,-0.730037,0.634468,289.182014,0.902622,10.054310,10.014069
0.070187,19.820853,-0.002920,59.952328,-0.431406,-2.617580,0.000000,0.692454,0.346822,-0.887841,20.354789,0.221344,59.890329,793.932238,59.867226,0.420504,59.863845,0.361076,-227.246511,0.055148,0.000000,-250.011538,0.138722,-0.742022,0.634468,289.182014,0.902622,10.054310,10.014069
0.070224,19.819368,0.006215,59.953207,-0.412933,-2.611744,0.000000,0.692460,0.325478,-0.892283,20.354772,0.225707,59.890251,793.916641,59.868137,0.427244,59.866458,0.355693,-227.248443,0.052074,0.000000,-250.011310,0.159090,-0.744102,0.634468,289.182014,0.902622,10.054310,10.014069
0.068017,19.817371,-0.007663,59.953592,-0.332478,-2.621874,0.000000,0.692458,0.305638,-0.906683,20.353977,0.220250,59.891016,793.892881,59.868501,0.407388,59.871835,0.347211,-227.256945,0.051746,0.000000,-250.010794,0.163435,-0.744273,0.634468,289.182014,0.902622,10.054310,10.014069
0.067503,19.815124,-0.028888,59.954302,-0.289176,-2.627841,0.000000,0.692468,0.298484,-0.919994,20.350479,0.217349,59.889165,793.883300,59.865175,0.413994,59.871225,0.342720,-227.257570,0.054922,0.000000,-250.011389,0.176764,-0.748157,0.634468,289.182014,0.902622,10.054310,10.014069
0.067500,19.812933,-0.036151,59.953969,-0.315680,-2.637626,0.000000,0.692457,0.305247,-0.909342,20.348112,0.221086,59.890532,793.893884,59.864710,0.412599,59.872941,0.344593,-227.259740,0.054542,0.000000,-250.011595,0.177979,-0.726493,0.634468,289.182014,0.902622,10.054310,10.014069
0.069179,19.811529,-0.018712,59.953966,-0.349023,-2.633086,0.000000,0.692464,0.301404,-0.850682,20.346423,0.217720,59.890129,793.894177,59.864883,0.405516,59.872197,0.349025,-227.267350,0.054877,0.000000,-250.011979,0.176779,-0.740589,0.634468,289.182014,0.902622,10.054310,10.014069
0.067802,19.810745,0.009589,59.954042,-0.430901,-2.625628,0.000000,0.692452,0.299740,-0.842689,20.346030,0.218075,59.889876,793.879281,59.864446,0.401471,59.871142,0.347757,-227.274456,0.055684,0.000000,-250.011512,0.168661,-0.720046,0.634468,289.182014,0.902622,10.054310,10.014069
0.069967,19.810698,0.017976,59.953862,-0.449282,-2.626447,0.000000,0.692438,0.294185,-0.908799,20.347729,0.222858,59.890610,793.882580,59.865947,0.393446,59.866472,0.354897,-227.280728,0.056172,0.000000,-250.011174,0.167998,-0.715751,0.634468,289.182014,0.902622,10.054310,10.014069
0.068445,19.811338,-0.002802,59.954649,-0.436546,-2.623235,0.000000,0.692434,0.289140,-0.916814,20.347938,0.210263,59.888904,793.866997,59.865244,0.406506,59.863433,0.354089,-227.273742,0.052866,0.000000,-250.011392,0.170695,-0.717048,0.634468,289.182014,0.902622,10.054310,10.014069
