Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Thursday, September 27, 2018
1:53:30 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
psia,C,psia,C,lbm/min,lbm/min,rpm,psia,psia,lbm/min,C,psia,C,psia,C,psia,C,C,lb/min,lb/min,C,psia,psia,lbm/min,,kW,,C,C
-3.001463,20.267485,-1.150715,20.260193,-0.388930,-2.549638,0.000000,0.694226,0.296386,-0.908109,20.255486,0.203587,9.092960,-2.206478,20.053680,0.464490,20.826848,0.380996,-1.264242,0.044712,0.000000,-250.011789,0.154656,-0.743248,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000350,20.260840,-1.180073,20.253993,-0.402239,-2.551900,0.000000,0.694257,0.304630,-0.890625,20.255331,0.211870,15.477262,-2.229395,20.056296,0.444995,20.829131,0.383444,-1.268879,0.044855,0.000000,-250.011251,0.160342,-0.744137,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001017,20.254081,-1.217529,20.247705,-0.401711,-2.553359,0.000000,0.694229,0.315859,-0.848792,20.253125,0.205698,21.609178,-2.252284,20.058305,0.441089,20.831566,0.419101,-1.274587,0.044865,0.000000,-250.010892,0.155412,-0.748483,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001351,20.247177,-1.244702,20.241985,-0.377020,-2.551523,0.000000,0.694212,0.316507,-0.857111,20.250143,0.212676,22.310213,-2.284845,20.058441,0.436528,20.831835,0.422430,-1.281871,0.044547,0.000000,-250.011385,0.141818,-0.760314,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001729,20.240925,-1.271775,20.236884,-0.333625,-2.544016,0.000000,0.694195,0.324312,-0.902563,20.250217,0.208521,22.674840,-2.318180,20.061143,0.444536,20.833152,0.410625,-1.269682,0.044656,0.000000,-250.011851,0.140394,-0.761539,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002789,20.236467,-1.307707,20.233895,-0.382780,-2.549179,0.000000,0.694200,0.315007,-0.912007,20.249484,0.214795,22.585585,-2.359975,20.064415,0.454695,20.833746,0.415775,-1.276966,0.045349,0.000000,-250.012888,0.141169,-0.765895,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002734,20.233747,-1.348914,20.232265,-0.379911,-2.543721,0.000000,0.694249,0.320622,-0.902395,20.250249,0.225469,22.517002,-2.392657,20.068351,0.456046,20.835080,0.416592,-1.279047,0.044484,0.000000,-250.012510,0.135322,-0.763880,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002468,20.233094,-1.384357,20.232288,-0.396365,-2.544688,0.000000,0.694235,0.319283,-0.890450,20.251923,0.221000,22.451834,-2.430116,20.069125,0.455662,20.835794,0.443226,-1.272833,0.049784,0.000000,-250.012374,0.140292,-0.756876,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002465,20.233592,-1.427571,20.233655,-0.449030,-2.549818,0.000000,0.694244,0.314735,-0.883235,20.253167,0.209511,22.391841,-2.464303,20.069539,0.453708,20.838118,0.443972,-1.273636,0.049880,0.000000,-250.012126,0.136111,-0.757205,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001725,20.234355,-1.460848,20.235467,-0.380255,-2.547966,0.000000,0.694222,0.311635,-0.867584,20.253264,0.209614,22.332757,-2.510365,20.071799,0.456026,20.841416,0.441395,-1.274468,0.047985,0.000000,-250.011810,0.123803,-0.751967,0.634468,289.182014,0.902622,10.054310,10.014069
