Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Saturday, September 29, 2018
4:03:08 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
psia,C,psia,C,lbm/min,lbm/min,rpm,psia,psia,lbm/min,C,psia,C,psia,C,psia,C,C,lb/min,lb/min,C,psia,psia,lbm/min,,kW,,C,C
-3.006002,-524.466785,-12.095449,820.676650,-0.420161,-2.585436,18.737486,0.694912,0.161158,-0.895785,19.606382,304.841693,19.619407,-15.779271,19.617626,-0.431722,19.662346,-0.368193,-1.191198,0.057161,0.000000,-250.009025,0.054592,-0.739096,0.634468,289.182014,0.902622,10.054310,10.014069
-3.006087,-245.455467,-12.094585,389.047279,-0.411028,-2.587485,18.742007,0.694889,0.160688,-0.853698,19.606162,304.849686,19.620992,-15.761629,19.619233,-0.428257,19.663150,-0.363911,-1.189622,0.054786,0.000000,-250.009063,0.057733,-0.722347,0.634468,289.182014,0.902622,10.054310,10.014069
-3.006619,439.390497,-12.095414,465.217168,-0.399577,-2.587944,18.267912,0.694878,0.161640,-0.872537,19.607008,304.835306,19.621724,-15.737920,19.621046,-0.432765,19.663212,-0.357888,-1.185163,0.054373,0.000000,-250.009641,0.056202,-0.720968,0.634468,289.182014,0.902622,10.054310,10.014069
-3.006271,439.390497,-12.093207,541.387057,-0.381908,-2.587715,19.177690,0.694852,0.158872,-0.890939,19.609782,304.822020,19.621645,-15.751368,19.621228,-0.442397,19.667976,-0.355548,-1.176631,0.057858,0.000000,-250.010163,0.049232,-0.725903,0.634468,289.182014,0.902622,10.054310,10.014069
-3.006075,-169.361471,-12.088670,135.147649,-0.443889,-2.591288,18.657877,0.694840,0.176579,-0.896957,19.610803,304.826757,19.618678,-15.757521,19.620950,-0.440158,19.668394,-0.339616,-1.169020,0.056268,0.000000,-250.009966,0.041951,-0.720407,0.634468,289.182014,0.902622,10.054310,10.014069
-3.005124,-854.207435,-12.089370,8.197834,-0.500226,-2.588059,19.043776,0.694864,0.186511,-0.921480,19.611687,304.826218,19.618249,-15.776808,19.621339,-0.447679,19.668184,-0.337908,-1.177225,0.054043,0.000000,-250.009953,0.044062,-0.727032,0.634468,289.182014,0.902622,10.054310,10.014069
-3.006063,-625.925447,-12.092127,-42.582092,-0.524758,-2.586748,18.334665,0.694883,0.195152,-0.943653,19.615510,304.820239,19.620863,-15.783545,19.622851,-0.453494,19.669452,-0.337765,-1.165215,0.053067,0.000000,-250.009889,0.041127,-0.738331,0.634468,289.182014,0.902622,10.054310,10.014069
-3.005794,58.920517,-12.094465,8.197834,-0.472184,-2.584879,18.324421,0.694897,0.185957,-0.899429,19.613178,304.819040,19.621433,-15.769758,19.624125,-0.454558,19.667994,-0.343467,-1.166018,0.053040,0.000000,-250.009459,0.058546,-0.728304,0.634468,289.182014,0.902622,10.054310,10.014069
-3.005596,439.390497,-12.094741,-42.582092,-0.445427,-2.587649,18.473921,0.694904,0.170631,-0.848210,19.611879,304.799109,19.623160,-15.763689,19.624994,-0.451833,19.666678,-0.338638,-1.164115,0.050499,0.000000,-250.009479,0.053097,-0.741357,0.634468,289.182014,0.902622,10.054310,10.014069
