Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Saturday, September 29, 2018
8:32:08 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
psia,C,psia,C,lbm/min,lbm/min,rpm,psia,psia,lbm/min,C,psia,C,psia,C,psia,C,C,lb/min,lb/min,C,psia,psia,lbm/min,,kW,,C,C
-3.002147,870.589808,-12.076154,439.827205,-0.390352,-2.571553,18.661768,0.694651,0.010900,-0.924203,19.598307,0.025304,19.635548,-15.744091,19.633377,-0.485891,19.679096,-0.272725,-1.133494,0.050351,0.000000,-250.011889,-0.110119,-0.724248,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002395,261.837840,-12.072581,566.777020,-0.327843,-2.573372,18.352641,0.694651,0.009611,-0.877064,19.596132,0.040468,19.634303,-15.755960,19.633949,-0.487998,19.679911,-0.287807,-1.132305,0.051777,0.000000,-250.012610,-0.113133,-0.723076,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002378,-423.008124,-12.072391,439.827205,-0.369401,-2.573848,18.790931,0.694635,0.004606,-0.908027,19.594567,0.035668,19.630778,-15.767317,19.629063,-0.468669,19.677917,-0.300887,-1.129451,0.056441,0.000000,-250.011948,-0.115102,-0.730384,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001289,-473.737455,-12.067902,-271.091759,-0.400036,-2.568914,18.664692,0.694642,0.009011,-0.906194,19.594868,0.025160,19.632733,-15.763993,19.630276,-0.468992,19.680259,-0.312591,-1.125438,0.055828,0.000000,-250.011728,-0.111539,-0.725235,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002088,58.920517,-12.069991,-524.991389,-0.487857,-2.570914,18.932542,0.694632,0.011193,-0.868885,19.595072,0.015725,19.633293,-15.769350,19.629060,-0.481357,19.679579,-0.300410,-1.112744,0.056869,0.000000,-250.012348,-0.117166,-0.728465,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001719,769.131147,-12.074584,-905.840834,-0.505091,-2.573766,18.297388,0.694621,0.004480,-0.903892,19.596740,0.006584,19.635280,-15.751363,19.632234,-0.492231,19.680414,-0.293132,-1.115211,0.061090,0.000000,-250.011775,-0.123637,-0.719439,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001524,667.672485,-12.072998,-271.091759,-0.436477,-2.573946,18.128033,0.694615,0.016676,-0.938246,19.596533,0.001160,19.636176,-15.743439,19.634160,-0.509599,19.683220,-0.284028,-1.106828,0.055459,0.000000,-250.010917,-0.121503,-0.722079,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002143,-42.538144,-12.074570,439.827205,-0.382091,-2.575929,18.036693,0.694625,0.022575,-0.892737,19.596521,0.009860,19.635495,-15.739388,19.634034,-0.505517,19.682289,-0.292813,-1.096690,0.055164,0.000000,-250.010581,-0.116507,-0.750652,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002373,-42.538144,-12.073302,1125.356206,-0.352236,-2.579503,18.622030,0.694646,0.031529,-0.841253,19.594764,0.014434,19.634432,-15.727407,19.634439,-0.484949,19.680078,-0.304727,-1.096244,0.060066,0.000000,-250.010559,-0.109675,-0.717391,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001977,-321.549463,-12.070687,1252.306021,-0.337251,-2.577011,18.092772,0.694656,0.036110,-0.851729,19.593182,0.016465,19.631955,-15.729004,19.632852,-0.476916,19.678941,-0.309650,-1.092142,0.054720,0.000000,-250.011372,-0.105826,-0.745610,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002166,363.296501,-12.068989,896.846539,-0.355862,-2.580011,17.983076,0.694644,0.038572,-0.873259,19.594811,0.002222,19.631217,-15.735418,19.631926,-0.470982,19.677705,-0.321873,-1.106828,0.055182,0.000000,-250.011730,-0.109706,-0.747925,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000963,819.860477,-12.069585,617.556946,-0.353452,-2.588452,18.685195,0.694629,0.040955,-0.882474,19.596298,-0.007068,19.630760,-15.749858,19.633049,-0.466439,19.680076,-0.321635,-1.102695,0.056089,0.000000,-250.011823,-0.114918,-0.749562,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000182,464.755163,-12.069842,-42.582092,-0.360176,-2.581044,18.668771,0.694614,0.034558,-0.903392,19.595680,-0.008552,19.631564,-15.754941,19.631843,-0.473969,19.682073,-0.324000,-1.113190,0.051173,0.000000,-250.011508,-0.127164,-0.756983,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000474,819.860477,-12.069880,-42.582092,-0.360474,-2.580732,18.667568,0.694620,0.044817,-0.916735,19.596566,-0.013923,19.633771,-15.755212,19.631636,-0.460580,19.683656,-0.312167,-1.124576,0.050889,0.000000,-250.010653,-0.137101,-0.738274,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001003,693.037151,-12.070343,262.097464,-0.417729,-2.576815,18.942984,0.694629,0.032518,-0.898911,19.597594,-0.009511,19.634728,-15.744493,19.630349,-0.460960,19.682765,-0.292462,-1.127162,0.051699,0.000000,-250.011169,-0.148364,-0.723012,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001256,414.025832,-12.068314,414.437242,-0.431475,-2.573553,18.289687,0.694626,0.026808,-0.844822,19.596120,-0.014009,19.633488,-15.743305,19.629179,-0.452076,19.681252,-0.299643,-1.125259,0.055044,0.000000,-250.010581,-0.145763,-0.733089,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001570,819.860477,-12.070039,135.147649,-0.511608,-2.575684,17.928913,0.694628,0.015037,-0.839284,19.596632,0.003630,19.633716,-15.734358,19.629307,-0.441303,19.680340,-0.297856,-1.106203,0.055253,0.000000,-250.010992,-0.140036,-0.715408,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001548,388.661167,-12.069414,-42.582092,-0.488087,-2.575716,18.628266,0.694624,0.016549,-0.895738,19.595481,0.023090,19.634766,-15.721546,19.631502,-0.433599,19.680770,-0.301235,-1.092647,0.055952,0.000000,-250.011256,-0.130485,-0.711310,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000913,439.390497,-12.071754,8.197834,-0.451233,-2.574602,18.701152,0.694632,0.013456,-0.901799,19.594377,0.025568,19.632703,-15.728712,19.631087,-0.435179,19.679444,-0.292888,-1.094609,0.060473,0.000000,-250.011798,-0.120806,-0.713632,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001535,388.661167,-12.074714,8.197834,-0.478242,-2.569094,18.639166,0.694643,0.016849,-0.905693,19.595320,0.019579,19.633349,-15.709520,19.631075,-0.431948,19.680201,-0.297869,-1.103706,0.055171,0.000000,-250.011885,-0.122460,-0.715547,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000456,8.191187,-12.070430,363.657316,-0.422158,-2.576126,18.762701,0.694644,0.023511,-0.904193,19.593495,0.012977,19.631583,-15.705173,19.630409,-0.434509,19.680426,-0.299904,-1.113011,0.055457,0.000000,-250.011984,-0.128574,-0.753953,0.634468,289.182014,0.902622,10.054310,10.014069
