Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Friday, September 28, 2018
10:18:59 AM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
psia,C,psia,C,lbm/min,lbm/min,rpm,psia,psia,lbm/min,C,psia,C,psia,C,psia,C,C,lb/min,lb/min,C,psia,psia,lbm/min,,kW,,C,C
-3.013005,-0.001839,-12.097205,439.827205,-0.411786,-2.691111,19.058765,0.694776,0.154580,-0.924292,-0.006150,0.123745,19.942948,-15.604011,19.944958,-0.472220,19.929707,0.224865,-1.330923,0.050461,0.000000,-250.011120,0.100858,-0.745660,0.634468,289.182014,0.902622,10.054310,10.014069
-3.009148,-0.002444,-12.103089,389.047279,-0.470096,-2.688046,18.502584,0.694756,0.152969,-0.932072,-0.006691,0.130654,19.944288,-15.606491,19.946798,-0.460116,19.929807,0.233872,-1.348374,0.045341,0.000000,-250.011615,0.101491,-0.734096,0.634468,289.182014,0.902622,10.054310,10.014069
-3.014066,-0.003077,-12.093587,820.676650,-0.468788,-2.696946,18.821360,0.694733,0.170085,-0.923967,-0.007184,0.128082,19.943628,-15.603920,19.947283,-0.466899,19.928520,0.227284,-1.354082,0.044875,0.000000,-250.011426,0.100725,-0.734661,0.634468,289.182014,0.902622,10.054310,10.014069
-3.009064,-0.003184,-12.091712,820.676650,-0.466287,-2.701044,18.618780,0.694742,0.203818,-0.909335,-0.007337,0.101876,19.944593,-15.613229,19.946039,-0.470835,19.928823,0.245237,-1.372187,0.045913,0.000000,-250.011957,0.114900,-0.745527,0.634468,289.182014,0.902622,10.054310,10.014069
-3.014636,-0.002738,-12.099022,1201.526095,-0.452013,-2.703224,19.094883,0.694737,0.211193,-0.942720,-0.005778,0.094516,19.947238,-15.619242,19.945255,-0.485399,19.930221,0.265771,-1.361128,0.049668,0.000000,-250.012048,0.123414,-0.743180,0.634468,289.182014,0.902622,10.054310,10.014069
-3.017409,-0.002212,-12.100939,820.676650,-0.478885,-2.701700,18.043256,0.694729,0.185971,-0.944553,-0.005438,0.104117,19.945292,-15.604072,19.943429,-0.484462,19.930464,0.260068,-1.371176,0.049734,0.000000,-250.010836,0.097301,-0.759438,0.634468,289.182014,0.902622,10.054310,10.014069
-3.006020,-0.001836,-12.099204,820.676650,-0.491713,-2.692209,18.671620,0.694719,0.193877,-0.906251,-0.005154,0.098165,19.944655,-15.612721,19.941416,-0.474918,19.929002,0.264248,-1.355539,0.051257,0.000000,-250.011115,0.111884,-0.742690,0.634468,289.182014,0.902622,10.054310,10.014069
-3.006770,-0.001678,-12.101013,820.676650,-0.521361,-2.686308,18.733443,0.694728,0.163033,-0.913708,-0.005907,0.113968,19.943994,-15.618947,19.940925,-0.467711,19.929361,0.271336,-1.364398,0.055465,0.000000,-250.011089,0.098463,-0.750591,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001497,-0.001414,-12.095853,1125.356206,-0.473905,-2.686849,18.631504,0.694726,0.163937,-0.944399,-0.006618,0.111050,19.941029,-15.631660,19.941533,-0.469577,19.930402,0.257075,-1.385535,0.050458,0.000000,-250.011939,0.098134,-0.752917,0.634468,289.182014,0.902622,10.054310,10.014069
