Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Friday, September 28, 2018
12:46:36 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
psia,C,psia,C,lbm/min,lbm/min,rpm,psia,psia,lbm/min,C,psia,C,psia,C,psia,C,C,lb/min,lb/min,C,psia,psia,lbm/min,,kW,,C,C
-3.000558,19.951724,-12.077043,236.707501,-0.400977,-2.616219,0.000000,0.694959,0.159029,-0.902971,20.071648,0.183141,19.821956,-15.638247,19.764483,-0.446186,19.798303,0.366336,-1.244442,0.053680,0.000000,-250.011539,0.091758,-0.720575,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000514,19.952035,-12.075368,8.197834,-0.404672,-2.611269,0.000000,0.694933,0.161932,-0.901613,20.074117,0.180008,19.821234,-15.639176,19.762958,-0.444367,19.796934,0.367066,-1.257463,0.047721,0.000000,-250.011948,0.085367,-0.720668,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000928,19.951546,-12.076363,109.757686,-0.444348,-2.606991,0.000000,0.694986,0.157731,-0.875731,20.074856,0.177053,19.819430,-15.645302,19.763290,-0.430053,19.795812,0.363492,-1.256245,0.047174,0.000000,-250.012152,0.077017,-0.752667,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000690,19.951296,-12.076865,-423.431537,-0.411717,-2.608237,0.000000,0.694966,0.150619,-0.858554,20.074006,0.190486,19.817561,-15.637380,19.762310,-0.438899,19.795822,0.360834,-1.243669,0.048800,0.000000,-250.011300,0.075293,-0.731199,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000733,19.951044,-12.078692,-423.431537,-0.370319,-2.617957,0.000000,0.694969,0.155718,-0.891747,20.071035,0.206918,19.817480,-15.629766,19.760951,-0.448130,19.796204,0.352456,-1.246642,0.053145,0.000000,-250.011358,0.082775,-0.758020,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000854,19.950976,-12.075355,-474.211463,-0.398751,-2.620874,0.000000,0.694975,0.152337,-0.945207,20.070203,0.221965,19.816831,-15.630775,19.760188,-0.458289,19.797419,0.357839,-1.244413,0.053221,0.000000,-250.010638,0.080712,-0.729637,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000555,19.950687,-12.077114,58.977760,-0.428423,-2.625169,0.000000,0.694982,0.159673,-0.915599,20.070863,0.222642,19.817885,-15.631850,19.759781,-0.457129,19.797583,0.352954,-1.249912,0.053019,0.000000,-250.010833,0.088878,-0.719671,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001279,19.950063,-12.077756,439.827205,-0.417614,-2.624284,0.000000,0.694991,0.160203,-0.889421,20.072579,0.219955,19.817726,-15.636504,19.759622,-0.451553,19.797360,0.344587,-1.264717,0.057184,0.000000,-250.010867,0.074263,-0.723505,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000809,19.949624,-12.074368,389.047279,-0.447859,-2.614760,0.000000,0.694994,0.158796,-0.886809,20.072492,0.213160,19.817418,-15.645731,19.759334,-0.463708,19.796737,0.360947,-1.260317,0.051602,0.000000,-250.010618,0.075342,-0.721386,0.634468,289.182014,0.902622,10.054310,10.014069
