Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Friday, September 28, 2018
4:54:08 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
psia,C,psia,C,lbm/min,lbm/min,rpm,psia,psia,lbm/min,C,psia,C,psia,C,psia,C,C,lb/min,lb/min,C,psia,psia,lbm/min,,kW,,C,C
-3.001462,-9.021381,-12.082046,-855.060908,-0.358317,-2.604909,0.000000,0.694417,0.330302,-0.895134,-8.996955,0.200525,19.780659,-15.662267,19.722555,-0.438290,19.762418,0.367344,-1.220838,0.047849,0.000000,-250.010441,0.052814,-0.729759,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001259,-9.020944,-12.079901,-1210.520390,-0.355426,-2.604368,0.000000,0.694423,0.322381,-0.852794,-8.998056,0.192602,19.781369,-15.650951,19.724503,-0.454909,19.761558,0.369541,-1.227972,0.051675,0.000000,-250.010135,0.056057,-0.733503,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001345,-9.020779,-12.079536,-702.721130,-0.369286,-2.606991,0.000000,0.694426,0.322943,-0.859123,-8.996993,0.196060,19.783103,-15.625924,19.726631,-0.481055,19.764069,0.383380,-1.241856,0.050604,0.000000,-250.010592,0.050140,-0.720218,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001991,-9.020829,-12.079175,-423.431537,-0.410271,-2.613597,0.000000,0.694428,0.314820,-0.886741,-8.998275,0.203790,19.779919,-15.632810,19.725520,-0.500202,19.763936,0.366513,-1.236237,0.050263,0.000000,-250.010687,0.051066,-0.711628,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001747,-9.020589,-12.075882,262.097464,-0.456373,-2.604631,0.000000,0.694405,0.304972,-0.892537,-8.997722,0.195232,19.780084,-15.614804,19.726388,-0.513121,19.765841,0.358390,-1.235643,0.052310,0.000000,-250.010638,0.062909,-0.709484,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001735,-9.020179,-12.076827,312.877390,-0.480606,-2.605401,0.000000,0.694399,0.309393,-0.908402,-8.996959,0.200832,19.781432,-15.628527,19.724219,-0.512471,19.766552,0.347662,-1.225267,0.053076,0.000000,-250.010110,0.076617,-0.700054,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001491,-9.019621,-12.074234,-42.582092,-0.441641,-2.602664,0.000000,0.694404,0.291708,-0.907823,-8.997471,0.199970,19.782835,-15.611688,19.723450,-0.503978,19.767189,0.337579,-1.216289,0.052806,0.000000,-250.010530,0.091522,-0.699235,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001913,-9.019165,-12.073406,-42.582092,-0.387874,-2.605434,0.000000,0.694420,0.295562,-0.912608,-8.996650,0.205646,19.783163,-15.611153,19.723245,-0.494130,19.766047,0.348216,-1.215516,0.054252,0.000000,-250.010130,0.099594,-0.735590,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001800,-9.019047,-12.075054,8.197834,-0.352534,-2.606188,0.000000,0.694437,0.291607,-0.861020,-8.997382,0.197385,19.783661,-15.603571,19.723166,-0.491893,19.767313,0.366461,-1.222473,0.055106,0.000000,-250.009795,0.090377,-0.730877,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002054,-9.019071,-12.073105,8.197834,-0.316277,-2.599205,0.000000,0.694435,0.294906,-0.839873,-8.997735,0.184096,19.781970,-15.609013,19.723219,-0.492782,19.768392,0.378818,-1.227081,0.052647,0.000000,-250.009887,0.059990,-0.767149,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002251,-9.018936,-12.078121,-296.481722,-0.386382,-2.601746,0.000000,0.694420,0.303154,-0.898611,-8.997631,0.186734,19.782304,-15.620929,19.723691,-0.485159,19.767929,0.392049,-1.226545,0.049328,0.000000,-250.010484,0.066199,-0.740385,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001531,-9.018360,-12.081447,-448.821500,-0.395607,-2.604581,0.000000,0.694426,0.305539,-0.904582,-8.996250,0.181103,19.784598,-15.628022,19.725088,-0.489643,19.768653,0.395509,-1.238764,0.051873,0.000000,-250.011638,0.069872,-0.727629,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000879,-9.017945,-12.082571,-194.921870,-0.382848,-2.614662,0.000000,0.694412,0.310670,-0.912658,-8.999526,0.180003,19.783777,-15.649652,19.723983,-0.487017,19.766634,0.386497,-1.232313,0.049577,0.000000,-250.011798,0.083780,-0.720836,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001489,-9.017407,-12.081774,84.367723,-0.349459,-2.617924,0.000000,0.694423,0.311896,-0.909081,-8.996663,0.175056,19.783935,-15.664756,19.723777,-0.480842,19.766655,0.384916,-1.238051,0.049532,0.000000,-250.011746,0.098176,-0.715419,0.634468,289.182014,0.902622,10.054310,10.014069
-3.000978,-9.016870,-12.075222,389.047279,-0.365890,-2.616350,0.000000,0.694411,0.326645,-0.923267,-8.997625,0.162565,19.781894,-15.656960,19.722980,-0.493849,19.765194,0.386086,-1.234007,0.053651,0.000000,-250.012169,0.090086,-0.733328,0.634468,289.182014,0.902622,10.054310,10.014069
-3.001953,-9.016213,-12.076603,642.946909,-0.356458,-2.612154,0.000000,0.694390,0.331593,-0.872465,-8.994172,0.167276,19.783912,-15.646150,19.724037,-0.509756,19.768751,0.371399,-1.232283,0.051128,0.000000,-250.012016,0.062053,-0.731624,0.634468,289.182014,0.902622,10.054310,10.014069
-3.002298,-9.015614,-12.073720,439.827205,-0.346820,-2.616793,0.000000,0.694399,0.338786,-0.846666,-8.993434,0.170324,19.783422,-15.639005,19.723533,-0.503489,19.767771,0.364769,-1.234691,0.050942,0.000000,-250.012025,0.065391,-0.737641,0.634468,289.182014,0.902622,10.054310,10.014069
