Name,Units
Psuc,psia
Tsuc,F
Pdis,psia
Tdis,F
Msuc,lbm/min
Mdis,lbm/min
Speed,Hz
Pamb,psia
Poil,psia
Moil,lbm/min
Tsuc2,F
Psuc2,psia
Tdis2,F
Pdis2,psia
T04,F
P04,psia
T05,F
P05,F
M03,lb/min
M04,lb/min
T07,F
P07,psia
Poil2,psia
Moil2,lbm/min
Power,kW
eta_is,
Q_dot,Btu/h
eta_vol,
DT_sup,F
DT_sub,F
Pressure Ratio,
x_acc,g
y_acc,g
Tm2,F
Tm3,F
Tm4,F
Tm5,F
Tm6,F
Tm7,F
Tm8,F
Tm9,F
Tamb,F
Twi,F
Twe,F
Bypass Position,
Water Pump Speed,Hz
LG,
MG,
SG,
LL,
ML,
SL,
Speed2,Hz
Power2,kW
VFD_out,Hz
Kc_LG,
Ti_LG,min
Td_LG,min
Kc_MG,
Ti_MG,min
Td_MG,min
Kc_SG,
Ti_SG,min
Td_SG,min
Kc_LL,
Ti_LL,min
Td_LL,min
Kc_ML,
Ti_ML,min
Td_ML,min
Kc_SL,
Ti_SL,min
Td_SL,min
Kc_WVB,
Ti_WVB,min
Td_WVB,min
Kc_WVI,
Ti_WVI,min
Td_WVI,min
