Name,Units,DAQ Channel
Tsuc,C,Mod5/RTD0
Tdis,C,Mod5/RTD1
Tdis2,C,EMod2/TC0
T04,C,EMod2/TC1
T05,C,EMod2/TC2
Tsuc2,C,EMod2/TC3
T07,C,EMod2/TC4
Psuc,psia,Mod4/AI0
Pdis,psia,Mod4/AI1
Pdis2,psia,Mod4/AI2
P04,psia,Mod4/AI3
P05,psia,Mod4/AI4
Psuc2,psia,Mod4/AI5
P07,psia,Mod4/AI6
Poil,psia,Mod4/AI7
Poil2,psia,Mod4/AI8
Mdis,lbm/min,Mod3/AI0
Msuc,lbm/min,Mod3/AI6
M03,lbm/min,Mod3/AI2
M04,lbm/min,Mod3/AI4
Moil,lbm/min,Mod3/AI8
Dens_oil1,g/mL,Mod3/AI9
Moil2,lbm/min,Mod3/AI10
Dens_oil1,g/mL,Mod3/AI11
Pamb,psia,Mod7/AI0
Speed,rpm,Mod8/AI0
eta_is,,
Q_dot,kW,
eta_vol,,
DT_sup,C,
DT_sub,C,
